dataset,donor_id,module,n_high_cells,n_low_cells,high_mean,low_mean,high_minus_low
DLPFC,H18.30.002,dam_lipid_trem2_apoe,15,148,0.5053890814383825,0.11633135509249326,0.3890577263458892
DLPFC,H18.30.002,lysosomal_endolysosomal,15,148,1.005622039238612,0.4873133760851783,0.5183086631534337
DLPFC,H18.30.002,complement_phagocytosis,15,148,0.9139491399129231,0.245703639714299,0.6682455001986242
DLPFC,H18.30.002,antigen_presentation,15,148,1.4988128980000814,0.49061774412119713,1.0081951538788843
DLPFC,H18.30.002,interferon_inflammatory,15,148,0.17571952044963837,0.1777297756760507,-0.002010255226412322
DLPFC,H18.30.002,oxidative_stress_gene_preserved,15,148,0.4413531422615051,0.08876422123127692,0.3525889210302282
DLPFC,H19.30.001,dam_lipid_trem2_apoe,24,233,0.5030388757586479,0.13750171303237457,0.36553716272627335
DLPFC,H19.30.001,lysosomal_endolysosomal,24,233,0.7608037292957306,0.3629501933959421,0.3978535358997885
DLPFC,H19.30.001,complement_phagocytosis,24,233,0.9025449467202028,0.2937154102223114,0.6088295364978914
DLPFC,H19.30.001,antigen_presentation,24,233,1.3574699362119038,0.5999699233043859,0.7575000129075179
DLPFC,H19.30.001,interferon_inflammatory,24,233,0.13377330141762891,0.1404788109429916,-0.006705509525362696
DLPFC,H19.30.001,oxidative_stress_gene_preserved,24,233,0.3328265578796466,0.08271605965917203,0.2501104982204746
DLPFC,H19.30.002,dam_lipid_trem2_apoe,27,269,0.5527496536572775,0.14217814077453542,0.4105715128827421
DLPFC,H19.30.002,lysosomal_endolysosomal,27,269,0.8629072198161373,0.3812739171613991,0.4816333026547382
DLPFC,H19.30.002,complement_phagocytosis,27,269,1.2762641708056133,0.3657702220306077,0.9104939487750056
DLPFC,H19.30.002,antigen_presentation,27,269,1.1870907611317105,0.4622800749030698,0.7248106862286408
DLPFC,H19.30.002,interferon_inflammatory,27,269,0.2094311366478602,0.16643724582230734,0.042993890825552855
DLPFC,H19.30.002,oxidative_stress_gene_preserved,27,269,0.3632699295326515,0.10940615107135702,0.2538637784612945
DLPFC,H19.33.004,dam_lipid_trem2_apoe,19,181,0.8986779937618657,0.16103223608343642,0.7376457576784293
DLPFC,H19.33.004,lysosomal_endolysosomal,19,181,1.3994377914227938,0.641602454593827,0.7578353368289668
DLPFC,H19.33.004,complement_phagocytosis,19,181,1.431785357625861,0.34520490117659225,1.0865804564492687
DLPFC,H19.33.004,antigen_presentation,19,181,1.4312997899557416,0.3658992100239459,1.0654005799317958
DLPFC,H19.33.004,interferon_inflammatory,19,181,0.34079536325053167,0.219122890897548,0.12167247235298367
DLPFC,H19.33.004,oxidative_stress_gene_preserved,19,181,0.7066924713159862,0.3422604560111109,0.36443201530487535
DLPFC,H20.33.001,dam_lipid_trem2_apoe,24,237,0.6402111984789371,0.14184953731323596,0.4983616611657012
DLPFC,H20.33.001,lysosomal_endolysosomal,24,237,1.2042339940865834,0.575571617811038,0.6286623762755453
DLPFC,H20.33.001,complement_phagocytosis,24,237,1.2383956437309582,0.3347774856264078,0.9036181581045504
DLPFC,H20.33.001,antigen_presentation,24,237,1.6572834799687068,0.564407611760912,1.0928758682077948
DLPFC,H20.33.001,interferon_inflammatory,24,237,0.16581351403146982,0.1575548856633122,0.008258628368157633
DLPFC,H20.33.001,oxidative_stress_gene_preserved,24,237,0.40619945091505844,0.15201669830813186,0.2541827526069266
DLPFC,H20.33.002,dam_lipid_trem2_apoe,38,371,0.7173826302352705,0.2115132653247314,0.5058693649105391
DLPFC,H20.33.002,lysosomal_endolysosomal,38,371,0.9399911965194502,0.6236269476640257,0.31636424885542447
DLPFC,H20.33.002,complement_phagocytosis,38,371,1.1619768346610821,0.48082315540217324,0.6811536792589089
DLPFC,H20.33.002,antigen_presentation,38,371,1.1774607865433944,0.46690560144314547,0.710555185100249
DLPFC,H20.33.002,interferon_inflammatory,38,371,0.24090036083208888,0.2090305434565017,0.03186981737558717
DLPFC,H20.33.002,oxidative_stress_gene_preserved,38,371,0.47675299585649844,0.1504499048717581,0.3263030909847403
DLPFC,H20.33.004,dam_lipid_trem2_apoe,25,249,1.2952054381370544,0.29506871271803675,1.0001367254190177
DLPFC,H20.33.004,lysosomal_endolysosomal,25,249,1.6668113827705384,0.6800713736608804,0.986740009109658
DLPFC,H20.33.004,complement_phagocytosis,25,249,1.6080398225784303,0.3857935166741949,1.2222463059042354
DLPFC,H20.33.004,antigen_presentation,25,249,2.543087739944458,1.050524333753739,1.492563406190719
DLPFC,H20.33.004,interferon_inflammatory,25,249,0.266533904671669,0.15742161923862366,0.10911228543304533
DLPFC,H20.33.004,oxidative_stress_gene_preserved,25,249,0.8297831583023071,0.3052133712842761,0.524569787018031
DLPFC,H20.33.005,dam_lipid_trem2_apoe,12,115,0.8595540722211202,0.13507307385620865,0.7244809983649116
DLPFC,H20.33.005,lysosomal_endolysosomal,12,115,1.3578677624464035,0.5005134831304136,0.85735427931599
DLPFC,H20.33.005,complement_phagocytosis,12,115,1.3045954902966816,0.2337031689674958,1.0708923213291859
DLPFC,H20.33.005,antigen_presentation,12,115,1.4372013012568157,0.3405260974946229,1.0966752037621927
DLPFC,H20.33.005,interferon_inflammatory,12,115,0.3118184407552083,0.15233168005943298,0.15948676069577533
DLPFC,H20.33.005,oxidative_stress_gene_preserved,12,115,0.651061707486709,0.15866292812254118,0.4923987793641678
DLPFC,H20.33.008,dam_lipid_trem2_apoe,15,148,0.8043950994809469,0.08756318094359862,0.7168319185373483
DLPFC,H20.33.008,lysosomal_endolysosomal,15,148,1.3063008069992066,0.4715120821587137,0.8347887248404928
DLPFC,H20.33.008,complement_phagocytosis,15,148,1.1668083369731903,0.28229107234526324,0.8845172646279271
DLPFC,H20.33.008,antigen_presentation,15,148,1.7812283198038736,0.4876660677428181,1.2935622520610555
DLPFC,H20.33.008,interferon_inflammatory,15,148,0.23665721267461776,0.1414488735734611,0.09520833910115667
DLPFC,H20.33.008,oxidative_stress_gene_preserved,15,148,0.5081898937622706,0.14176812637093905,0.3664217673913316
DLPFC,H20.33.011,dam_lipid_trem2_apoe,24,240,0.9002510185043017,0.22979739154689013,0.6704536269574115
DLPFC,H20.33.011,lysosomal_endolysosomal,24,240,1.348214124639829,0.6517058447003364,0.6965082799394925
DLPFC,H20.33.011,complement_phagocytosis,24,240,1.568975528081258,0.45461662324766317,1.114358904833595
DLPFC,H20.33.011,antigen_presentation,24,240,1.8801494911313057,0.6653839902952313,1.2147655008360743
DLPFC,H20.33.011,interferon_inflammatory,24,240,0.3117278863986333,0.19065305500601729,0.12107483139261602
DLPFC,H20.33.011,oxidative_stress_gene_preserved,24,240,0.4334673521419366,0.17253911669055622,0.2609282354513804
DLPFC,H20.33.012,dam_lipid_trem2_apoe,38,374,0.8218032670648474,0.1412498717778985,0.6805533952869489
DLPFC,H20.33.012,lysosomal_endolysosomal,38,374,1.3298344361154657,0.6442744071311491,0.6855600289843166
DLPFC,H20.33.012,complement_phagocytosis,38,374,1.683694340680775,0.4262962023762458,1.2573981383045292
DLPFC,H20.33.012,antigen_presentation,38,374,1.5679991151157178,0.4139586179093881,1.1540404972063296
DLPFC,H20.33.012,interferon_inflammatory,38,374,0.24417658738399806,0.15749000880448893,0.08668657857950912
DLPFC,H20.33.012,oxidative_stress_gene_preserved,38,374,0.5009045965577427,0.1612714808733068,0.3396331156844359
DLPFC,H20.33.013,dam_lipid_trem2_apoe,21,205,0.8128766672951835,0.16456581361410094,0.6483108536810825
DLPFC,H20.33.013,lysosomal_endolysosomal,21,205,1.3015470050630116,0.6320188149446394,0.6695281901183722
DLPFC,H20.33.013,complement_phagocytosis,21,205,1.5536677837371826,0.3775204789711208,1.1761473047660618
DLPFC,H20.33.013,antigen_presentation,21,205,1.5281427275566828,0.39169072803200744,1.1364519995246753
DLPFC,H20.33.013,interferon_inflammatory,21,205,0.2526492256493795,0.14177883187445198,0.11087039377492755
DLPFC,H20.33.013,oxidative_stress_gene_preserved,21,205,0.5065855816716239,0.15132799777315883,0.35525758389846507
DLPFC,H20.33.014,dam_lipid_trem2_apoe,15,145,0.557813760638237,0.07207368252606228,0.4857400781121747
DLPFC,H20.33.014,lysosomal_endolysosomal,15,145,1.0540948430697124,0.390437627146984,0.6636572159227283
DLPFC,H20.33.014,complement_phagocytosis,15,145,0.5328285793463389,0.15923414425603274,0.3735944350903061
DLPFC,H20.33.014,antigen_presentation,15,145,1.0517322063446044,0.38590050391082104,0.6658317024337834
DLPFC,H20.33.014,interferon_inflammatory,15,145,0.24472249150276185,0.1730685016204571,0.07165398988230476
DLPFC,H20.33.014,oxidative_stress_gene_preserved,15,145,0.41050134400526683,0.10018648638807494,0.3103148576171919
DLPFC,H20.33.015,dam_lipid_trem2_apoe,34,339,0.734485849738121,0.1995434232253944,0.5349424265127266
DLPFC,H20.33.015,lysosomal_endolysosomal,34,339,1.0948375954347498,0.5920007520281108,0.502836843406639
DLPFC,H20.33.015,complement_phagocytosis,34,339,1.2167796229614931,0.4239421560920797,0.7928374668694134
DLPFC,H20.33.015,antigen_presentation,34,339,1.17818702406743,0.36699580691293276,0.8111912171544972
DLPFC,H20.33.015,interferon_inflammatory,34,339,0.19111212649766138,0.17527166688072998,0.015840459616931396
DLPFC,H20.33.015,oxidative_stress_gene_preserved,34,339,0.5780787174316013,0.18185186997099964,0.39622684746060166
DLPFC,H20.33.016,dam_lipid_trem2_apoe,27,262,0.7624290629669472,0.1611834738318247,0.6012455891351225
DLPFC,H20.33.016,lysosomal_endolysosomal,27,262,1.0071905652681987,0.4981269294979008,0.5090636357702979
DLPFC,H20.33.016,complement_phagocytosis,27,262,1.27837985974771,0.27464746089495773,1.0037323988527524
DLPFC,H20.33.016,antigen_presentation,27,262,1.6364492685706526,0.5508684555765326,1.08558081299412
DLPFC,H20.33.016,interferon_inflammatory,27,262,0.26474145275575145,0.18503808508847505,0.0797033676672764
DLPFC,H20.33.016,oxidative_stress_gene_preserved,27,262,0.559313377848378,0.1669048246365922,0.3924085532117858
DLPFC,H20.33.017,dam_lipid_trem2_apoe,48,473,1.0912902653217316,0.23302229173308195,0.8582679735886496
DLPFC,H20.33.017,lysosomal_endolysosomal,48,473,1.3041512009998162,0.572544208209938,0.7316069927898782
DLPFC,H20.33.017,complement_phagocytosis,48,473,1.3596828480561574,0.33887321554738675,1.0208096325087705
DLPFC,H20.33.017,antigen_presentation,48,473,1.513729527592659,0.35971018727120585,1.1540193403214531
DLPFC,H20.33.017,interferon_inflammatory,48,473,0.3037206009030342,0.19650196097397402,0.1072186399290602
DLPFC,H20.33.017,oxidative_stress_gene_preserved,48,473,0.5362290025999149,0.16391815837417545,0.37231084422573946
DLPFC,H20.33.018,dam_lipid_trem2_apoe,35,350,1.0271170130797795,0.20762289447443827,0.8194941186053413
DLPFC,H20.33.018,lysosomal_endolysosomal,35,350,1.6237632615225657,0.6115050487220287,1.0122582128005368
DLPFC,H20.33.018,complement_phagocytosis,35,350,1.2521215541022164,0.277672274602311,0.9744492794999053
DLPFC,H20.33.018,antigen_presentation,35,350,1.5404604758535112,0.30269775126661574,1.2377627245868954
DLPFC,H20.33.018,interferon_inflammatory,35,350,0.3131211470280375,0.1716203407730375,0.141500806255
DLPFC,H20.33.018,oxidative_stress_gene_preserved,35,350,0.5949315579874175,0.17272633153413022,0.4222052264532873
DLPFC,H20.33.019,dam_lipid_trem2_apoe,23,224,0.5614494759103527,0.09208265103266708,0.46936682487768555
DLPFC,H20.33.019,lysosomal_endolysosomal,23,224,1.2877768459527388,0.5070283504735146,0.7807484954792242
DLPFC,H20.33.019,complement_phagocytosis,23,224,1.1881627518197764,0.24747185282675283,0.9406908989930236
DLPFC,H20.33.019,antigen_presentation,23,224,1.3626297854858895,0.3172358281777373,1.045393957308152
DLPFC,H20.33.019,interferon_inflammatory,23,224,0.22225086747304254,0.14340156812353858,0.07884929934950397
DLPFC,H20.33.019,oxidative_stress_gene_preserved,23,224,0.500309048463469,0.1578103871683457,0.3424986612951233
DLPFC,H20.33.020,dam_lipid_trem2_apoe,55,548,0.8551610030911185,0.17321699880824906,0.6819440042828695
DLPFC,H20.33.020,lysosomal_endolysosomal,55,548,1.180645059455525,0.6169109437206801,0.5637341157348448
DLPFC,H20.33.020,complement_phagocytosis,55,548,1.588986459645358,0.4019793815992392,1.1870070780461188
DLPFC,H20.33.020,antigen_presentation,55,548,1.6440865408290517,0.43649404179168877,1.207592499037363
DLPFC,H20.33.020,interferon_inflammatory,55,548,0.23707904585383155,0.19436794082314646,0.04271110503068509
DLPFC,H20.33.020,oxidative_stress_gene_preserved,55,548,0.5588616417212919,0.21427024913149595,0.344591392589796
DLPFC,H20.33.024,dam_lipid_trem2_apoe,25,247,0.4763335534930229,0.1369554577508436,0.3393780957421793
DLPFC,H20.33.024,lysosomal_endolysosomal,25,247,0.9877978825569153,0.5259532468159672,0.46184463574094803
DLPFC,H20.33.024,complement_phagocytosis,25,247,0.8463475704193115,0.2021750573988868,0.6441725130204248
DLPFC,H20.33.024,antigen_presentation,25,247,1.0745026648044587,0.3881816986480705,0.6863209661563882
DLPFC,H20.33.024,interferon_inflammatory,25,247,0.13280071079730987,0.11363300982757137,0.019167700969738508
DLPFC,H20.33.024,oxidative_stress_gene_preserved,25,247,0.43239243030548097,0.0981491470807477,0.3342432832247333
DLPFC,H20.33.025,dam_lipid_trem2_apoe,55,545,0.6038974025032737,0.11852032817011579,0.4853770743331579
DLPFC,H20.33.025,lysosomal_endolysosomal,55,545,1.0080678099935705,0.47543895854315626,0.5326288514504143
DLPFC,H20.33.025,complement_phagocytosis,55,545,1.168944382125681,0.32242912488793013,0.846515257237751
DLPFC,H20.33.025,antigen_presentation,55,545,1.6458498163656754,0.505811365509252,1.1400384508564234
DLPFC,H20.33.025,interferon_inflammatory,55,545,0.2075583350929347,0.15958234339679053,0.047975991696144166
DLPFC,H20.33.025,oxidative_stress_gene_preserved,55,545,0.33007281720638276,0.11805312642400417,0.2120196907823786
DLPFC,H20.33.026,dam_lipid_trem2_apoe,29,281,1.0617668834225884,0.1788752124614987,0.8828916709610897
DLPFC,H20.33.026,lysosomal_endolysosomal,29,281,1.5492177872822201,0.6506143597309275,0.8986034275512926
DLPFC,H20.33.026,complement_phagocytosis,29,281,1.89788595150257,0.41949506679357584,1.4783908847089942
DLPFC,H20.33.026,antigen_presentation,29,281,1.704020420025135,0.3897203881545423,1.3143000318705926
DLPFC,H20.33.026,interferon_inflammatory,29,281,0.28532096949116936,0.16673321926508933,0.11858775022608004
