url,resource_type,local_path,size_bytes,content_type,sha256,committed_to_git
https://cdn.prod.website-files.com/689cfbd308fa7373b604d290/68debdfdd1b8e9f8fd64dab0_sea-ad_cohort_donor_metadata_072524.xlsx,donor metadata,data\sea_ad\stage41abc\raw\68debdfdd1b8e9f8fd64dab0_sea-ad_cohort_donor_metadata_072524.xlsx,45189,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,d18faa1c51f426bb2bf17ce431878cfacce673729c1ee185be84a51d31271146,False
https://cdn.prod.website-files.com/689cfbd308fa7373b604d290/6a45788da3f3b0699e8e4bba_sea-ad_sage_change_log_063026.pdf,white paper / PDF,data\sea_ad\stage41abc\whitepapers\6a45788da3f3b0699e8e4bba_sea-ad_sage_change_log_063026.pdf,271781,application/pdf,3d6a9fbee1548dad08182cce9199931d5bc8729435b2617f99f89e389062f291,False
https://cdn.prod.website-files.com/689cfbd308fa7373b604d290/68debdfdae5f82b97af2fb0f_sea-ad_cohort_mri_volumetrics.xlsx,MRI volumetrics,data\sea_ad\stage41abc\raw\68debdfdae5f82b97af2fb0f_sea-ad_cohort_mri_volumetrics.xlsx,63688,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,40e8e3f584b4a75a392e204426cd1561ecf093d006a4a43a04071b6730fb3b3a,False
https://cdn.prod.website-files.com/689cfbd308fa7373b604d290/68debdfcf51ccbd2e5ca83d5_seaad_donor_available_imaging_information071725.xlsx,donor metadata,data\sea_ad\stage41abc\raw\68debdfcf51ccbd2e5ca83d5_seaad_donor_available_imaging_information071725.xlsx,12756,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,49735d99ba4e7b4240cb29742b4063a362aa68fc821b2526385e0ea6352c379e,False
https://sea-ad-spatial-transcriptomics.s3.amazonaws.com/index.html,spatial transcriptomics,data\sea_ad\stage41abc\raw\index.html,36726,text/html,df7949426bfe9a51cf6d2aee8e8f3cd5fcc4cb9e3c9d74178d50ee1aff76c031,False
https://allen-brain-map-cms-802451596237-us-west-2.s3.amazonaws.com/SEA-AD/sea-ad.csv,AWS/open data bucket,data\sea_ad\stage41abc\raw\sea-ad.csv,243835644,text/csv,bb71a4d70844d292f46973480ffede5c9cbca482ef608d639f3963e9a6f12cc6,False
https://allen-brain-map-cms-802451596237-us-west-2.s3.us-west-2.amazonaws.com/SEA-AD/white_papers_May2026.zip,white paper / PDF,data\sea_ad\stage41abc\whitepapers\white_papers_May2026.zip,2107571,application/zip,54501ee4f0efb80c20d318425cee13f3c339975c688ad5175d8209d57a91c520,False
https://cdn.prod.website-files.com/689cfbd308fa7373b604d290/6a457ebab63d450fdab62af0_sea-ad_cohort_information_063026.pdf,white paper / PDF,data\sea_ad\stage41abc\whitepapers\6a457ebab63d450fdab62af0_sea-ad_cohort_information_063026.pdf,103330,application/pdf,2b6e3abf8961082f3a4d2c604e5b4a8f0d99ced01793370318c110cf44e5cbb1,False
https://cdn.prod.website-files.com/689cfbd308fa7373b604d290/68deba1b76dbbdfe375c0f2f_sea-ad_cohortmetadata_summarygraphs.pdf,white paper / PDF,data\sea_ad\stage41abc\whitepapers\68deba1b76dbbdfe375c0f2f_sea-ad_cohortmetadata_summarygraphs.pdf,526296,application/pdf,e54c5a3f52d6596a882c1f5da057f8acdf85520aa1c7d2dbe8b1127dc875162a,False
https://cdn.prod.website-files.com/689cfbd308fa7373b604d290/68deba1b38856009de991c5e_sea-ad_snomics_datageneration_rin_methods.pdf,white paper / PDF,data\sea_ad\stage41abc\whitepapers\68deba1b38856009de991c5e_sea-ad_snomics_datageneration_rin_methods.pdf,96449,application/pdf,6b09fba978142ac20b148c24b6561a0956589ce6b600cc9c441bd48c45250ca1,False
https://cdn.prod.website-files.com/689cfbd308fa7373b604d290/6a4585b091403c31e8d98a36_sea-ad_snrnaseq_analysis_postsequencing_06302026.pdf,white paper / PDF,data\sea_ad\stage41abc\whitepapers\6a4585b091403c31e8d98a36_sea-ad_snrnaseq_analysis_postsequencing_06302026.pdf,273736,application/pdf,4144000071230fcf3fe4fe6cefdae30e16305e5a66ec338992aaf782806644ee,False
https://cdn.prod.website-files.com/689cfbd308fa7373b604d290/6a458356cbaf777f617ae687_sea-ad_donorindex_dataelementbriefdescriptions_063026.pdf,white paper / PDF,data\sea_ad\stage41abc\whitepapers\6a458356cbaf777f617ae687_sea-ad_donorindex_dataelementbriefdescriptions_063026.pdf,238627,application/pdf,be2e79b69a28eec016435c1d3ba78f9f8a1f189b3e1418df4fa1b682d8e3cb0b,False
https://cdn.prod.website-files.com/689cfbd308fa7373b604d290/68deba1b2cfad1d75ec33e9f_sea-ad_donorindex_dataelementcitations.pdf,white paper / PDF,data\sea_ad\stage41abc\whitepapers\68deba1b2cfad1d75ec33e9f_sea-ad_donorindex_dataelementcitations.pdf,125310,application/pdf,30610e536354de9e9d87ba84148bbf729e7ff81c6a83728de2e212328a05eed5,False
https://cdn.prod.website-files.com/689cfbd308fa7373b604d290/68deba1b845ee61de688d376_addetectionmethods-ccdxdescription.pdf,white paper / PDF,data\sea_ad\stage41abc\whitepapers\68deba1b845ee61de688d376_addetectionmethods-ccdxdescription.pdf,138815,application/pdf,307b87a6a9c182cedc0a46909b05de0012a59905772881bab1a9795809a4b9b0,False
https://cdn.prod.website-files.com/689cfbd308fa7373b604d290/6a457f51cdf4431cae35c90b_sea-ad_dissection_mri_neuropathanalysis_methods_063026.pdf,white paper / PDF,data\sea_ad\stage41abc\whitepapers\6a457f51cdf4431cae35c90b_sea-ad_dissection_mri_neuropathanalysis_methods_063026.pdf,96292,application/pdf,fd43253f4b81525c98092f8de518b499111ed1a09905a1e1c88893c2eb4ec98c,False
https://cdn.prod.website-files.com/689cfbd308fa7373b604d290/6a458531b71c8d1b58bf9235_sea-ad_singlecellprofiling-awsdocumentationtutorial_06302026.pdf,white paper / PDF,data\sea_ad\stage41abc\whitepapers\6a458531b71c8d1b58bf9235_sea-ad_singlecellprofiling-awsdocumentationtutorial_06302026.pdf,239474,application/pdf,1cb5dd4d44028fa96525492e0d7bf18b02254fd0637132c4fe6cace8c45e6fea,False
https://cdn.prod.website-files.com/689cfbd308fa7373b604d290/6a4584cb0e0018d98867f61c_sea-ad_quantitativeneuropathology_awsdocumentationtutorial_063026.pdf,white paper / PDF,data\sea_ad\stage41abc\whitepapers\6a4584cb0e0018d98867f61c_sea-ad_quantitativeneuropathology_awsdocumentationtutorial_063026.pdf,721321,application/pdf,27ff2e3d4bd0fc992703c05642a8f54552bc74672246fd1abaf898a9c847650b,False
https://cdn.prod.website-files.com/689cfbd308fa7373b604d290/6a458438009552b68cc82c98_sea-ad_nomenclature_versioning_063026.pdf,white paper / PDF,data\sea_ad\stage41abc\whitepapers\6a458438009552b68cc82c98_sea-ad_nomenclature_versioning_063026.pdf,93122,application/pdf,3c98b372fb69958d2a4ba687889ac1cb5b73dfd08bde0e268e6e269136f998b3,False
