model,target,n_oof_donors,pooled_oof_spearman,pooled_oof_r2,pooled_oof_mae
jepa_ema_e20,percent NeuN positive area_Grey matter,84,0.4857547838412473,0.1904791543443296,1.3465051651000977
pseudobulk,ripa pTau_Grey matter,84,0.4703654955958287,0.07256395949403982,1.5852859020233154
jepa_ema_var_e30,percent AT8 positive area_Grey matter,84,0.43948567378758735,0.3242149579069903,0.8116480708122253
jepa_ema_e20,percent AT8 positive area_Grey matter,84,0.4365698086463501,0.2748296334855199,0.8566021919250488
jepa_ema_var_e30,percent NeuN positive area_Grey matter,84,0.42537207654146,0.12041177189491292,1.4186211824417114
pseudobulk,percent AT8 positive area_Grey matter,84,0.4215045054166245,0.36491070593235064,0.8283443450927734
jepa_ema_e20,guhcl abeta42_Grey matter,84,0.3881056398989567,-1.0648395839415246,506.66607666015625
jepa_ema_var_e30,guhcl abeta42_Grey matter,84,0.38556436956752843,-14.761707629725331,795.16845703125
pseudobulk,guhcl abeta42_Grey matter,84,0.37435645619346053,-9.074958811342311,780.8304443359375
jepa_ema_var_e30,guhcl pTau_Grey matter,84,0.362494115026552,0.023067620906615183,0.5849778056144714
pseudobulk,guhcl pTau_Grey matter,84,0.35973007588451783,-0.25294270257321183,0.6478756070137024
pseudobulk,percent NeuN positive area_Grey matter,84,0.3368836691303027,-0.03936286018825008,1.5633995532989502
jepa_ema_e20,guhcl pTau_Grey matter,84,0.3066665991687633,0.023583224521426804,0.568427562713623
pseudobulk,ripa abeta42_Grey matter,84,0.3062195628182932,0.0715362640714281,81.63208770751953
pseudobulk,percent 6e10 positive area_Grey matter,84,0.27433431203806824,0.054547058343327626,2.0089290142059326
jepa_ema_var_e30,ripa abeta42_Grey matter,84,0.2560520001214956,-0.0528180895225312,82.14679718017578
jepa_ema_var_e30,ripa pTau_Grey matter,84,0.25343727852586817,0.013730707449491564,1.6955461502075195
jepa_ema_e20,percent 6e10 positive area_Grey matter,84,0.24278627113496,-0.023822699049371288,1.9661531448364258
jepa_ema_e20,ripa abeta42_Grey matter,84,0.2285028703338092,-0.054232751340216545,79.59344482421875
jepa_ema_e20,ripa pTau_Grey matter,84,0.20884884074111573,0.04909593847280391,1.7105352878570557
jepa_ema_var_e30,percent 6e10 positive area_Grey matter,84,0.20123519287232966,-0.15836754395240438,2.116974353790283
jepa_ema_var_e30,percent GFAP positive area_Grey matter,84,0.17165131112686038,-0.11720269317016196,3.5627357959747314
pseudobulk,percent GFAP positive area_Grey matter,84,0.1647666295433836,-0.1148445244050682,3.521332263946533
jepa_ema_e20,percent GFAP positive area_Grey matter,84,0.15524956970740103,-0.07165075453850234,3.4454269409179688
pseudobulk,percent Iba1 positive area_Grey matter,84,0.12309405689986838,-0.27123044964056,1.8772590160369873
jepa_ema_e20,percent Iba1 positive area_Grey matter,84,0.020026323782525057,-0.17129335335739992,1.7105859518051147
jepa_ema_var_e30,percent Iba1 positive area_Grey matter,84,-0.06491849751948972,-0.35104305144627146,1.820115089416504
