candidate_id,n_bootstrap,bootstrap_lower_95,bootstrap_upper_95,mean_oof_spearman
cellxgene_composition_only,500,0.025396764291720286,0.20683665053744668,0.11355674800040498
latent_plus_cellxgene_composition,500,0.09028496362245234,0.27452257056541285,0.1851817353447403
latent_plus_mri_engineered,500,0.11476720440258796,0.3251706280192038,0.22288954135871214
latent_plus_safe_metadata_plus_cellxgene_composition,500,0.086047223125308,0.27917264627910965,0.18678951098511692
latent_plus_safe_metadata_plus_cellxgene_plus_mri_engineered,500,0.21464445278049232,0.40211693495303846,0.3121433633694442
latent_plus_safe_metadata_plus_mri_engineered,500,0.1813937682477756,0.37527716599600947,0.2771286827984206
mri_engineered_only,500,0.07120442083023569,0.29804200543611153,0.19142240987525477
stage27c_reference,500,0.20056933522632456,0.42223969743137385,0.3267024400121495
stage39e_reference,500,0.23717622553521794,0.44563730252554684,0.35808116279206914
stage41b_reference,500,0.25105672570507087,0.42281459722642345,0.3394229016907968
