group,n_donors,Age at Death_mean,Age at Death_median,PMI_mean,PMI_median,Brain pH_mean,Brain pH_median,RIN_mean,RIN_median,microglia_pvm_n_cells_mean,microglia_pvm_n_cells_median,percent AT8 positive area_Grey matter_mean,percent AT8 positive area_Grey matter_median,percent 6e10 positive area_Grey matter_mean,percent 6e10 positive area_Grey matter_median,percent GFAP positive area_Grey matter_mean,percent GFAP positive area_Grey matter_median,percent Iba1 positive area_Grey matter_mean,percent Iba1 positive area_Grey matter_median,percent NeuN positive area_Grey matter_mean,percent NeuN positive area_Grey matter_median,braak_numeric_mean,braak_numeric_median,thal_numeric_mean,thal_numeric_median,adnc_rank_mean,adnc_rank_median,cognitive_status_counts,adnc_counts
all_donors,89,88.72619047619048,90.0,6.966428571428579,6.90833333333335,6.6726190476190474,6.7,8.184166666666666,8.63,449.438202247191,391.0,1.1076642816190474,0.383231436,2.365482033607143,1.618864998,6.019373039130953,4.9341146005,3.769017661678572,3.547850433,2.8833119921785717,2.5700260564999997,4.5,5.0,3.3333333333333335,4.0,2.142857142857143,2.5,No dementia:42; Dementia:42; NA:5,High:42; Intermediate:21; Low:12; Not AD:9; NA:5
relaxed_low_pathology_anchor,10,84.6,82.0,6.518333333333329,5.75,6.790000000000001,6.699999999999999,8.534,9.105,446.7,410.5,0.0191716646,0.0167681675,0.0033667525000000004,0.000957138,5.0280907511,2.0422746725,3.9603293478999992,2.850921008,3.2722022752,3.4332623515,2.9,4.0,0.4,0.0,0.3,0.0,No dementia:10,Not AD:7; Low:3
strict_low_pathology_anchor,4,79.5,76.5,8.329166666666666,9.15,6.4,6.4,8.7325,9.3,470.75,410.5,0.0191562035,0.0138429355,0.0071123095,0.001103795,7.990121565000001,1.9687643765,4.22863535,3.3808996104999998,1.7472400344999999,1.7999437464999999,1.0,1.0,0.5,0.5,0.5,0.5,No dementia:4,Not AD:2; Low:2
non_anchor,79,89.28378378378379,91.0,7.026981981981991,6.95833333333335,6.6567567567567565,6.7,8.136891891891892,8.615,449.7848101265823,391.0,1.2547578785135136,0.6212255865,2.684686801324324,1.9923888065000002,6.153330105081082,5.2164666605,3.743164731108108,3.6030085035,2.8307592512297304,2.5423426165,4.716216216216216,5.0,3.72972972972973,4.0,2.391891891891892,3.0,Dementia:42; No dementia:32; NA:5,High:42; Intermediate:21; Low:9; NA:5; Not AD:2
