dataset,embedding_space,variable,disease_label,control_label,n_disease,n_control,disease_mean,control_mean,mean_difference_disease_minus_control,rank_biserial_effect,mannwhitney_p,auc_ad_vs_control,category,n_cells_before_filter,n_cells_after_filter,n_external_groups,n_jepa_genes,n_matched_genes,gene_overlap_fraction,control_centroid_shift_applied,control_centroid_shift_l2,missing_gene_imputation,alignment
GSE138852_Grubman_Leng,projector,z_103,AD,Control,3,3,0.14777537683645883,0.14288863042990366,0.004886746406555176,0.33333333333333326,0.7,0.6666666666666667,latent_axis,13214,449,6,2957,2626,0.8880622252282719,False,,zero,none
GSE138852_Grubman_Leng,projector,z_71,AD,Control,3,3,0.19623657067616782,0.17014320939779282,0.026093361278375,0.33333333333333326,0.7,0.6666666666666667,latent_axis,13214,449,6,2957,2626,0.8880622252282719,False,,zero,none
GSE138852_Grubman_Leng,projector,z_63,AD,Control,3,3,0.21924676497777304,0.21457857390244803,0.004668191075325012,0.11111111111111116,1.0,0.5555555555555556,latent_axis,13214,449,6,2957,2626,0.8880622252282719,False,,zero,none
GSE138852_Grubman_Leng,projector,z_30,AD,Control,3,3,0.07036852339903514,0.07232175519069035,-0.0019532317916552133,-0.11111111111111116,1.0,0.4444444444444445,latent_axis,13214,449,6,2957,2626,0.8880622252282719,False,,zero,none
GSE138852_Grubman_Leng,projector,z_1,AD,Control,3,3,0.4059243897596995,0.40963218609491986,-0.003707796335220337,-0.33333333333333337,0.7,0.33333333333333337,latent_axis,13214,449,6,2957,2626,0.8880622252282719,False,,zero,none
GSE138852_Grubman_Leng,projector,z_120,AD,Control,3,3,0.1740479121605555,0.17609415451685587,-0.002046242356300354,-0.33333333333333337,0.7,0.33333333333333337,latent_axis,13214,449,6,2957,2626,0.8880622252282719,False,,zero,none
GSE138852_Grubman_Leng,projector,z_26,AD,Control,3,3,-0.5397065381209055,-0.49503035346666974,-0.044676184654235784,-0.33333333333333337,0.7,0.33333333333333337,latent_axis,13214,449,6,2957,2626,0.8880622252282719,False,,zero,none
GSE138852_Grubman_Leng,projector,z_57,AD,Control,3,3,-0.22259538372357687,-0.20296374460061392,-0.01963163912296295,-0.33333333333333337,0.7,0.33333333333333337,latent_axis,13214,449,6,2957,2626,0.8880622252282719,False,,zero,none
GSE138852_Grubman_Leng,projector,z_94,AD,Control,3,3,0.0965659028540055,0.14437742779652277,-0.04781152494251727,-0.5555555555555556,0.4,0.22222222222222224,latent_axis,13214,449,6,2957,2626,0.8880622252282719,False,,zero,none
GSE138852_Grubman_Leng,projector,module_at8_associated_first_pass,AD,Control,3,3,0.11009820799032848,0.04576658892134825,0.06433161906898022,1.0,0.1,1.0,module_score,13214,449,6,2957,2626,0.8880622252282719,False,,zero,none
