baseline_id,baseline_name,target,target_oof_spearman,target_specific_rank,target_specific_winner,mean_oof_spearman_across_targets,median_oof_spearman_across_targets,rank,is_target_winner
module_mean_baseline,Module mean baseline,GFAP,0.24941176470588236,1,module_mean_baseline,0.33250980392156865,0.31696078431372554,1,True
module_mean_baseline,Module mean baseline,6e10/Aβ,0.31696078431372554,2,raw_expression_ridge,0.33250980392156865,0.31696078431372554,1,False
module_mean_baseline,Module mean baseline,AT8,0.5517647058823529,2,lightgbm_raw_expression,0.33250980392156865,0.31696078431372554,1,False
module_mean_baseline,Module mean baseline,Iba1,0.10500000000000001,4,wgcna_module_summary_ridge,0.33250980392156865,0.31696078431372554,1,False
module_mean_baseline,Module mean baseline,NeuN,0.4394117647058824,5,raw_expression_elasticnet,0.33250980392156865,0.31696078431372554,1,False
pca_elasticnet,PCA elastic net,NeuN,0.5653921568627451,2,raw_expression_elasticnet,0.30011764705882354,0.2085294117647059,2,False
pca_elasticnet,PCA elastic net,GFAP,0.1674509803921569,3,module_mean_baseline,0.30011764705882354,0.2085294117647059,2,False
pca_elasticnet,PCA elastic net,Iba1,0.2085294117647059,3,wgcna_module_summary_ridge,0.30011764705882354,0.2085294117647059,2,False
pca_elasticnet,PCA elastic net,6e10/Aβ,0.17205882352941176,4,raw_expression_ridge,0.30011764705882354,0.2085294117647059,2,False
pca_elasticnet,PCA elastic net,AT8,0.38715686274509803,6,lightgbm_raw_expression,0.30011764705882354,0.2085294117647059,2,False
raw_expression_ridge,Raw expression ridge,6e10/Aβ,0.31754901960784315,1,raw_expression_ridge,0.2899607843137255,0.31754901960784315,3,True
raw_expression_ridge,Raw expression ridge,GFAP,0.18401960784313726,2,module_mean_baseline,0.2899607843137255,0.31754901960784315,3,False
raw_expression_ridge,Raw expression ridge,AT8,0.4136274509803922,5,lightgbm_raw_expression,0.2899607843137255,0.31754901960784315,3,False
raw_expression_ridge,Raw expression ridge,Iba1,0.09529411764705882,5,wgcna_module_summary_ridge,0.2899607843137255,0.31754901960784315,3,False
raw_expression_ridge,Raw expression ridge,NeuN,0.4393137254901961,6,raw_expression_elasticnet,0.2899607843137255,0.31754901960784315,3,False
lightgbm_raw_expression,LightGBM raw expression,AT8,0.6444117647058825,1,lightgbm_raw_expression,0.28017647058823536,0.15558823529411764,4,True
lightgbm_raw_expression,LightGBM raw expression,6e10/Aβ,0.12450980392156863,5,raw_expression_ridge,0.28017647058823536,0.15558823529411764,4,False
lightgbm_raw_expression,LightGBM raw expression,GFAP,0.15558823529411764,5,module_mean_baseline,0.28017647058823536,0.15558823529411764,4,False
lightgbm_raw_expression,LightGBM raw expression,Iba1,0.07450980392156861,6,wgcna_module_summary_ridge,0.28017647058823536,0.15558823529411764,4,False
