comparison,bootstrap_iterations,delta_mean,delta_ci_low,delta_ci_high,ci_low_above_zero
mtg_programming_plus_dlpfc_state_modules_full_minus_mtg_programming_only_same80,500,0.00527583495092229,-0.009148179651891297,0.019785205463101554,False
mtg_programming_plus_dlpfc_state_modules_full_minus_negative_control_state_label_shuffled_within_donor,500,-0.00640253479598635,-0.020458584378151793,0.005532240768239512,False
mtg_programming_plus_dlpfc_state_modules_full_minus_stage27c_locked,500,-0.045251183165277466,-0.1592038775954503,0.06995109053436281,False
