scenario_id,control_type,control_graph_id,seed,donor_id,metric,real_donor_value,control_donor_value,paired_difference,aggregation_unit,validated_regulation,validated_grn_claim,causal_validation_pass,therapeutic_target_claim,biological_benefit_claim
ELF1_down_0p10,degree_preserving_edge_shuffle,degree_preserving_edge_shuffle_seed_79005,79005.0,H18.30.002,mean_euclidean_displacement,0.0002303250541444,0.0002303250541444,0.0,Donor ID,False,False,False,False,False
ELF1_down_0p10,degree_preserving_edge_shuffle,degree_preserving_edge_shuffle_seed_79005,79005.0,H19.33.004,mean_euclidean_displacement,0.0001725314194283,0.0001725314194283,0.0,Donor ID,False,False,False,False,False
ELF1_down_0p10,degree_preserving_edge_shuffle,degree_preserving_edge_shuffle_seed_79005,79005.0,H20.33.001,mean_euclidean_displacement,0.0001247750476198,0.0001247750476198,0.0,Donor ID,False,False,False,False,False
ELF1_down_0p10,degree_preserving_edge_shuffle,degree_preserving_edge_shuffle_seed_79005,79005.0,H20.33.002,mean_euclidean_displacement,0.0001761380881362,0.0001761380881362,0.0,Donor ID,False,False,False,False,False
ELF1_down_0p10,degree_preserving_edge_shuffle,degree_preserving_edge_shuffle_seed_79005,79005.0,H20.33.004,mean_euclidean_displacement,0.0001452902420169,0.0001452902420169,0.0,Donor ID,False,False,False,False,False
ELF1_down_0p10,degree_preserving_edge_shuffle,degree_preserving_edge_shuffle_seed_79006,79006.0,H18.30.001,mean_euclidean_displacement,3.627306432463229e-05,3.627306432463229e-05,0.0,Donor ID,False,False,False,False,False
ELF1_down_0p10,degree_preserving_edge_shuffle,degree_preserving_edge_shuffle_seed_79006,79006.0,H18.30.002,mean_euclidean_displacement,0.0002303250541444,0.0002303250541444,0.0,Donor ID,False,False,False,False,False
ELF1_down_0p10,degree_preserving_edge_shuffle,degree_preserving_edge_shuffle_seed_79006,79006.0,H19.33.004,mean_euclidean_displacement,0.0001725314194283,0.0001725314194283,0.0,Donor ID,False,False,False,False,False
ELF1_down_0p10,degree_preserving_edge_shuffle,degree_preserving_edge_shuffle_seed_79006,79006.0,H20.33.001,mean_euclidean_displacement,0.0001247750476198,0.0001247750476198,0.0,Donor ID,False,False,False,False,False
ELF1_down_0p10,degree_preserving_edge_shuffle,degree_preserving_edge_shuffle_seed_79006,79006.0,H20.33.002,mean_euclidean_displacement,0.0001761380881362,0.0001761380881362,0.0,Donor ID,False,False,False,False,False
ELF1_down_0p10,degree_preserving_edge_shuffle,degree_preserving_edge_shuffle_seed_79006,79006.0,H20.33.004,mean_euclidean_displacement,0.0001452902420169,0.0001452902420169,0.0,Donor ID,False,False,False,False,False
ELF1_down_0p10,degree_preserving_edge_shuffle,degree_preserving_edge_shuffle_seed_79007,79007.0,H18.30.001,mean_euclidean_displacement,3.627306432463229e-05,3.627306432463229e-05,0.0,Donor ID,False,False,False,False,False
ELF1_down_0p10,degree_preserving_edge_shuffle,degree_preserving_edge_shuffle_seed_79007,79007.0,H18.30.002,mean_euclidean_displacement,0.0002303250541444,0.0002303250541444,0.0,Donor ID,False,False,False,False,False
ELF1_down_0p10,degree_preserving_edge_shuffle,degree_preserving_edge_shuffle_seed_79007,79007.0,H19.33.004,mean_euclidean_displacement,0.0001725314194283,0.0001725314194283,0.0,Donor ID,False,False,False,False,False
ELF1_down_0p10,degree_preserving_edge_shuffle,degree_preserving_edge_shuffle_seed_79007,79007.0,H20.33.001,mean_euclidean_displacement,0.0001247750476198,0.0001247750476198,0.0,Donor ID,False,False,False,False,False
ELF1_down_0p10,degree_preserving_edge_shuffle,degree_preserving_edge_shuffle_seed_79007,79007.0,H20.33.002,mean_euclidean_displacement,0.0001761380881362,0.0001761380881362,0.0,Donor ID,False,False,False,False,False
ELF1_down_0p10,degree_preserving_edge_shuffle,degree_preserving_edge_shuffle_seed_79007,79007.0,H20.33.004,mean_euclidean_displacement,0.0001452902420169,0.0001452902420169,0.0,Donor ID,False,False,False,False,False
ELF1_down_0p10,degree_preserving_edge_shuffle,degree_preserving_edge_shuffle_seed_79008,79008.0,H18.30.001,mean_euclidean_displacement,3.627306432463229e-05,3.627306432463229e-05,0.0,Donor ID,False,False,False,False,False
ELF1_down_0p10,degree_preserving_edge_shuffle,degree_preserving_edge_shuffle_seed_79008,79008.0,H18.30.002,mean_euclidean_displacement,0.0002303250541444,0.0002303250541444,0.0,Donor ID,False,False,False,False,False
ELF1_down_0p10,degree_preserving_edge_shuffle,degree_preserving_edge_shuffle_seed_79008,79008.0,H19.33.004,mean_euclidean_displacement,0.0001725314194283,0.0001725314194283,0.0,Donor ID,False,False,False,False,False
ELF1_down_0p10,degree_preserving_edge_shuffle,degree_preserving_edge_shuffle_seed_79008,79008.0,H20.33.001,mean_euclidean_displacement,0.0001247750476198,0.0001247750476198,0.0,Donor ID,False,False,False,False,False
ELF1_down_0p10,degree_preserving_edge_shuffle,degree_preserving_edge_shuffle_seed_79008,79008.0,H20.33.002,mean_euclidean_displacement,0.0001761380881362,0.0001761380881362,0.0,Donor ID,False,False,False,False,False
ELF1_down_0p10,degree_preserving_edge_shuffle,degree_preserving_edge_shuffle_seed_79008,79008.0,H20.33.004,mean_euclidean_displacement,0.0001452902420169,0.0001452902420169,0.0,Donor ID,False,False,False,False,False
ELF1_down_0p10,degree_preserving_edge_shuffle,degree_preserving_edge_shuffle_seed_79009,79009.0,H18.30.001,mean_euclidean_displacement,3.627306432463229e-05,3.627306432463229e-05,0.0,Donor ID,False,False,False,False,False
ELF1_down_0p10,degree_preserving_edge_shuffle,degree_preserving_edge_shuffle_seed_79009,79009.0,H18.30.002,mean_euclidean_displacement,0.0002303250541444,0.0002303250541444,0.0,Donor ID,False,False,False,False,False
ELF1_down_0p10,degree_preserving_edge_shuffle,degree_preserving_edge_shuffle_seed_79009,79009.0,H19.33.004,mean_euclidean_displacement,0.0001725314194283,0.0001725314194283,0.0,Donor ID,False,False,False,False,False
ELF1_down_0p10,degree_preserving_edge_shuffle,degree_preserving_edge_shuffle_seed_79009,79009.0,H20.33.001,mean_euclidean_displacement,0.0001247750476198,0.0001247750476198,0.0,Donor ID,False,False,False,False,False
ELF1_down_0p10,degree_preserving_edge_shuffle,degree_preserving_edge_shuffle_seed_79009,79009.0,H20.33.002,mean_euclidean_displacement,0.0001761380881362,0.0001761380881362,0.0,Donor ID,False,False,False,False,False
ELF1_down_0p10,degree_preserving_edge_shuffle,degree_preserving_edge_shuffle_seed_79009,79009.0,H20.33.004,mean_euclidean_displacement,0.0001452902420169,0.0001452902420169,0.0,Donor ID,False,False,False,False,False
ELF1_down_0p10,degree_preserving_edge_shuffle,degree_preserving_edge_shuffle_seed_79010,79010.0,H18.30.001,mean_euclidean_displacement,3.627306432463229e-05,3.627306432463229e-05,0.0,Donor ID,False,False,False,False,False
ELF1_down_0p10,degree_preserving_edge_shuffle,degree_preserving_edge_shuffle_seed_79010,79010.0,H18.30.002,mean_euclidean_displacement,0.0002303250541444,0.0002303250541444,0.0,Donor ID,False,False,False,False,False
ELF1_down_0p10,degree_preserving_edge_shuffle,degree_preserving_edge_shuffle_seed_79010,79010.0,H19.33.004,mean_euclidean_displacement,0.0001725314194283,0.0001725314194283,0.0,Donor ID,False,False,False,False,False
ELF1_down_0p10,degree_preserving_edge_shuffle,degree_preserving_edge_shuffle_seed_79010,79010.0,H20.33.001,mean_euclidean_displacement,0.0001247750476198,0.0001247750476198,0.0,Donor ID,False,False,False,False,False
ELF1_down_0p10,degree_preserving_edge_shuffle,degree_preserving_edge_shuffle_seed_79010,79010.0,H20.33.002,mean_euclidean_displacement,0.0001761380881362,0.0001761380881362,0.0,Donor ID,False,False,False,False,False
ELF1_down_0p10,degree_preserving_edge_shuffle,degree_preserving_edge_shuffle_seed_79010,79010.0,H20.33.004,mean_euclidean_displacement,0.0001452902420169,0.0001452902420169,0.0,Donor ID,False,False,False,False,False
ELF1_down_0p10,degree_preserving_edge_shuffle,degree_preserving_edge_shuffle_seed_79011,79011.0,H18.30.001,mean_euclidean_displacement,3.627306432463229e-05,3.627306432463229e-05,0.0,Donor ID,False,False,False,False,False
ELF1_down_0p10,degree_preserving_edge_shuffle,degree_preserving_edge_shuffle_seed_79011,79011.0,H18.30.002,mean_euclidean_displacement,0.0002303250541444,0.0002303250541444,0.0,Donor ID,False,False,False,False,False
ELF1_down_0p10,degree_preserving_edge_shuffle,degree_preserving_edge_shuffle_seed_79011,79011.0,H19.33.004,mean_euclidean_displacement,0.0001725314194283,0.0001725314194283,0.0,Donor ID,False,False,False,False,False
ELF1_down_0p10,degree_preserving_edge_shuffle,degree_preserving_edge_shuffle_seed_79011,79011.0,H20.33.001,mean_euclidean_displacement,0.0001247750476198,0.0001247750476198,0.0,Donor ID,False,False,False,False,False
ELF1_down_0p10,degree_preserving_edge_shuffle,degree_preserving_edge_shuffle_seed_79011,79011.0,H20.33.002,mean_euclidean_displacement,0.0001761380881362,0.0001761380881362,0.0,Donor ID,False,False,False,False,False
ELF1_down_0p10,degree_preserving_edge_shuffle,degree_preserving_edge_shuffle_seed_79011,79011.0,H20.33.004,mean_euclidean_displacement,0.0001452902420169,0.0001452902420169,0.0,Donor ID,False,False,False,False,False
ELF1_down_0p10,degree_preserving_edge_shuffle,degree_preserving_edge_shuffle_seed_79012,79012.0,H18.30.001,mean_euclidean_displacement,3.627306432463229e-05,3.627306432463229e-05,0.0,Donor ID,False,False,False,False,False
ELF1_down_0p10,degree_preserving_edge_shuffle,degree_preserving_edge_shuffle_seed_79012,79012.0,H18.30.002,mean_euclidean_displacement,0.0002303250541444,0.0002303250541444,0.0,Donor ID,False,False,False,False,False
ELF1_down_0p10,degree_preserving_edge_shuffle,degree_preserving_edge_shuffle_seed_79012,79012.0,H19.33.004,mean_euclidean_displacement,0.0001725314194283,0.0001725314194283,0.0,Donor ID,False,False,False,False,False
ELF1_down_0p10,degree_preserving_edge_shuffle,degree_preserving_edge_shuffle_seed_79012,79012.0,H20.33.001,mean_euclidean_displacement,0.0001247750476198,0.0001247750476198,0.0,Donor ID,False,False,False,False,False
ELF1_down_0p10,degree_preserving_edge_shuffle,degree_preserving_edge_shuffle_seed_79012,79012.0,H20.33.002,mean_euclidean_displacement,0.0001761380881362,0.0001761380881362,0.0,Donor ID,False,False,False,False,False
ELF1_down_0p10,degree_preserving_edge_shuffle,degree_preserving_edge_shuffle_seed_79012,79012.0,H20.33.004,mean_euclidean_displacement,0.0001452902420169,0.0001452902420169,0.0,Donor ID,False,False,False,False,False
ELF1_down_0p10,degree_preserving_edge_shuffle,degree_preserving_edge_shuffle_seed_79013,79013.0,H18.30.001,mean_euclidean_displacement,3.627306432463229e-05,3.627306432463229e-05,0.0,Donor ID,False,False,False,False,False
ELF1_down_0p10,degree_preserving_edge_shuffle,degree_preserving_edge_shuffle_seed_79013,79013.0,H18.30.002,mean_euclidean_displacement,0.0002303250541444,0.0002303250541444,0.0,Donor ID,False,False,False,False,False
ELF1_down_0p10,degree_preserving_edge_shuffle,degree_preserving_edge_shuffle_seed_79013,79013.0,H19.33.004,mean_euclidean_displacement,0.0001725314194283,0.0001725314194283,0.0,Donor ID,False,False,False,False,False
ELF1_down_0p10,degree_preserving_edge_shuffle,degree_preserving_edge_shuffle_seed_79013,79013.0,H20.33.001,mean_euclidean_displacement,0.0001247750476198,0.0001247750476198,0.0,Donor ID,False,False,False,False,False
ELF1_down_0p10,degree_preserving_edge_shuffle,degree_preserving_edge_shuffle_seed_79013,79013.0,H20.33.002,mean_euclidean_displacement,0.0001761380881362,0.0001761380881362,0.0,Donor ID,False,False,False,False,False
ELF1_down_0p10,degree_preserving_edge_shuffle,degree_preserving_edge_shuffle_seed_79013,79013.0,H20.33.004,mean_euclidean_displacement,0.0001452902420169,0.0001452902420169,0.0,Donor ID,False,False,False,False,False
ELF1_down_0p10,degree_preserving_edge_shuffle,degree_preserving_edge_shuffle_seed_79014,79014.0,H18.30.001,mean_euclidean_displacement,3.627306432463229e-05,3.627306432463229e-05,0.0,Donor ID,False,False,False,False,False
ELF1_down_0p10,degree_preserving_edge_shuffle,degree_preserving_edge_shuffle_seed_79014,79014.0,H18.30.002,mean_euclidean_displacement,0.0002303250541444,0.0002303250541444,0.0,Donor ID,False,False,False,False,False
ELF1_down_0p10,degree_preserving_edge_shuffle,degree_preserving_edge_shuffle_seed_79014,79014.0,H19.33.004,mean_euclidean_displacement,0.0001725314194283,0.0001725314194283,0.0,Donor ID,False,False,False,False,False
ELF1_down_0p10,degree_preserving_edge_shuffle,degree_preserving_edge_shuffle_seed_79014,79014.0,H20.33.001,mean_euclidean_displacement,0.0001247750476198,0.0001247750476198,0.0,Donor ID,False,False,False,False,False
ELF1_down_0p10,degree_preserving_edge_shuffle,degree_preserving_edge_shuffle_seed_79014,79014.0,H20.33.002,mean_euclidean_displacement,0.0001761380881362,0.0001761380881362,0.0,Donor ID,False,False,False,False,False
ELF1_down_0p10,degree_preserving_edge_shuffle,degree_preserving_edge_shuffle_seed_79014,79014.0,H20.33.004,mean_euclidean_displacement,0.0001452902420169,0.0001452902420169,0.0,Donor ID,False,False,False,False,False
ELF1_down_0p10,degree_preserving_edge_shuffle,degree_preserving_edge_shuffle_seed_79015,79015.0,H18.30.001,mean_euclidean_displacement,3.627306432463229e-05,3.627306432463229e-05,0.0,Donor ID,False,False,False,False,False
ELF1_down_0p10,degree_preserving_edge_shuffle,degree_preserving_edge_shuffle_seed_79015,79015.0,H18.30.002,mean_euclidean_displacement,0.0002303250541444,0.0002303250541444,0.0,Donor ID,False,False,False,False,False
ELF1_down_0p10,degree_preserving_edge_shuffle,degree_preserving_edge_shuffle_seed_79015,79015.0,H19.33.004,mean_euclidean_displacement,0.0001725314194283,0.0001725314194283,0.0,Donor ID,False,False,False,False,False
ELF1_down_0p10,degree_preserving_edge_shuffle,degree_preserving_edge_shuffle_seed_79015,79015.0,H20.33.001,mean_euclidean_displacement,0.0001247750476198,0.0001247750476198,0.0,Donor ID,False,False,False,False,False
ELF1_down_0p10,degree_preserving_edge_shuffle,degree_preserving_edge_shuffle_seed_79015,79015.0,H20.33.002,mean_euclidean_displacement,0.0001761380881362,0.0001761380881362,0.0,Donor ID,False,False,False,False,False
ELF1_down_0p10,degree_preserving_edge_shuffle,degree_preserving_edge_shuffle_seed_79015,79015.0,H20.33.004,mean_euclidean_displacement,0.0001452902420169,0.0001452902420169,0.0,Donor ID,False,False,False,False,False
ELF1_down_0p10,degree_preserving_edge_shuffle,degree_preserving_edge_shuffle_seed_79016,79016.0,H18.30.001,mean_euclidean_displacement,3.627306432463229e-05,3.627306432463229e-05,0.0,Donor ID,False,False,False,False,False
ELF1_down_0p10,degree_preserving_edge_shuffle,degree_preserving_edge_shuffle_seed_79016,79016.0,H18.30.002,mean_euclidean_displacement,0.0002303250541444,0.0002303250541444,0.0,Donor ID,False,False,False,False,False
ELF1_down_0p10,degree_preserving_edge_shuffle,degree_preserving_edge_shuffle_seed_79016,79016.0,H19.33.004,mean_euclidean_displacement,0.0001725314194283,0.0001725314194283,0.0,Donor ID,False,False,False,False,False
ELF1_down_0p10,degree_preserving_edge_shuffle,degree_preserving_edge_shuffle_seed_79016,79016.0,H20.33.001,mean_euclidean_displacement,0.0001247750476198,0.0001247750476198,0.0,Donor ID,False,False,False,False,False
ELF1_down_0p10,degree_preserving_edge_shuffle,degree_preserving_edge_shuffle_seed_79016,79016.0,H20.33.002,mean_euclidean_displacement,0.0001761380881362,0.0001761380881362,0.0,Donor ID,False,False,False,False,False
ELF1_down_0p10,degree_preserving_edge_shuffle,degree_preserving_edge_shuffle_seed_79016,79016.0,H20.33.004,mean_euclidean_displacement,0.0001452902420169,0.0001452902420169,0.0,Donor ID,False,False,False,False,False
ELF1_down_0p10,degree_preserving_edge_shuffle,degree_preserving_edge_shuffle_seed_79017,79017.0,H18.30.001,mean_euclidean_displacement,3.627306432463229e-05,3.627306432463229e-05,0.0,Donor ID,False,False,False,False,False
ELF1_down_0p10,degree_preserving_edge_shuffle,degree_preserving_edge_shuffle_seed_79017,79017.0,H18.30.002,mean_euclidean_displacement,0.0002303250541444,0.0002303250541444,0.0,Donor ID,False,False,False,False,False
ELF1_down_0p10,degree_preserving_edge_shuffle,degree_preserving_edge_shuffle_seed_79017,79017.0,H19.33.004,mean_euclidean_displacement,0.0001725314194283,0.0001725314194283,0.0,Donor ID,False,False,False,False,False
ELF1_down_0p10,degree_preserving_edge_shuffle,degree_preserving_edge_shuffle_seed_79017,79017.0,H20.33.001,mean_euclidean_displacement,0.0001247750476198,0.0001247750476198,0.0,Donor ID,False,False,False,False,False
ELF1_down_0p10,degree_preserving_edge_shuffle,degree_preserving_edge_shuffle_seed_79017,79017.0,H20.33.002,mean_euclidean_displacement,0.0001761380881362,0.0001761380881362,0.0,Donor ID,False,False,False,False,False
ELF1_down_0p10,degree_preserving_edge_shuffle,degree_preserving_edge_shuffle_seed_79017,79017.0,H20.33.004,mean_euclidean_displacement,0.0001452902420169,0.0001452902420169,0.0,Donor ID,False,False,False,False,False
ELF1_down_0p10,degree_preserving_edge_shuffle,degree_preserving_edge_shuffle_seed_79018,79018.0,H18.30.001,mean_euclidean_displacement,3.627306432463229e-05,3.627306432463229e-05,0.0,Donor ID,False,False,False,False,False
ELF1_down_0p10,degree_preserving_edge_shuffle,degree_preserving_edge_shuffle_seed_79018,79018.0,H18.30.002,mean_euclidean_displacement,0.0002303250541444,0.0002303250541444,0.0,Donor ID,False,False,False,False,False
ELF1_down_0p10,degree_preserving_edge_shuffle,degree_preserving_edge_shuffle_seed_79018,79018.0,H19.33.004,mean_euclidean_displacement,0.0001725314194283,0.0001725314194283,0.0,Donor ID,False,False,False,False,False
ELF1_down_0p10,degree_preserving_edge_shuffle,degree_preserving_edge_shuffle_seed_79018,79018.0,H20.33.001,mean_euclidean_displacement,0.0001247750476198,0.0001247750476198,0.0,Donor ID,False,False,False,False,False
ELF1_down_0p10,degree_preserving_edge_shuffle,degree_preserving_edge_shuffle_seed_79018,79018.0,H20.33.002,mean_euclidean_displacement,0.0001761380881362,0.0001761380881362,0.0,Donor ID,False,False,False,False,False
ELF1_down_0p10,degree_preserving_edge_shuffle,degree_preserving_edge_shuffle_seed_79018,79018.0,H20.33.004,mean_euclidean_displacement,0.0001452902420169,0.0001452902420169,0.0,Donor ID,False,False,False,False,False
ELF1_down_0p10,degree_preserving_edge_shuffle,degree_preserving_edge_shuffle_seed_79019,79019.0,H18.30.001,mean_euclidean_displacement,3.627306432463229e-05,3.627306432463229e-05,0.0,Donor ID,False,False,False,False,False
ELF1_down_0p10,degree_preserving_edge_shuffle,degree_preserving_edge_shuffle_seed_79019,79019.0,H18.30.002,mean_euclidean_displacement,0.0002303250541444,0.0002303250541444,0.0,Donor ID,False,False,False,False,False
ELF1_down_0p10,degree_preserving_edge_shuffle,degree_preserving_edge_shuffle_seed_79019,79019.0,H19.33.004,mean_euclidean_displacement,0.0001725314194283,0.0001725314194283,0.0,Donor ID,False,False,False,False,False
