dataset,n_cells_scored_full_h5ad,high_tail_threshold,low_reference_threshold,n_high_tail_cells,n_low_reference_cells,n_donors,n_high_tail_donors
DLPFC,42486,1.3129036476682465,-0.07733010387095274,2125,21243,83,81
MTG,40000,1.144890521198029,-0.01229429577441319,2000,20000,89,81
