comparison,mean_delta,ci_lower_2p5,ci_upper_97p5,bootstrap_iterations
rare_aux_vs_no_aux,0.018664624329619378,0.00043516738079989604,0.035741999654947294,1000
rare_aux_vs_shuffled_aux,0.020163418571363133,0.010504680383650641,0.030436819506625423,1000
rare_aux_vs_stage27c,0.008914351064863098,-0.004341274075937947,0.022128152835915228,1000
