analysis_label,model_variant,latent_dim,seed,fold_id,rare_burden_dataset,n_fold_donors,mean_fold_rare_burden,mean_fold_tail_variance,mean_fold_top5pct
stage61_best,mtg_programming_plus_dlpfc_state_modules,8,107,1,DLPFC,16,0.0701449230001558,0.5589363674833807,1.7011362431477366
stage61_best,mtg_programming_plus_dlpfc_state_modules,8,107,1,MTG,16,0.05441614850409435,0.43223049683922216,1.3144900718025028
stage61_best,mtg_programming_plus_dlpfc_state_modules,8,107,2,DLPFC,16,0.0505012578068614,0.44045197140468006,1.4908468588134545
stage61_best,mtg_programming_plus_dlpfc_state_modules,8,107,2,MTG,16,0.05972361962287451,0.4259019043886729,1.3797734167458988
stage61_best,mtg_programming_plus_dlpfc_state_modules,8,107,3,DLPFC,16,0.055671042980276066,0.47113591571799923,1.5171027225462614
stage61_best,mtg_programming_plus_dlpfc_state_modules,8,107,3,MTG,16,0.04630599352459756,0.4328776660129684,1.2702242646486022
stage61_best,mtg_programming_plus_dlpfc_state_modules,8,107,4,DLPFC,16,0.050635440217179445,0.4538335627956628,1.5096261897996346
stage61_best,mtg_programming_plus_dlpfc_state_modules,8,107,4,MTG,16,0.06656299792953405,0.43625691093303287,1.3861088658716647
stage61_best,mtg_programming_plus_dlpfc_state_modules,8,107,5,DLPFC,16,0.03724137127768619,0.4265155290879112,1.4087495787196254
stage61_best,mtg_programming_plus_dlpfc_state_modules,8,107,5,MTG,16,0.0339653384454372,0.39521408925633683,1.1683911214713905
stage61_best,mtg_programming_plus_dlpfc_state_modules,8,211,1,DLPFC,16,0.03672968290171703,0.42944294246269377,1.513057699819449
stage61_best,mtg_programming_plus_dlpfc_state_modules,8,211,1,MTG,16,0.04922402831125548,0.40640900271449343,1.2772480894968383
stage61_best,mtg_programming_plus_dlpfc_state_modules,8,211,2,DLPFC,16,0.03454296573401022,0.41561364267057144,1.3380346418299065
stage61_best,mtg_programming_plus_dlpfc_state_modules,8,211,2,MTG,16,0.04418930738495644,0.42284908969626456,1.2731402835019352
stage61_best,mtg_programming_plus_dlpfc_state_modules,8,211,3,DLPFC,16,0.06087064110610739,0.49157637168764634,1.5658966296481829
stage61_best,mtg_programming_plus_dlpfc_state_modules,8,211,3,MTG,16,0.07450299052990281,0.44441401435702876,1.419941627577248
stage61_best,mtg_programming_plus_dlpfc_state_modules,8,211,4,DLPFC,16,0.07935883463196816,0.5213747988340292,1.6519203320913736
stage61_best,mtg_programming_plus_dlpfc_state_modules,8,211,4,MTG,16,0.043960917738506806,0.4118997442615481,1.1981627202294332
stage61_best,mtg_programming_plus_dlpfc_state_modules,8,211,5,DLPFC,16,0.05269191090835611,0.49286559083469333,1.5585522896378
stage61_best,mtg_programming_plus_dlpfc_state_modules,8,211,5,MTG,16,0.04909685406191615,0.4369092164008984,1.350495019734604
stage61_best,mtg_programming_plus_dlpfc_state_modules,8,307,1,DLPFC,16,0.06628808148186324,0.4822153698528581,1.5099111326483134
stage61_best,mtg_programming_plus_dlpfc_state_modules,8,307,1,MTG,16,0.05492885007846518,0.4170772531325728,1.2156270235561257
stage61_best,mtg_programming_plus_dlpfc_state_modules,8,307,2,DLPFC,16,0.06090265753258385,0.5340649210943187,1.6888823869417093
stage61_best,mtg_programming_plus_dlpfc_state_modules,8,307,2,MTG,16,0.055681176952495484,0.46041523801689477,1.3620497956184248
stage61_best,mtg_programming_plus_dlpfc_state_modules,8,307,3,DLPFC,16,0.06177514909211759,0.4962287172307538,1.6140387102300233
