regulator,n_direct_targets,median_edge_weight,median_abs_rho
BACH1,29,0.99,0.5954592363261093
CEBPA,19,0.95,0.4200206398348813
CEBPB,30,0.995,0.631578947368421
ELF1,33,1.0,0.6553147574819401
ETS1,15,0.885,0.26109391124871
FOS,4,0.845,0.28314547152733105
IRF8,22,0.955,0.4117647058823529
JUN,14,0.905,0.3126934984520124
MAF,24,0.92,0.37770897832817335
MAFB,27,0.96,0.436532507739938
MITF,26,0.9325000000000001,0.3787409700722394
NFE2L2,30,0.9924999999999999,0.5964912280701754
NFKB1,31,0.995,0.6305469556243549
NRF1,29,1.0,0.7027863777089782
PPARG,29,0.99,0.5356037151702786
RELA,30,0.965,0.44272445820433437
RUNX1,27,0.985,0.587203302373581
SPI1,32,1.0,0.6676986584107327
SREBF1,32,0.96,0.4365325077399381
STAT1,27,0.95,0.434468524251806
STAT3,31,0.995,0.5851393188854489
