tf,target_gene,motif_support_class,n_supported_motifs,n_direct_supported_motifs,n_unique_query_peaks,n_unique_screen_regions,n_evidence_rows,max_motif_NES,max_motif_AUC,min_abs_distance_to_tss,peak_gene_classes,validated_regulation,validated_grn_claim,causal_validation_pass,therapeutic_target_claim,edge_edge_type,edge_n_samples,edge_spearman_rho,edge_spearman_pvalue,edge_bootstrap_median_rho,edge_bootstrap_sd_rho,edge_bootstrap_sign_stability,edge_tf_mean_microglia_expressed_fraction,edge_target_mean_microglia_expressed_fraction,edge_atac_peak_support_status,edge_motif_support_status,edge_edge_candidate_pass,edge_claim_language,edge_stage75f_role,edge_selection_purpose,regulator_role,evidence_tier,stage75_integrated_gate,candidate_coactivity_sign,predicted_response_sign_from_coactivity,edge_sign_rule,direction_confidence_basis,relevant_state_association,desired_tf_change,future_simulation_directions_to_preserve,expected_target_expression_direction,direction_resolved,unresolved_reason,tf_present_in_jepa_feature_space,target_present_in_jepa_feature_space,edge_feature_status,included_in_perturbation_graph_candidate
ELF1,AIF1,extended_only,2,0,1,1,2,5.138000835504443,0.0201401950612792,14.0,promoter_proximal,False,False,False,False,microglia_snrna_sample_coactivity,18,0.3581011351909184,0.1445292896615503,0.3644485019138545,0.2567294752081573,0.895,0.6193480739287138,0.0973237673815291,not_gene_mappable_from_processed_peak_matrix,not_available,True,candidate TF-target coactivity edge; not validated regulation,descriptive_secondary_hypothesis,stage75f_batching_not_candidate_selection,descriptive_secondary_hypothesis,Tier A,advance_supported,positive,positive,"sign(edge_bootstrap_median_rho); coactivity only, not activation/repression",passes_existing_stage72b_abs_rho_and_sign_stability_thresholds,absent_tf_level_state_association_evidence,unresolved,up_and_down_preserved_for_future_simulation,unresolved_without_desired_tf_change,False,No existing TF-level rare-high/background or disease-state association result was found for assigning desired_tf_change; coactivity sign is retained only as predicted_response_sign_from_coactivity.,True,False,missing_target_feature,False
ELF1,AP1G1,extended_only,4,0,1,3,5,5.020747808680946,0.0197603637246611,231.0,promoter_proximal,False,False,False,False,microglia_snrna_sample_coactivity,18,0.8782249742002064,1.6482702612246244e-06,0.8831499614679619,0.0888624777681861,1.0,0.6193480739287138,0.2724491569792058,not_gene_mappable_from_processed_peak_matrix,not_available,True,candidate TF-target coactivity edge; not validated regulation,descriptive_secondary_hypothesis,stage75f_batching_not_candidate_selection,descriptive_secondary_hypothesis,Tier A,advance_supported,positive,positive,"sign(edge_bootstrap_median_rho); coactivity only, not activation/repression",passes_existing_stage72b_abs_rho_and_sign_stability_thresholds,absent_tf_level_state_association_evidence,unresolved,up_and_down_preserved_for_future_simulation,unresolved_without_desired_tf_change,False,No existing TF-level rare-high/background or disease-state association result was found for assigning desired_tf_change; coactivity sign is retained only as predicted_response_sign_from_coactivity.,True,True,usable_signed_edge_feature_present,True
ELF1,APOE,extended_only,2,0,2,2,2,3.546743325186361,0.0149854499478968,257.0,promoter_proximal,False,False,False,False,microglia_snrna_sample_coactivity,18,0.87203302373581,2.40176414537722e-06,0.8711685182706466,0.0780088454646145,1.0,0.6193480739287138,0.3446906182885147,not_gene_mappable_from_processed_peak_matrix,not_available,True,candidate TF-target coactivity edge; not validated regulation,descriptive_secondary_hypothesis,stage75f_batching_not_candidate_selection,descriptive_secondary_hypothesis,Tier A,advance_supported,positive,positive,"sign(edge_bootstrap_median_rho); coactivity only, not activation/repression",passes_existing_stage72b_abs_rho_and_sign_stability_thresholds,absent_tf_level_state_association_evidence,unresolved,up_and_down_preserved_for_future_simulation,unresolved_without_desired_tf_change,False,No existing TF-level rare-high/background or disease-state association result was found for assigning desired_tf_change; coactivity sign is retained only as predicted_response_sign_from_coactivity.,True,True,usable_signed_edge_feature_present,True
ELF1,B2M,extended_only,1,0,1,1,1,3.0622228015189235,0.0134158863885651,451.0,promoter_proximal,False,False,False,False,microglia_snrna_sample_coactivity,18,0.7213622291021672,0.0007279599242661,0.7268011025993726,0.1590129326769298,1.0,0.6193480739287138,0.4198560082588934,not_gene_mappable_from_processed_peak_matrix,not_available,True,candidate TF-target coactivity edge; not validated regulation,descriptive_secondary_hypothesis,stage75f_batching_not_candidate_selection,descriptive_secondary_hypothesis,Tier A,advance_supported,positive,positive,"sign(edge_bootstrap_median_rho); coactivity only, not activation/repression",passes_existing_stage72b_abs_rho_and_sign_stability_thresholds,absent_tf_level_state_association_evidence,unresolved,up_and_down_preserved_for_future_simulation,unresolved_without_desired_tf_change,False,No existing TF-level rare-high/background or disease-state association result was found for assigning desired_tf_change; coactivity sign is retained only as predicted_response_sign_from_coactivity.,True,True,usable_signed_edge_feature_present,True
ELF1,BSG,extended_only,1,0,1,1,1,3.546743325186361,0.0149854499478968,12271.0,proximal_100kb,False,False,False,False,microglia_snrna_sample_coactivity,18,0.6553147574819401,0.0031558468964774,0.6490892233856895,0.1385133892290412,1.0,0.6193480739287138,0.073703154509768,not_gene_mappable_from_processed_peak_matrix,not_available,True,candidate TF-target coactivity edge; not validated regulation,descriptive_secondary_hypothesis,stage75f_batching_not_candidate_selection,descriptive_secondary_hypothesis,Tier A,advance_supported,positive,positive,"sign(edge_bootstrap_median_rho); coactivity only, not activation/repression",passes_existing_stage72b_abs_rho_and_sign_stability_thresholds,absent_tf_level_state_association_evidence,unresolved,up_and_down_preserved_for_future_simulation,unresolved_without_desired_tf_change,False,No existing TF-level rare-high/background or disease-state association result was found for assigning desired_tf_change; coactivity sign is retained only as predicted_response_sign_from_coactivity.,True,True,usable_signed_edge_feature_present,True
ELF1,C1QB,extended_only,4,0,1,1,4,5.020747808680946,0.0197603637246611,320.0,promoter_proximal,False,False,False,False,microglia_snrna_sample_coactivity,18,0.7812177502579979,0.0001293638601319,0.7751156029890933,0.1302873854010081,1.0,0.6193480739287138,0.3998900395366775,not_gene_mappable_from_processed_peak_matrix,not_available,True,candidate TF-target coactivity edge; not validated regulation,descriptive_secondary_hypothesis,stage75f_batching_not_candidate_selection,descriptive_secondary_hypothesis,Tier A,advance_supported,positive,positive,"sign(edge_bootstrap_median_rho); coactivity only, not activation/repression",passes_existing_stage72b_abs_rho_and_sign_stability_thresholds,absent_tf_level_state_association_evidence,unresolved,up_and_down_preserved_for_future_simulation,unresolved_without_desired_tf_change,False,No existing TF-level rare-high/background or disease-state association result was found for assigning desired_tf_change; coactivity sign is retained only as predicted_response_sign_from_coactivity.,True,True,usable_signed_edge_feature_present,True
ELF1,C1QC,extended_only,3,0,1,1,3,5.138000835504443,0.0201401950612792,222.0,promoter_proximal,False,False,False,False,microglia_snrna_sample_coactivity,18,0.7048503611971104,0.0010886663167765,0.6899060117810119,0.140872732163587,1.0,0.6193480739287138,0.2888782096876465,not_gene_mappable_from_processed_peak_matrix,not_available,True,candidate TF-target coactivity edge; not validated regulation,descriptive_secondary_hypothesis,stage75f_batching_not_candidate_selection,descriptive_secondary_hypothesis,Tier A,advance_supported,positive,positive,"sign(edge_bootstrap_median_rho); coactivity only, not activation/repression",passes_existing_stage72b_abs_rho_and_sign_stability_thresholds,absent_tf_level_state_association_evidence,unresolved,up_and_down_preserved_for_future_simulation,unresolved_without_desired_tf_change,False,No existing TF-level rare-high/background or disease-state association result was found for assigning desired_tf_change; coactivity sign is retained only as predicted_response_sign_from_coactivity.,True,True,usable_signed_edge_feature_present,True
ELF1,CD74,extended_only,5,0,3,6,7,5.020747808680946,0.0197603637246611,1408.0,promoter_proximal;proximal_100kb,False,False,False,False,microglia_snrna_sample_coactivity,18,0.4200206398348813,0.0826735672031632,0.4443282224532225,0.2070906704331097,0.96,0.6193480739287138,0.6072988296607282,not_gene_mappable_from_processed_peak_matrix,not_available,True,candidate TF-target coactivity edge; not validated regulation,descriptive_secondary_hypothesis,stage75f_batching_not_candidate_selection,descriptive_secondary_hypothesis,Tier A,advance_supported,positive,positive,"sign(edge_bootstrap_median_rho); coactivity only, not activation/repression",passes_existing_stage72b_abs_rho_and_sign_stability_thresholds,absent_tf_level_state_association_evidence,unresolved,up_and_down_preserved_for_future_simulation,unresolved_without_desired_tf_change,False,No existing TF-level rare-high/background or disease-state association result was found for assigning desired_tf_change; coactivity sign is retained only as predicted_response_sign_from_coactivity.,True,True,usable_signed_edge_feature_present,True
ELF1,CTSB,extended_only,7,0,6,13,21,5.138000835504443,0.0201401950612792,2486.0,proximal_100kb,False,False,False,False,microglia_snrna_sample_coactivity,18,0.5459236326109391,0.0190927295098751,0.5941727367325702,0.2233725235457561,0.98,0.6193480739287138,0.6474920997642787,not_gene_mappable_from_processed_peak_matrix,not_available,True,candidate TF-target coactivity edge; not validated regulation,descriptive_secondary_hypothesis,stage75f_batching_not_candidate_selection,descriptive_secondary_hypothesis,Tier A,advance_supported,positive,positive,"sign(edge_bootstrap_median_rho); coactivity only, not activation/repression",passes_existing_stage72b_abs_rho_and_sign_stability_thresholds,absent_tf_level_state_association_evidence,unresolved,up_and_down_preserved_for_future_simulation,unresolved_without_desired_tf_change,False,No existing TF-level rare-high/background or disease-state association result was found for assigning desired_tf_change; coactivity sign is retained only as predicted_response_sign_from_coactivity.,True,True,usable_signed_edge_feature_present,True
ELF1,FCER1G,extended_only,4,0,2,3,4,5.020747808680946,0.0197603637246611,240.0,promoter_proximal;proximal_100kb,False,False,False,False,microglia_snrna_sample_coactivity,18,0.8740970072239421,2.123130093783671e-06,0.8777450209643607,0.0889129270371107,1.0,0.6193480739287138,0.1322114081343343,not_gene_mappable_from_processed_peak_matrix,not_available,True,candidate TF-target coactivity edge; not validated regulation,descriptive_secondary_hypothesis,stage75f_batching_not_candidate_selection,descriptive_secondary_hypothesis,Tier A,advance_supported,positive,positive,"sign(edge_bootstrap_median_rho); coactivity only, not activation/repression",passes_existing_stage72b_abs_rho_and_sign_stability_thresholds,absent_tf_level_state_association_evidence,unresolved,up_and_down_preserved_for_future_simulation,unresolved_without_desired_tf_change,False,No existing TF-level rare-high/background or disease-state association result was found for assigning desired_tf_change; coactivity sign is retained only as predicted_response_sign_from_coactivity.,True,False,missing_target_feature,False
