model,target,module,perturbation,intervention,Donor ID,prediction_model_scale_baseline,prediction_raw_scale_baseline,prediction_model_scale_perturbed,prediction_raw_scale_perturbed,delta_model_scale,delta_raw_scale
upgrade_fine_08,percent NeuN positive area_Grey matter,complement,complement,global_mean,H19.33.004,1.2301776,2.4218373,1.240774,2.4582894,0.010596395,0.036452055
upgrade_fine_08,percent NeuN positive area_Grey matter,complement,complement,global_mean,H20.33.001,1.1806277,2.2564175,1.1897364,2.2862148,0.009108663,0.029797316
upgrade_fine_08,percent NeuN positive area_Grey matter,complement,complement,global_mean,H20.33.002,1.1672785,2.213236,1.1858991,2.273629,0.01862061,0.060392857
upgrade_fine_08,percent NeuN positive area_Grey matter,complement,complement,global_mean,H20.33.004,1.592226,3.9146771,1.5900794,3.9041386,-0.0021466017,-0.010538578
upgrade_fine_08,percent NeuN positive area_Grey matter,complement,complement,global_mean,H20.33.005,1.043429,1.8389351,1.0490807,1.8550253,0.0056517124,0.016090155
upgrade_fine_08,percent NeuN positive area_Grey matter,complement,complement,global_mean,H20.33.008,0.96527123,1.6254997,0.9720706,1.6434121,0.0067993402,0.017912388
upgrade_fine_08,percent NeuN positive area_Grey matter,complement,complement,global_mean,H20.33.011,1.1575246,2.1820467,1.1744388,2.2363262,0.016914248,0.054279566
upgrade_fine_08,percent NeuN positive area_Grey matter,complement,complement,global_mean,H20.33.012,1.0002195,1.7188785,1.0113552,1.7493243,0.011135697,0.030445814
upgrade_fine_08,percent NeuN positive area_Grey matter,complement,complement,global_mean,H20.33.013,1.1697707,2.2212539,1.1838582,2.2669544,0.014087439,0.04570055
upgrade_fine_08,percent NeuN positive area_Grey matter,complement,complement,global_mean,H20.33.014,1.161329,2.1941757,1.1833388,2.2652578,0.02200973,0.071082115
upgrade_fine_08,percent NeuN positive area_Grey matter,complement,complement,global_mean,H20.33.015,1.262717,2.5350132,1.2745875,2.5772254,0.011870503,0.042212248
upgrade_fine_08,percent NeuN positive area_Grey matter,complement,complement,global_mean,H20.33.016,1.1686733,2.2177207,1.1757164,2.2404635,0.0070431232,0.022742748
upgrade_fine_08,percent NeuN positive area_Grey matter,complement,complement,global_mean,H20.33.017,1.0741835,1.9276013,1.0820564,1.9507413,0.007872939,0.023139954
upgrade_fine_08,percent NeuN positive area_Grey matter,complement,complement,global_mean,H20.33.018,1.1208136,2.0673487,1.1298058,2.0950553,0.008992195,0.027706623
upgrade_fine_08,percent NeuN positive area_Grey matter,complement,complement,global_mean,H20.33.019,1.1483718,2.153055,1.1545432,2.1725738,0.0061713457,0.019518852
upgrade_fine_08,percent NeuN positive area_Grey matter,complement,complement,global_mean,H20.33.020,0.95107067,1.5884795,0.96252847,1.6183083,0.011457801,0.029828787
upgrade_fine_08,percent NeuN positive area_Grey matter,complement,complement,global_mean,H20.33.024,1.4984014,3.4745302,1.5017298,3.4894485,0.0033284426,0.014918327
upgrade_fine_08,percent NeuN positive area_Grey matter,complement,complement,global_mean,H20.33.025,1.184792,2.2700067,1.2017298,2.325865,0.016937733,0.055858374
upgrade_fine_08,percent NeuN positive area_Grey matter,complement,complement,global_mean,H20.33.026,1.2438087,2.4688,1.2472041,2.4805977,0.003395319,0.011797667
upgrade_fine_08,percent NeuN positive area_Grey matter,complement,complement,global_mean,H20.33.027,1.1842073,2.2680953,1.1989006,2.3164687,0.01469326,0.04837346
upgrade_fine_08,percent NeuN positive area_Grey matter,complement,complement,global_mean,H20.33.028,1.0040665,1.7293582,1.0132779,1.7546155,0.009211421,0.025257349
upgrade_fine_08,percent NeuN positive area_Grey matter,complement,complement,global_mean,H20.33.029,1.0869551,1.9652314,1.0916173,1.9790883,0.0046622753,0.013856888
upgrade_fine_08,percent NeuN positive area_Grey matter,complement,complement,global_mean,H20.33.030,1.3367125,2.806509,1.3483144,2.850929,0.011601925,0.044420004
