input_name,path,exists,size_bytes
mtg_h5ad,data/processed/sea_ad_mtg_microglia_pvm_all_hvg3k_module_preserved.h5ad,True,462024617
dlpfc_h5ad,data/sea_ad/stage45/cellxgene/h5ad_assets/100c6145-7b0e-4ba6-81c1-ffebed0d1ac4.h5ad,True,715262151
stage72b_candidate_edges,results/tables/stage72b_tf_target_candidate_edges_v1.csv,True,287059
stage72b_readiness,results/tables/stage72b_grn_readiness_decision_v1.csv,True,367
string_edges,results/tables/v2_graph_string_edges_t700.csv,True,382734
stage68_expression_contrast,results/tables/stage68_high_vs_low_expression_contrast_v1.csv,True,15324
stage68_candidate_cells,results/tables/stage68_candidate_cell_export_index_v1.csv,True,3333189
stage70_lock_gate,results/tables/stage70_lock_gate_decision_v1.csv,True,572
