seed,target,pooled_oof_spearman,n_donors,condition
7,GFAP,0.3115115925888428,84.0,gene_label_permuted_grn_aux
7,Iba1,0.13374506429077657,84.0,gene_label_permuted_grn_aux
7,NeuN,0.5118963247949783,84.0,gene_label_permuted_grn_aux
11,6e10/A_beta,0.29456312645540145,84.0,gene_label_permuted_grn_aux
11,AT8,0.3418446896831022,84.0,gene_label_permuted_grn_aux
11,GFAP,0.3189025007593399,84.0,gene_label_permuted_grn_aux
11,Iba1,0.14113597246127368,84.0,gene_label_permuted_grn_aux
11,NeuN,0.5085754783841248,84.0,gene_label_permuted_grn_aux
17,6e10/A_beta,0.31388073301609803,84.0,gene_label_permuted_grn_aux
17,AT8,0.34714994431507545,84.0,gene_label_permuted_grn_aux
17,GFAP,0.3256656879619318,84.0,gene_label_permuted_grn_aux
17,Iba1,0.19139414802065405,84.0,gene_label_permuted_grn_aux
17,NeuN,0.5028449934190544,84.0,gene_label_permuted_grn_aux
23,6e10/A_beta,0.3082312443049509,84.0,gene_label_permuted_grn_aux
23,AT8,0.45831730282474437,84.0,gene_label_permuted_grn_aux
23,GFAP,0.22435962336741924,84.0,gene_label_permuted_grn_aux
23,Iba1,0.12149438088488408,84.0,gene_label_permuted_grn_aux
23,NeuN,0.5627822213222639,84.0,gene_label_permuted_grn_aux
29,6e10/A_beta,0.2880429280145793,84.0,gene_label_permuted_grn_aux
29,AT8,0.3295332590867672,84.0,gene_label_permuted_grn_aux
29,GFAP,0.3038574465930951,84.0,gene_label_permuted_grn_aux
29,Iba1,0.051007390908170504,84.0,gene_label_permuted_grn_aux
29,NeuN,0.4982889541358712,84.0,gene_label_permuted_grn_aux
