sample_pool,condition,jepa_63,jepa_34,jepa_46,jepa_108
AD1_AD2,AD,-0.027014604,0.14576092,0.12371934,0.01804183
AD3_AD4,AD,-0.048190128,0.12020589,0.096622065,0.063229784
AD5_AD6,AD,-0.04138228,0.14149578,0.11931739,0.03980582
Ct1_Ct2,Control,-0.04206498,0.057589278,0.080456816,0.11218988
Ct3_Ct4,Control,-0.045085583,0.06346082,0.06549595,0.10898985
Ct5_Ct6,Control,-0.06016159,0.049091525,0.053699754,0.13272841
