candidate,degree,pathology_axis_class,therapeutic_like_score,therapeutic_like_decoy_percentile,therapeutic_like_empirical_p,amyloid_selectivity_score,amyloid_selectivity_decoy_percentile,amyloid_selectivity_empirical_p,tau_selectivity_score,tau_selectivity_decoy_percentile,tau_selectivity_empirical_p,discovery_sort_score,discovery_sort_decoy_percentile,discovery_sort_empirical_p,observed_graph_coherence_status,label_shuffle_support,housekeeping_or_hub_warning,null_pool_size,null_pool_scope,null_pool_warning,control_interpretation,negative_control_status,negative_control_interpretation
APOE,46,gliosis_inflating,-0.0347407558001577,15.7,0.8431568431568431,-0.045510545838624,19.9,0.8011988011988012,-0.045510545838624,24.7,0.7532467532467533,-0.0373681873548774,15.7,0.8431568431568431,no_graph_enrichment,not_extreme_vs_shuffled_labels,False,20.0,score_available_candidate_space_degree_and_broad_shift_matched,thin_null_pool,20-49 score-available matched decoys; preliminary candidate-space falsification only,not_extreme_within_scored_candidate_space,candidate is not extreme versus available score-available matched decoys and lacks graph-control support
APP,78,gliosis_inflating,-0.0555666312575338,5.2,0.948051948051948,-0.0935033611021933,5.2,0.948051948051948,-0.0959002994932231,5.2,0.948051948051948,-0.0623184061842037,5.2,0.948051948051948,coherent_same_axis_neighborhood,survives_label_shuffle,False,20.0,score_available_candidate_space_degree_and_broad_shift_matched,thin_null_pool,20-49 score-available matched decoys; preliminary candidate-space falsification only,preliminary_support,thin score-available candidate-space null pool; some decoy or graph-control evidence supports the candidate
BCL2,160,gliosis_inflating,-0.0213495353236793,28.8,0.7122877122877123,-0.0435833486262707,24.6,0.7542457542457542,-0.0482198575045911,23.9,0.7612387612387612,-0.0249881315859965,28.8,0.7122877122877123,candidate_enriched_neighborhood,not_extreme_vs_shuffled_labels,False,22.0,score_available_candidate_space_degree_and_broad_shift_matched,thin_null_pool,20-49 score-available matched decoys; preliminary candidate-space falsification only,preliminary_support,thin score-available candidate-space null pool; some decoy or graph-control evidence supports the candidate
C1QA,20,,,,,,,,,,,,,,not_available,not_testable_missing_fingerprint,False,,,,,not_testable_due_to_thin_null_pool,candidate is missing from the fingerprint table
C1QB,13,,,,,,,,,,,,,,not_available,not_testable_missing_fingerprint,False,,,,,not_testable_due_to_thin_null_pool,candidate is missing from the fingerprint table
C1QC,8,,,,,,,,,,,,,,not_available,not_testable_missing_fingerprint,False,,,,,not_testable_due_to_thin_null_pool,candidate is missing from the fingerprint table
C3,16,,,,,,,,,,,,,,not_available,not_testable_missing_fingerprint,False,,,,,not_testable_due_to_thin_null_pool,candidate is missing from the fingerprint table
CD4,89,artifact_or_covariate_sensitive,0.0077145677059889,91.5,0.08591408591408592,-0.0095348535105585,72.0,0.2807192807192807,-0.0187253328040241,67.5,0.3256743256743257,0.0055568480398506,91.5,0.08591408591408592,no_graph_enrichment,not_extreme_vs_shuffled_labels,False,21.0,score_available_candidate_space_degree_and_broad_shift_matched,thin_null_pool,20-49 score-available matched decoys; preliminary candidate-space falsification only,requires_expanded_decoy_perturbations,candidate has a covariate/artifact-sensitive fingerprint; decoy support cannot clear it
CD74,72,gliosis_inflating,-0.0109261693432926,48.6,0.5144855144855145,-0.020476225297898,53.2,0.46853146853146854,-0.023155814502388,58.1,0.4195804195804196,-0.0126284525962545,53.2,0.46853146853146854,no_graph_enrichment,not_extreme_vs_shuffled_labels,False,20.0,score_available_candidate_space_degree_and_broad_shift_matched,thin_null_pool,20-49 score-available matched decoys; preliminary candidate-space falsification only,not_extreme_within_scored_candidate_space,candidate is not extreme versus available score-available matched decoys and lacks graph-control support
CHI3L1,2,mixed_or_unclear,-0.0022013604175299,69.2,0.3086913086913087,-0.0007521702500525,100.0,0.000999000999000999,-8.496563532390004e-05,100.0,0.000999000999000999,-0.0024863746060872,69.2,0.3086913086913087,no_scored_candidate_neighbors,not_testable_no_scored_neighbors,False,23.0,score_available_candidate_space_degree_and_broad_shift_matched,thin_null_pool,20-49 score-available matched decoys; preliminary candidate-space falsification only,preliminary_support,thin score-available candidate-space null pool; some decoy or graph-control evidence supports the candidate
