dataset_id,n_cells
37a17b78-4864-4a42-b67b-31c00962795a,1870
5c97eeeb-7e52-44b3-b010-b832b1f5424c,1706
6f7fd0f1-a2ed-4ff1-80d3-33dde731cbc3,860
a2c833f7-b7f1-4f4d-ad31-cae478b601b7,859
c2876b1b-06d8-4d96-a56b-5304f815b99a,753
1a38e762-2465-418f-b81c-6a4bce261c34,624
19f1bec6-eeb7-4133-accc-992d745fef89,393
f7c1c579-2dc0-47e2-ba19-8165c5a0e353,340
3c361813-5d5e-4868-bfe5-e7591e7b5381,322
56a4bc14-9407-45fd-8786-f7f6fc87c9dd,247
aa369999-a034-4ad9-b459-8a93c86ea77b,241
5e57cd50-8e42-42d6-940d-5c1660d06864,222
53ce2631-3646-4172-bbd9-38b0a44d8214,173
ecce9688-66ea-4600-98f7-84aed7421c01,168
c893ddc3-f25b-45e2-8c9e-155918b4261c,153
ac0c6561-7a48-4185-af6f-af799f699172,134
be401db3-d732-408a-b0c4-71af0458b8ab,120
203025fe-fa99-4d57-81da-458ed8f0c334,113
f5b0810c-1664-4a62-ad06-be1d9964aa8b,81
93cb76aa-a84b-4a92-8e6c-66a914e26d4c,53
98f5d518-1e60-4307-b732-ab045cd3cbc2,50
3b8b5de4-3aa1-4ac6-8890-8d03c8219981,46
e2808a6e-e2ea-41b9-b38c-4a08f1677f02,46
95d3b0fb-b8a7-4bec-a2e8-cded3222ff07,44
f3c49918-4707-4d92-bb6d-2b5b4eb9d1b4,44
8d1dd010-5cbc-43fb-83f8-e0de8e8517da,40
bab7432a-5cfe-45ea-928c-422d03c45cdd,38
a5d5c529-8a1f-40b5-bda3-35208970070d,34
cff99df2-4904-44f7-9173-ff837f95606e,30
c05e6940-729c-47bd-a2a6-6ce3730c4919,30
b2dda353-0c96-42df-8dcd-1ea7429a6feb,29
a24ce10f-5a87-4e1f-a34a-f4fe5fc84052,28
e6361237-ac4e-4c5d-ad8f-f16aca0c0a8f,26
0bc7235a-ae5a-479d-a487-510435377e55,24
d7cff847-6403-44a6-ad8a-2f5a783639dd,19
07dd8c34-4625-480a-8ee4-273a06c3082b,18
0a2d7e87-c3c0-4ed2-86df-ae18811fcc16,16
43aa19d2-c723-4822-979d-d2f0239835e0,6
