epoch,loss,alignment_loss,variance_loss,covariance_loss,mask_fraction,ema_decay,grad_norm,epoch_seconds,cells_per_second,effective_dims,top_sv_ratio,mean_dim_std,random_gene_dropout_genes,module_dropout_events,module_dropout_genes,external_mask_events,external_mask_genes,edge_dropout_edges
1,0.06943945479415618,0.061388650260413416,0.008244865649817185,0.1280366231839116,0.2,0.992,0.3596351734413126,162.61755860003177,245.97589795566014,8.835618019104004,0.35585978627204895,0.12132958322763443,17740078,3943,40102,0,0,7236260
2,0.00562249927129894,0.0001115711352314812,0.008702794191079399,0.0754073837432808,0.23333333333333334,0.9928333333333333,0.022521625168788167,167.37611479999032,238.98272491148967,20.690980911254883,0.43367376923561096,0.00802944228053093,17743825,3924,39829,0,0,7227540
3,0.005257010574455555,9.482318220047144e-05,0.008797775052440242,0.06805264621306532,0.26666666666666666,0.9936666666666667,0.023865268720438877,174.8269830000354,228.79763360094077,48.46285629272461,0.1865314245223999,0.0028857982251793146,17740927,3872,39304,0,0,7236097
4,0.0051437627327756376,8.615213461196461e-05,0.008846852895669853,0.06576479865482059,0.3,0.9945,0.02278092135779393,176.5749225000618,226.5327342844282,53.890384674072266,0.152765691280365,0.002461839932948351,17742639,4063,41216,0,0,7231124
5,0.005105053335011672,7.906927468296818e-05,0.008874728731192149,0.0650207647048056,0.33333333333333337,0.9953333333333334,0.02032411821222248,178.62899180001114,223.92781595488748,55.86825942993164,0.14389553666114807,0.0022415234707295895,17740923,3902,39483,0,0,7231988
6,0.005121908110444443,7.469090409933949e-05,0.008892749314205334,0.06537334523357141,0.3666666666666667,0.9961666666666666,0.01976924433935279,179.87953249993734,222.37104713408087,56.92845153808594,0.13970954716205597,0.0021644094958901405,17744614,3945,39997,0,0,7232334
7,0.005180230310644966,7.14551145657183e-05,0.008900471763631786,0.06657361534361642,0.4,0.997,0.01883006411583755,180.18059710005764,221.99948631420762,58.42295837402344,0.13378463685512543,0.0020736230071634054,17744603,4099,41528,0,0,7231612
8,0.005253801238351165,6.903474704145242e-05,0.008902192722779874,0.06808655707838056,0.43333333333333335,0.9978333333333333,0.018121996064322254,180.19835610000882,221.9776077080319,60.0057258605957,0.12661947309970856,0.0019861049950122833,17743091,3996,40463,0,0,7227508
9,0.0053309746794759656,6.696743706163887e-05,0.00889861736351404,0.06968567382318143,0.4666666666666667,0.9986666666666667,0.016907731002678696,181.1282208999619,220.83803286563622,61.43583679199219,0.12168687582015991,0.0018892519874498248,17738690,4021,40695,0,0,7230814
10,0.00539900213866807,6.601795220908265e-05,0.008895526878154886,0.07107757438962072,0.5,0.9995,0.016492032077008733,181.0887051000027,220.88622246158744,63.111209869384766,0.11134932935237885,0.0018078918801620603,17744449,4026,40825,0,0,7236874
11,0.0054680113963330515,6.434483269152168e-05,0.008890077052191614,0.07251302155252463,0.5,0.9995,0.01504571871837964,183.24183870002162,218.2907587250448,66.28116607666016,0.09687964618206024,0.0016566270496696234,17742183,4064,41204,0,0,7229226
12,0.005564155164189613,6.439739141982204e-05,0.00888167431179327,0.07446845637533231,0.5,0.9995,0.015624398950296945,183.4556885000784,218.0363025373449,63.194114685058594,0.1146044209599495,0.0018099367152899504,17738462,3951,40012,0,0,7232391
13,0.005675794268116212,6.43772058212719e-05,0.00886992418680328,0.07674864216591604,0.5,0.9995,0.015724558258256593,184.76972420001402,216.48568331844143,62.490081787109375,0.11516963690519333,0.0018374321516603231,17735979,3997,40536,0,0,7234867
14,0.005797455066475815,6.292117670321235e-05,0.008858578568235182,0.07925636154679826,0.5,0.9995,0.014412955029870564,184.20274020009674,217.15203561330623,64.47370147705078,0.10735682398080826,0.0017194945830851793,17743569,4115,41732,0,0,7230029
15,0.005941669370372074,6.217583299825747e-05,0.008842304423332404,0.08222065024530165,0.5,0.9995,0.013750776675300667,184.73760940006468,216.5233172059549,66.36307525634766,0.09632158279418945,0.0016271383501589298,17739152,3917,39838,0,0,7228417
16,0.006100132500532622,6.128576236030164e-05,0.00882504755756059,0.08547674219448345,0.5,0.9995,0.012681277205471318,186.51929770002607,214.45502150844956,68.97148132324219,0.08598070591688156,0.0015230641001835465,17740474,3956,40038,0,0,7234391
