representation,n_donors,latent,pearson_x,pearson_y,spearman_x,spearman_y,linear_xy_to_latent_r2
expression_pca_umap,89,jepa_63,0.3095807632359206,0.04444710539808982,0.3736636023152877,0.13981954375212802,0.09653754413597171
expression_pca_umap,84,percent AT8 positive area_Grey matter,-0.26993880819597293,0.0752355580251707,-0.27087172218284905,0.14194593500050623,0.08467507695597709
expression_pca_umap,84,percent NeuN positive area_Grey matter,0.533130497560859,-0.16169090969939323,0.5292902703249974,-0.14528703047484054,0.33612612778294915
expression_pca_umap,84,percent 6e10 positive area_Grey matter,-0.24668763949369366,0.14340217593522,-0.17521514629948365,0.09346967702743748,0.09130637605233738
expression_pca_umap,84,percent GFAP positive area_Grey matter,-0.10133746084215196,0.06501437090721435,-0.15946137491141035,0.04896223549660828,0.01632769413694568
expression_pca_umap,84,percent Iba1 positive area_Grey matter,-0.16476875166342522,-0.0025418448710989245,-0.17367621747494177,-0.056616381492355976,0.027455176374447277
jepa_latent_umap,89,jepa_63,0.22849507223316518,-0.4680628572816101,0.23094994892747703,-0.434320735444331,0.2626837471926575
jepa_latent_umap,84,percent AT8 positive area_Grey matter,0.2005774999211147,0.19296371831955764,0.16351118760757316,0.2809152576693328,0.0788432702743107
jepa_latent_umap,84,percent NeuN positive area_Grey matter,-0.19717637988972422,-0.37415248575358934,-0.24286726738888326,-0.427214741318214,0.18150272870737738
jepa_latent_umap,84,percent 6e10 positive area_Grey matter,0.038946027329959026,0.29008718237361936,0.08356788498531943,0.29731699908879217,0.08608856054479153
jepa_latent_umap,84,percent GFAP positive area_Grey matter,0.19373717926803682,0.10473684874040005,0.19127265363976917,0.23375518882251695,0.04922820076472478
jepa_latent_umap,84,percent Iba1 positive area_Grey matter,0.21523808108309095,0.18337479848291363,0.25835780095170596,0.22334717019337855,0.08135819838196412
