condition,target,target_key,target_alias,target_context,n_donors,pooled_oof_spearman,pooled_oof_pearson,r2,mae,rmse
target_aware_no_graph_identity_aux_ridge,6e10/Aβ,6e10/A_beta,percent 6e10 positive area_Grey matter,amyloid_context,84,0.3347372684013365,0.31635203121758915,0.09975961956193136,0.5908527814398361,0.6954113538288077
target_aware_no_graph_identity_aux_ridge,AT8,AT8,percent AT8 positive area_Grey matter,neuronal_tau_context,84,0.5284398096588033,0.6623974952216048,0.42808995773853986,0.3514371020098167,0.4386596361996293
target_aware_no_graph_identity_aux_ridge,GFAP,GFAP,percent GFAP positive area_Grey matter,glial_context,84,0.30229826870507237,0.27877065050186,0.07752413383312962,0.4963336075201987,0.5980483240374914
target_aware_no_graph_identity_aux_ridge,Iba1,Iba1,percent Iba1 positive area_Grey matter,glial_context,84,0.016077756403766325,-0.04298590830888694,-0.09295916718496233,0.35916171223590504,0.4595804887952489
target_aware_no_graph_identity_aux_ridge,NeuN,NeuN,percent NeuN positive area_Grey matter,neuronal_tau_context,84,0.4519590968917688,0.4724359148185012,0.20964454842080216,0.38969685928713976,0.48613200008551316
target_aware_real_graph_aux_weight_0_01_ridge,6e10/Aβ,6e10/A_beta,percent 6e10 positive area_Grey matter,amyloid_context,84,0.3347372684013365,0.31632882700635157,0.09974594662089586,0.5908552080941369,0.6954166347973911
target_aware_real_graph_aux_weight_0_01_ridge,AT8,AT8,percent AT8 positive area_Grey matter,neuronal_tau_context,84,0.5278525868178597,0.6615804407840787,0.4264418135770476,0.3519057019640443,0.43929125143880143
target_aware_real_graph_aux_weight_0_01_ridge,GFAP,GFAP,percent GFAP positive area_Grey matter,glial_context,84,0.30235901589551484,0.2787781894786398,0.07752840420736129,0.49633266291590256,0.5980469397773707
target_aware_real_graph_aux_weight_0_01_ridge,Iba1,Iba1,percent Iba1 positive area_Grey matter,glial_context,84,0.015166548547129696,-0.042991264033135024,-0.0929640451138678,0.3591609107883117,0.4595815143589281
target_aware_real_graph_aux_weight_0_01_ridge,NeuN,NeuN,percent NeuN positive area_Grey matter,neuronal_tau_context,84,0.4519590968917688,0.47243669425568696,0.2096450443329111,0.3897007660127861,0.48613184757262623
target_aware_real_graph_aux_weight_0_025_ridge,6e10/Aβ,6e10/A_beta,percent 6e10 positive area_Grey matter,amyloid_context,84,0.33412979649691205,0.316207704911625,0.09967457507965394,0.5908678490696386,0.6954442003346785
target_aware_real_graph_aux_weight_0_025_ridge,AT8,AT8,percent AT8 positive area_Grey matter,neuronal_tau_context,84,0.5168978434747393,0.6567348427673618,0.4191937735988921,0.3540126225830908,0.44205819353354125
target_aware_real_graph_aux_weight_0_025_ridge,GFAP,GFAP,percent GFAP positive area_Grey matter,glial_context,84,0.3027032499746887,0.2788176448376995,0.07755075228780217,0.49632771175158136,0.5980396954989956
