control_graph_id,control_type,seed,scenario_id,regulator,direction,magnitude,donor_id,n_cells,mean_euclidean_displacement,median_euclidean_displacement,max_euclidean_displacement,mean_cosine_similarity,mean_target_only_l1_delta_norm,mean_target_only_l2_delta_norm,mean_clipping_fraction,mean_movement_toward_centroid__lymphocyte,mean_movement_toward_centroid__micro_pvm_1,mean_movement_toward_centroid__micro_pvm_2,mean_movement_toward_centroid__micro_pvm_2_1_seaad,mean_movement_toward_centroid__micro_pvm_2_3_seaad,mean_movement_toward_centroid__micro_pvm_3_seaad,mean_movement_toward_centroid__micro_pvm_4_seaad,mean_movement_toward_centroid__monocyte
degree_preserving_edge_shuffle_seed_79001,degree_preserving_edge_shuffle,79001,ELF1_down_0p10,ELF1,down,0.1,H18.30.001,1,3.627306432463229e-05,3.627306432463229e-05,3.627306432463229e-05,0.9999998807907104,0.036854206002259415,0.01292979357660332,0.625,4.887580871582031e-06,-2.0265579223632812e-06,-6.079673767089844e-06,2.384185791015625e-07,-7.152557373046875e-07,-3.6954879760742188e-06,-1.1920928955078125e-06,2.86102294921875e-06
degree_preserving_edge_shuffle_seed_79001,degree_preserving_edge_shuffle,79001,ELF1_down_0p10,ELF1,down,0.1,H18.30.002,5,0.00023032505414448677,0.0002593898680061102,0.00032720042509026825,1.0,0.03844646782911534,0.013423056843227013,0.6083333333333333,2.8336048126220702e-05,-1.3178586959838867e-05,-8.422136306762696e-06,-5.125999450683594e-07,1.418590545654297e-06,-1.1360645294189453e-05,-3.039836883544922e-06,8.440017700195312e-06
degree_preserving_edge_shuffle_seed_79001,degree_preserving_edge_shuffle,79001,ELF1_down_0p10,ELF1,down,0.1,H19.33.004,11,0.00017253141942836174,0.00017034017946571112,0.0002915054210461676,1.0000000162558123,0.026517107999236376,0.01135395595745574,0.731060606060606,1.0837208140980113e-05,-2.186948602849787e-05,-9.796836159446023e-06,-8.187510750510476e-06,-1.7935579473322087e-06,-1.905723051591353e-05,-1.808730038729581e-05,-8.761882781982422e-06
degree_preserving_edge_shuffle_seed_79001,degree_preserving_edge_shuffle,79001,ELF1_down_0p10,ELF1,down,0.1,H20.33.001,7,0.00012477504761981045,0.00016033013525884598,0.00018283554527442902,1.000000034059797,0.01282565617295038,0.007864373552565791,0.8630952380952381,1.4539275850568498e-05,-1.5054430280412947e-05,-7.527215140206474e-06,-7.808208465576172e-06,-3.5422188895089287e-06,-1.3870852334158762e-05,-1.5360968453543527e-05,-3.2654830387660435e-06
degree_preserving_edge_shuffle_seed_79001,degree_preserving_edge_shuffle,79001,ELF1_down_0p10,ELF1,down,0.1,H20.33.002,4,0.0001761380881362129,0.0001764301268849522,0.00019485768279992044,0.9999999850988388,0.02384043474798969,0.010873028827498837,0.7604166666666667,9.34116542339325e-06,-2.460181713104248e-05,-9.894371032714844e-06,-1.0728836059570312e-05,-2.5779008865356445e-06,-1.9371509552001953e-05,-1.990795135498047e-05,-1.0117888450622559e-05
degree_preserving_edge_shuffle_seed_79001,degree_preserving_edge_shuffle,79001,ELF1_down_0p10,ELF1,down,0.1,H20.33.004,4,0.00014529024201692664,0.00017949793982552364,0.0001949704746948555,1.0000000596046448,0.02080401098493162,0.009878861932689154,0.7708333333333333,-6.802380084991455e-06,-1.8596649169921875e-05,-1.2785196304321289e-05,-1.3679265975952148e-05,-8.38935375213623e-06,-1.8522143363952637e-05,-1.946091651916504e-05,-1.471489667892456e-05
degree_preserving_edge_shuffle_seed_79001,degree_preserving_edge_shuffle,79001,ELF1_down_0p25,ELF1,down,0.25,H18.30.001,1,9.067118662642315e-05,9.067118662642315e-05,9.067118662642315e-05,0.9999999403953552,0.09213551500564732,0.03232448394150792,0.625,1.2278556823730469e-05,-5.245208740234375e-06,-1.5139579772949219e-05,3.5762786865234375e-07,-1.6689300537109375e-06,-9.179115295410156e-06,-2.6226043701171875e-06,7.152557373046875e-06
degree_preserving_edge_shuffle_seed_79001,degree_preserving_edge_shuffle,79001,ELF1_down_0p25,ELF1,down,0.25,H18.30.002,5,0.0005759508319897577,0.0006487197242677212,0.0008181846351362765,0.9999998331069946,0.09611616957278799,0.03355764210806756,0.6083333333333333,7.082223892211914e-05,-3.3020973205566406e-05,-2.11179256439209e-05,-1.2993812561035157e-06,3.5524368286132813e-06,-2.8383731842041015e-05,-7.62939453125e-06,2.1064281463623046e-05
degree_preserving_edge_shuffle_seed_79001,degree_preserving_edge_shuffle,79001,ELF1_down_0p25,ELF1,down,0.25,H19.33.004,11,0.00043132143301508307,0.0004257899709045887,0.0007286871550604701,0.9999999349767511,0.06629276999809108,0.0283848898936394,0.731060606060606,2.680922096425837e-05,-5.463578484275124e-05,-2.4372881109064277e-05,-2.0422718741677024e-05,-4.372813484885476e-06,-4.754283211447976e-05,-4.523179747841575e-05,-2.1996823224154387e-05
degree_preserving_edge_shuffle_seed_79001,degree_preserving_edge_shuffle,79001,ELF1_down_0p25,ELF1,down,0.25,H20.33.001,7,0.00031191081585088147,0.00040082415216602385,0.0004569886077661067,0.9999999829701015,0.03206414043237598,0.019660933881414506,0.8630952380952381,3.62087573323931e-05,-3.760201590401786e-05,-1.8766948154994418e-05,-1.9431114196777344e-05,-8.736337934221541e-06,-3.454514912196568e-05,-3.8291726793561664e-05,-8.13603401184082e-06
