names,scores,logfoldchanges,pvals,pvals_adj
EIF4B,-6.2486386,-0.44501203,4.140453875892577e-10,1.590041832599266e-08
RIN3,6.239296,0.019038014,4.395447904889154e-10,1.6663255711227215e-08
MGST2,-6.202214,-0.4048386,5.56743778384124e-10,2.0839131046605755e-08
NUP214,-6.191715,-0.41607994,5.951321086546824e-10,2.19975705661487e-08
TM2D1,-6.1481695,-0.42518824,7.838221624581905e-10,2.8614347338134188e-08
BAZ1B,-6.144971,-0.4022707,7.997819732170505e-10,2.883638791395786e-08
HIBADH,-6.1430717,-0.5172596,8.094082505439643e-10,2.883638791395786e-08
ERCC6L2,-6.125735,-0.3985596,9.026598259649299e-10,3.177577506402735e-08
AKAP7,-6.122251,-0.48054436,9.226246834802439e-10,3.2096484577071543e-08
UBR4,-6.103905,-0.39929056,1.0350766856136006e-09,3.554371702880945e-08
SERTAD2,-6.1022654,-0.43909118,1.0457569771749823e-09,3.554371702880945e-08
TMIGD3,-6.1002736,-0.3962927,1.0588718375330292e-09,3.558050026801326e-08
CCDC50,-6.0841527,-0.38246295,1.1710892826332623e-09,3.890911245782648e-08
TAOK3,6.077655,0.02309653,1.2195278734091716e-09,3.992896565714645e-08
GATAD1,-6.0764413,-0.39470187,1.228791300236837e-09,3.992896565714645e-08
RPL9,-6.055506,-0.44958207,1.399765760347386e-09,4.499029731899153e-08
TMEM163,-6.045061,-0.40153927,1.4935350668354383e-09,4.748799131862786e-08
TRAPPC12,-6.0430923,-0.38011673,1.511883074659759e-09,4.755998140179688e-08
MTHFD1L,6.0299835,-0.0012115932,1.6397657261839119e-09,5.070665636215879e-08
SP3,-6.02935,-0.3815836,1.6462086610643367e-09,5.070665636215879e-08
UGCG,-5.999092,-0.37349412,1.984239219230881e-09,6.048861207490428e-08
ZNF236,-5.979389,-0.42562535,2.239758943175093e-09,6.758129790784439e-08
RNF130,5.9762235,0.02083501,2.2837000571461e-09,6.821112190889916e-08
MICU3,-5.9717946,-0.3781154,2.3465767971188747e-09,6.938827589080513e-08
FMNL2,5.962907,0.033696685,2.4778963574818246e-09,7.254593593142333e-08
LINC00894,-5.953591,-0.4410395,2.6232203499913552e-09,7.604767230318076e-08
PEX14,-5.9227233,-0.4630758,3.166532067599121e-09,9.090713906689903e-08
CEP63,-5.9135566,-0.45452476,3.3479876391431885e-09,9.519230239371548e-08
SRRM1,-5.8917885,-0.37832043,3.820383288362077e-09,1.0758927032082535e-07
RHBDF2,5.876693,-0.028882973,4.185437989583788e-09,1.1675792580376662e-07
CSNK1G1,-5.873541,-0.37601918,4.265839415930585e-09,1.178886649804368e-07
HNRNPM,-5.870723,-0.36067393,4.338998205804514e-09,1.1880016383855507e-07
ERP44,-5.8554473,-0.37676686,4.75727956893967e-09,1.2905757509499637e-07
MAP3K7,-5.8454638,-0.4083114,5.051590038607656e-09,1.357959249469349e-07
HGSNAT,-5.8345475,-0.4187392,5.393677355537257e-09,1.43685621083997e-07
TCF20,-5.8325896,-0.3812434,5.457373589017795e-09,1.4408440806005017e-07
PARP9,-5.8282614,-0.38241363,5.600785220531834e-09,1.4527650786940907e-07
MAP3K14,-5.8294296,-0.38364846,5.561719671518598e-09,1.4527650786940907e-07
ZBTB1,-5.8171673,-0.36905825,5.985330084018428e-09,1.5390105268210862e-07
LINC02328,-5.8086677,-0.49649063,6.297193878091526e-09,1.6052415773721243e-07
PCDH9,5.789681,0.104278795,7.052019226479188e-09,1.7822923805725606e-07
PCED1B,-5.7845354,-0.37163898,7.2713036328462554e-09,1.8221393934174898e-07
TMEM245,-5.766096,-0.39670616,8.11288133710223e-09,2.0159487490597727e-07
EEA1,-5.749299,-0.3705554,8.961426286425788e-09,2.208244794080088e-07
PLB1,-5.736667,-0.422339,9.655783392431439e-09,2.35968194143965e-07
ATP10D,-5.730231,-0.3740549,1.0029404513404791e-08,2.430897470994915e-07
LAIR1,-5.7242875,-0.35959348,1.0386877457573815e-08,2.497072897727299e-07
GCA,-5.7213697,-0.39002097,1.0566859216912081e-08,2.5198550568071794e-07
TMEM168,-5.7106194,-0.39830795,1.125657230366629e-08,2.662854744155297e-07
KCTD12,-5.7059197,-0.36212507,1.1571654763612666e-08,2.7156653282541784e-07
RAP2A,-5.6897464,-0.40254486,1.2722820552199558e-08,2.962313415185362e-07
TAPT1,-5.675509,-0.37394512,1.3827675496087334e-08,3.194409097025801e-07
GNB1,5.6716766,0.029059349,1.4140667974545787e-08,3.241391876025728e-07
B3GNT5,-5.6635528,-0.35580486,1.4827056873699454e-08,3.3725851673484063e-07
HSPBAP1,-5.6569786,-0.35865492,1.540610465836937e-08,3.454397070551201e-07
HECTD2,-5.6568193,-0.36590984,1.5420372448858926e-08,3.454397070551201e-07
PRKCB,5.6473703,0.08451467,1.6292050028679388e-08,3.622224957504132e-07
NCKAP5,-5.630017,-0.3529035,1.8019186528405064e-08,3.9763234749622217e-07
LAP3,-5.610617,-0.3718842,2.0160634580337345e-08,4.3834556216218775e-07
KAT2B,-5.6111355,-0.3775752,2.0100307268393116e-08,4.3834556216218775e-07
KIF5B,-5.6075945,-0.3572547,2.0515827626273928e-08,4.4281242548096356e-07
SLF2,-5.600438,-0.36142793,2.13810984266769e-08,4.5814426121509845e-07
RAB6A,-5.59724,-0.3558427,2.1779087155852326e-08,4.633148253227002e-07
TXNDC11,-5.5936284,-0.40516025,2.223728358385109e-08,4.696831968389119e-07
MBD2,-5.588752,-0.36840725,2.287076898240656e-08,4.796373324891929e-07
ITGA9,-5.5826693,-0.36510494,2.368549955500764e-08,4.932255083391379e-07
NIPBL,5.580151,0.008579341,2.40309923311932e-08,4.969205896736943e-07
LUC7L,-5.5749702,-0.35254073,2.4757188667721335e-08,5.083819922948055e-07
AHCTF1,-5.5665307,-0.37859517,2.5986111314620595e-08,5.281642952269799e-07
ARHGAP20,-5.5659165,-0.54156053,2.6077777173871848e-08,5.281642952269799e-07
YAF2,-5.559744,-0.36310115,2.7017092679265362e-08,5.434662792693039e-07
MTA3,-5.5453396,-0.38485858,2.9338400177844116e-08,5.861733062559801e-07
HNRNPD,-5.540184,-0.35358694,3.0215395294935244e-08,5.99643784477339e-07
ZNF100,-5.508447,-0.40666816,3.620125699347493e-08,7.136474461980358e-07
CREG1,-5.502224,-0.3668802,3.7503060190046117e-08,7.311508501969222e-07
ADIPOR2,-5.5018454,-0.37942514,3.758367576257429e-08,7.311508501969222e-07
