dataset,feature,metric,target,spearman,n_donors,mean_spearman,mean_n_donors,abs_tail_spearman,abs_mean_spearman,tail_minus_mean_abs_spearman,tail_beats_mean,supports_dilution_hypothesis
DLPFC,disease_program_score,q99,GFAP,0.2504688232536334,80,0.1274027191748711,80,0.2504688232536334,0.1274027191748711,0.12306610407876231,True,True
MTG,disease_program_score,q90,NeuN,-0.3028044952920927,84,-0.1810266275184772,84,0.3028044952920927,0.1810266275184772,0.12177786777361549,True,True
DLPFC,dam_lipid_trem2_apoe,q99,AT8,0.3185419596812002,80,0.2023909985935302,80,0.3185419596812002,0.2023909985935302,0.11615096108766998,True,True
DLPFC,lysosomal_endolysosomal,fraction_high_global_q95,6e10/A_beta,0.2890060947022972,80,0.1793248945147679,80,0.2890060947022972,0.1793248945147679,0.1096812001875293,True,True
DLPFC,dam_lipid_trem2_apoe,top_5pct_mean,AT8,0.3114861697140178,80,0.2023909985935302,80,0.3114861697140178,0.2023909985935302,0.10909517112048761,True,True
MTG,lysosomal_endolysosomal,q95,GFAP,0.4174951908474233,84,0.3085957274476055,84,0.4174951908474233,0.3085957274476055,0.10889946339981782,True,True
DLPFC,lysosomal_endolysosomal,fraction_high_global_q95,AT8,0.3270979840600094,80,0.2187763713080169,80,0.3270979840600094,0.2187763713080169,0.10832161275199251,True,True
DLPFC,lysosomal_endolysosomal,top_1pct_mean,Iba1,0.3689873417721518,80,0.2652133145804032,80,0.3689873417721518,0.2652133145804032,0.10377402719174861,True,True
MTG,lysosomal_endolysosomal,q90,6e10/A_beta,0.4366305558367926,84,0.3355269818770882,84,0.4366305558367926,0.3355269818770882,0.10110357395970443,True,True
MTG,complement_phagocytosis,q90,GFAP,0.3873038371975296,84,0.2876581958084439,84,0.3873038371975296,0.2876581958084439,0.09964564138908572,True,True
MTG,lysosomal_endolysosomal,top_10pct_mean,6e10/A_beta,0.4293206439202187,84,0.3355269818770882,84,0.4293206439202187,0.3355269818770882,0.0937936620431305,True,True
DLPFC,lysosomal_endolysosomal,top_10pct_mean,AT8,0.3122831692451945,80,0.2187763713080169,80,0.3122831692451945,0.2187763713080169,0.09350679793717762,True,True
MTG,lysosomal_endolysosomal,top_10pct_mean,GFAP,0.3996557659208262,84,0.3085957274476055,84,0.3996557659208262,0.3085957274476055,0.0910600384732207,True,True
MTG,lysosomal_endolysosomal,top_5pct_mean,GFAP,0.3979953427153994,84,0.3085957274476055,84,0.3979953427153994,0.3085957274476055,0.08939961526779389,True,True
MTG,lysosomal_endolysosomal,fraction_high_global_q95,6e10/A_beta,0.4249084990866386,84,0.3355269818770882,84,0.4249084990866386,0.3355269818770882,0.0893815172095504,True,True
MTG,lysosomal_endolysosomal,q95,6e10/A_beta,0.4249063480814012,84,0.3355269818770882,84,0.4249063480814012,0.3355269818770882,0.08937936620431303,True,True
MTG,lysosomal_endolysosomal,fraction_high_global_q95,AT8,0.4190868638651647,84,0.3357092234484155,84,0.4190868638651647,0.3357092234484155,0.08337764041674922,True,True
MTG,lysosomal_endolysosomal,fraction_high_global_q95,GFAP,0.3919529814415993,84,0.3085957274476055,84,0.3919529814415993,0.3085957274476055,0.0833572539939938,True,True
MTG,lysosomal_endolysosomal,top_10pct_mean,NeuN,-0.4278424622861193,84,-0.3464614761567278,84,0.4278424622861193,0.3464614761567278,0.08138098612939149,True,True
DLPFC,lysosomal_endolysosomal,top_10pct_mean,6e10/A_beta,0.2602203469292077,80,0.1793248945147679,80,0.2602203469292077,0.1793248945147679,0.0808954524144398,True,True
MTG,interferon_inflammatory,fraction_high_global_q95,6e10/A_beta,0.3141237217778678,84,0.2338969322668826,84,0.3141237217778678,0.2338969322668826,0.08022678951098519,True,True
DLPFC,dam_lipid_trem2_apoe,variance,AT8,0.2819034224097515,80,0.2023909985935302,80,0.2819034224097515,0.2023909985935302,0.07951242381622131,True,True
DLPFC,dam_lipid_trem2_apoe,top_10pct_mean,AT8,0.280942334739803,80,0.2023909985935302,80,0.280942334739803,0.2023909985935302,0.0785513361462728,True,True
MTG,lysosomal_endolysosomal,q90,NeuN,-0.4240761364786878,84,-0.3464614761567278,84,0.4240761364786878,0.3464614761567278,0.07761466032196002,True,True
