dataset,feature,metric,target,spearman,n_donors,mean_spearman,mean_n_donors,abs_tail_spearman,abs_mean_spearman,tail_minus_mean_abs_spearman,tail_beats_mean,supports_dilution_hypothesis
MTG,dam_lipid_trem2_apoe,q95,AT8,0.4479092841956059,84,0.4441429583881745,84,0.4479092841956059,0.4441429583881745,0.003766325807431359,True,True
MTG,dam_lipid_trem2_apoe,q95,6e10/A_beta,0.3884377847524552,84,0.3862103877695657,84,0.3884377847524552,0.3862103877695657,0.00222739698288954,True,True
MTG,dam_lipid_trem2_apoe,q90,6e10/A_beta,0.3878505619115116,84,0.3862103877695657,84,0.3878505619115116,0.3862103877695657,0.0016401741419459492,True,True
MTG,lysosomal_endolysosomal,top_1pct_mean,AT8,0.3359117140832236,84,0.3357092234484155,84,0.3359117140832236,0.3357092234484155,0.0002024906348081501,True,True
MTG,disease_program_score,top_5pct_mean,GFAP,0.3516047382808545,84,0.3515034929634504,84,0.3516047382808545,0.3515034929634504,0.00010124531740407505,True,True
DLPFC,disease_program_score,fraction_high_global_q95,NeuN,-0.24060150376353,80,-0.0457805907172995,80,0.24060150376353,0.0457805907172995,0.1948209130462305,True,False
MTG,complement_phagocytosis,variance,NeuN,-0.1925280955755796,84,0.0091120785663663,84,0.1925280955755796,0.0091120785663663,0.18341601700921328,True,False
DLPFC,complement_phagocytosis,variance,NeuN,-0.186615096108767,80,-0.0035161744022503,80,0.186615096108767,0.0035161744022503,0.1830989217065167,True,False
DLPFC,dam_lipid_trem2_apoe,top_5pct_mean,NeuN,-0.237248007501172,80,-0.0745194561650257,80,0.237248007501172,0.0745194561650257,0.1627285513361463,True,False
DLPFC,complement_phagocytosis,top_1pct_mean,NeuN,-0.1657524613220816,80,-0.0035161744022503,80,0.1657524613220816,0.0035161744022503,0.1622362869198313,True,False
DLPFC,complement_phagocytosis,q99,NeuN,-0.1545007032348804,80,-0.0035161744022503,80,0.1545007032348804,0.0035161744022503,0.1509845288326301,True,False
DLPFC,disease_program_score,q90,NeuN,-0.1964135021097046,80,-0.0457805907172995,80,0.1964135021097046,0.0457805907172995,0.1506329113924051,True,False
DLPFC,complement_phagocytosis,top_5pct_mean,NeuN,-0.1511017346460384,80,-0.0035161744022503,80,0.1511017346460384,0.0035161744022503,0.1475855602437881,True,False
MTG,complement_phagocytosis,top_1pct_mean,NeuN,-0.1499038169484661,84,0.0091120785663663,84,0.1499038169484661,0.0091120785663663,0.1407917383820998,True,False
DLPFC,complement_phagocytosis,top_10pct_mean,NeuN,-0.1326300984528832,80,-0.0035161744022503,80,0.1326300984528832,0.0035161744022503,0.1291139240506329,True,False
DLPFC,complement_phagocytosis,fraction_high_global_q95,NeuN,-0.127218172050238,80,-0.0035161744022503,80,0.127218172050238,0.0035161744022503,0.1237019976479877,True,False
MTG,complement_phagocytosis,top_5pct_mean,NeuN,-0.1304039688164422,84,0.0091120785663663,84,0.1304039688164422,0.0091120785663663,0.1212918902500759,True,False
DLPFC,dam_lipid_trem2_apoe,top_10pct_mean,NeuN,-0.1952648851383029,80,-0.0745194561650257,80,0.1952648851383029,0.0745194561650257,0.1207454289732772,True,False
DLPFC,complement_phagocytosis,q95,NeuN,-0.1238162212845757,80,-0.0035161744022503,80,0.1238162212845757,0.0035161744022503,0.1203000468823254,True,False
DLPFC,disease_program_score,fraction_high_global_q95,AT8,0.2310726152912117,80,0.1112048757618378,80,0.2310726152912117,0.1112048757618378,0.1198677395293739,True,False
MTG,dam_lipid_trem2_apoe,variance,NeuN,-0.2212412675913739,84,-0.1027234990381694,84,0.2212412675913739,0.1027234990381694,0.11851776855320452,True,False
DLPFC,disease_program_score,fraction_high_global_q95,GFAP,0.2450436301239342,80,0.1274027191748711,80,0.2450436301239342,0.1274027191748711,0.11764091094906312,True,False
DLPFC,antigen_presentation,top_1pct_mean,6e10/A_beta,0.1234646038443506,80,-0.0110642287857477,80,0.1234646038443506,0.0110642287857477,0.1124003750586029,True,False
MTG,complement_phagocytosis,q99,NeuN,-0.1204616786473625,84,0.0091120785663663,84,0.1204616786473625,0.0091120785663663,0.1113496000809962,True,False
DLPFC,disease_program_score,top_5pct_mean,GFAP,0.2384669479606188,80,0.1274027191748711,80,0.2384669479606188,0.1274027191748711,0.1110642287857477,True,False
DLPFC,dam_lipid_trem2_apoe,fraction_high_global_q95,NeuN,-0.1838959212376934,80,-0.0745194561650257,80,0.1838959212376934,0.0745194561650257,0.10937646507266771,True,False
DLPFC,dam_lipid_trem2_apoe,top_1pct_mean,GFAP,0.2323956868260666,80,0.1231833098921706,80,0.2323956868260666,0.1231833098921706,0.10921237693389599,True,False
DLPFC,antigen_presentation,variance,6e10/A_beta,0.1180262541022034,80,-0.0110642287857477,80,0.1180262541022034,0.0110642287857477,0.1069620253164557,True,False
DLPFC,complement_phagocytosis,q90,NeuN,-0.1082747304266291,80,-0.0035161744022503,80,0.1082747304266291,0.0035161744022503,0.10475855602437881,True,False
DLPFC,disease_program_score,top_10pct_mean,AT8,0.2152367557430848,80,0.1112048757618378,80,0.2152367557430848,0.1112048757618378,0.104031879981247,True,False
DLPFC,dam_lipid_trem2_apoe,q99,GFAP,0.2241678387248007,80,0.1231833098921706,80,0.2241678387248007,0.1231833098921706,0.1009845288326301,True,False
MTG,dam_lipid_trem2_apoe,top_5pct_mean,NeuN,-0.2007897134757517,84,-0.1027234990381694,84,0.2007897134757517,0.1027234990381694,0.0980662144375823,True,False
MTG,complement_phagocytosis,fraction_high_global_q95,NeuN,-0.1068750980832672,84,0.0091120785663663,84,0.1068750980832672,0.0091120785663663,0.0977630195169009,True,False
DLPFC,dam_lipid_trem2_apoe,top_5pct_mean,GFAP,0.2173933427097984,80,0.1231833098921706,80,0.2173933427097984,0.1231833098921706,0.0942100328176278,True,False
DLPFC,disease_program_score,variance,AT8,0.2049929676511955,80,0.1112048757618378,80,0.2049929676511955,0.1112048757618378,0.09378809188935772,True,False
DLPFC,complement_phagocytosis,q99,GFAP,0.2365682137834036,80,0.1448195030473511,80,0.2365682137834036,0.1448195030473511,0.09174871073605248,True,False
MTG,complement_phagocytosis,top_10pct_mean,NeuN,-0.0999088792143363,84,0.0091120785663663,84,0.0999088792143363,0.0091120785663663,0.09079680064797001,True,False
DLPFC,disease_program_score,top_10pct_mean,GFAP,0.2155180496952649,80,0.1274027191748711,80,0.2155180496952649,0.1274027191748711,0.0881153305203938,True,False
DLPFC,dam_lipid_trem2_apoe,fraction_high_global_q95,GFAP,0.2110173464603844,80,0.1231833098921706,80,0.2110173464603844,0.1231833098921706,0.08783403656821379,True,False
DLPFC,dam_lipid_trem2_apoe,q95,NeuN,-0.1622831692451945,80,-0.0745194561650257,80,0.1622831692451945,0.0745194561650257,0.08776371308016881,True,False
DLPFC,complement_phagocytosis,top_1pct_mean,GFAP,0.2319034224097515,80,0.1448195030473511,80,0.2319034224097515,0.1448195030473511,0.0870839193624004,True,False
MTG,complement_phagocytosis,q95,NeuN,-0.0960008099625392,84,0.0091120785663663,84,0.0960008099625392,0.0091120785663663,0.0868887313961729,True,False
MTG,dam_lipid_trem2_apoe,fraction_high_global_q95,NeuN,-0.1886035963451636,84,-0.1027234990381694,84,0.1886035963451636,0.1027234990381694,0.08588009730699421,True,False
DLPFC,dam_lipid_trem2_apoe,top_10pct_mean,GFAP,0.2079465541490857,80,0.1231833098921706,80,0.2079465541490857,0.1231833098921706,0.08476324425691509,True,False
MTG,interferon_inflammatory,variance,NeuN,-0.1523539536296446,84,-0.0693732914852688,84,0.1523539536296446,0.0693732914852688,0.0829806621443758,True,False
DLPFC,disease_program_score,q95,AT8,0.1935067979371776,80,0.1112048757618378,80,0.1935067979371776,0.1112048757618378,0.0823019221753398,True,False
MTG,interferon_inflammatory,q95,NeuN,-0.1511997570112382,84,-0.0693732914852688,84,0.1511997570112382,0.0693732914852688,0.0818264655259694,True,False
DLPFC,disease_program_score,q95,GFAP,0.2082747304266292,80,0.1274027191748711,80,0.2082747304266292,0.1274027191748711,0.08087201125175811,True,False
DLPFC,dam_lipid_trem2_apoe,q95,GFAP,0.2011251758087201,80,0.1231833098921706,80,0.2011251758087201,0.1231833098921706,0.0779418659165495,True,False
MTG,antigen_presentation,q95,GFAP,0.1962539232560494,84,0.1205021767743242,84,0.1962539232560494,0.1205021767743242,0.0757517464817252,True,False
MTG,dam_lipid_trem2_apoe,top_1pct_mean,NeuN,-0.177017312949276,84,-0.1027234990381694,84,0.177017312949276,0.1027234990381694,0.07429381391110661,True,False
MTG,antigen_presentation,q90,GFAP,0.1920218689885592,84,0.1205021767743242,84,0.1920218689885592,0.1205021767743242,0.07151969221423499,True,False
MTG,dam_lipid_trem2_apoe,top_10pct_mean,NeuN,-0.172562518983497,84,-0.1027234990381694,84,0.172562518983497,0.1027234990381694,0.06983901994532761,True,False
MTG,dam_lipid_trem2_apoe,q99,NeuN,-0.1689986838108737,84,-0.1027234990381694,84,0.1689986838108737,0.1027234990381694,0.06627518477270432,True,False
DLPFC,dam_lipid_trem2_apoe,q90,NeuN,-0.1404594467885607,80,-0.0745194561650257,80,0.1404594467885607,0.0745194561650257,0.065939990623535,True,False
MTG,antigen_presentation,fraction_high_global_q95,GFAP,0.1852791238590184,84,0.1205021767743242,84,0.1852791238590184,0.1205021767743242,0.0647769470846942,True,False
DLPFC,disease_program_score,top_5pct_mean,6e10/A_beta,0.2459446788560713,80,0.1828176277543366,80,0.2459446788560713,0.1828176277543366,0.0631270511017347,True,False
DLPFC,dam_lipid_trem2_apoe,variance,GFAP,0.1862634786685419,80,0.1231833098921706,80,0.1862634786685419,0.1231833098921706,0.06308016877637129,True,False
DLPFC,antigen_presentation,top_5pct_mean,6e10/A_beta,0.073792780121894,80,-0.0110642287857477,80,0.073792780121894,0.0110642287857477,0.0627285513361463,True,False
DLPFC,complement_phagocytosis,top_5pct_mean,GFAP,0.2075246132208157,80,0.1448195030473511,80,0.2075246132208157,0.1448195030473511,0.06270511017346458,True,False
MTG,antigen_presentation,top_10pct_mean,GFAP,0.1828490432317505,84,0.1205021767743242,84,0.1828490432317505,0.1205021767743242,0.06234686645742629,True,False
MTG,dam_lipid_trem2_apoe,q95,NeuN,-0.1639769160676318,84,-0.1027234990381694,84,0.1639769160676318,0.1027234990381694,0.061253417029462395,True,False
DLPFC,lysosomal_endolysosomal,variance,6e10/A_beta,0.2391467416783872,80,0.1793248945147679,80,0.2391467416783872,0.1793248945147679,0.059821847163619296,True,False
DLPFC,disease_program_score,variance,GFAP,0.187037037037037,80,0.1274027191748711,80,0.187037037037037,0.1274027191748711,0.059634317862165914,True,False
MTG,interferon_inflammatory,fraction_high_global_q95,NeuN,-0.1245317404070061,84,-0.0693732914852688,84,0.1245317404070061,0.0693732914852688,0.055158448921737296,True,False
MTG,antigen_presentation,top_5pct_mean,GFAP,0.1752758934899261,84,0.1205021767743242,84,0.1752758934899261,0.1205021767743242,0.05477371671560188,True,False
MTG,complement_phagocytosis,q90,NeuN,-0.0631973271236205,84,0.0091120785663663,84,0.0631973271236205,0.0091120785663663,0.054085248557254204,True,False
DLPFC,dam_lipid_trem2_apoe,q90,GFAP,0.1768166901078293,80,0.1231833098921706,80,0.1768166901078293,0.1231833098921706,0.053633380215658694,True,False
DLPFC,antigen_presentation,top_1pct_mean,GFAP,0.0883028598218471,80,-0.0398265353961556,80,0.0883028598218471,0.0398265353961556,0.048476324425691504,True,False
MTG,antigen_presentation,variance,6e10/A_beta,0.1441125847929533,84,0.0971145084539839,84,0.1441125847929533,0.0971145084539839,0.04699807633896941,True,False
DLPFC,antigen_presentation,top_10pct_mean,6e10/A_beta,0.056938584153774,80,-0.0110642287857477,80,0.056938584153774,0.0110642287857477,0.0458743553680263,True,False
DLPFC,interferon_inflammatory,q90,NeuN,-0.0521565869667135,80,0.0078996718237224,80,0.0521565869667135,0.0078996718237224,0.0442569151429911,True,False
DLPFC,disease_program_score,top_10pct_mean,6e10/A_beta,0.2256446319737459,80,0.1828176277543366,80,0.2256446319737459,0.1828176277543366,0.0428270042194093,True,False
MTG,antigen_presentation,fraction_high_global_q95,6e10/A_beta,0.1393820656343651,84,0.0971145084539839,84,0.1393820656343651,0.0971145084539839,0.04226755718038119,True,False
MTG,interferon_inflammatory,q90,NeuN,-0.1113496000809962,84,-0.0693732914852688,84,0.1113496000809962,0.0693732914852688,0.0419763085957274,True,False
DLPFC,antigen_presentation,q99,6e10/A_beta,0.0522034692920768,80,-0.0110642287857477,80,0.0522034692920768,0.0110642287857477,0.041139240506329104,True,False
DLPFC,antigen_presentation,q95,6e10/A_beta,0.0517815283638068,80,-0.0110642287857477,80,0.0517815283638068,0.0110642287857477,0.0407172995780591,True,False
DLPFC,disease_program_score,q95,6e10/A_beta,0.2223159868729489,80,0.1828176277543366,80,0.2223159868729489,0.1828176277543366,0.0394983591186123,True,False
DLPFC,interferon_inflammatory,fraction_high_global_q95,NeuN,-0.0464958186589011,80,0.0078996718237224,80,0.0464958186589011,0.0078996718237224,0.0385961468351787,True,False
MTG,interferon_inflammatory,top_10pct_mean,NeuN,-0.1067935607978131,84,-0.0693732914852688,84,0.1067935607978131,0.0693732914852688,0.0374202693125443,True,False
DLPFC,interferon_inflammatory,q99,NeuN,-0.0442334739803094,80,0.0078996718237224,80,0.0442334739803094,0.0078996718237224,0.036333802156587,True,False
DLPFC,complement_phagocytosis,top_10pct_mean,GFAP,0.1809657759024847,80,0.1448195030473511,80,0.1809657759024847,0.1448195030473511,0.03614627285513358,True,False
MTG,dam_lipid_trem2_apoe,q90,NeuN,-0.1371671560190341,84,-0.1027234990381694,84,0.1371671560190341,0.1027234990381694,0.0344436569808647,True,False
DLPFC,complement_phagocytosis,fraction_high_global_q95,GFAP,0.179047797700335,80,0.1448195030473511,80,0.179047797700335,0.1448195030473511,0.03422829465298388,True,False
DLPFC,interferon_inflammatory,top_10pct_mean,NeuN,-0.0420534458509142,80,0.0078996718237224,80,0.0420534458509142,0.0078996718237224,0.0341537740271918,True,False
MTG,interferon_inflammatory,top_5pct_mean,NeuN,-0.1027032499746886,84,-0.0693732914852688,84,0.1027032499746886,0.0693732914852688,0.0333299584894198,True,False
DLPFC,antigen_presentation,top_1pct_mean,Iba1,0.0585560243788092,80,0.0262775433661509,80,0.0585560243788092,0.0262775433661509,0.032278481012658296,True,False
MTG,antigen_presentation,q99,GFAP,0.1525969423914144,84,0.1205021767743242,84,0.1525969423914144,0.1205021767743242,0.03209476561709018,True,False
DLPFC,lysosomal_endolysosomal,q95,6e10/A_beta,0.2095171120487576,80,0.1793248945147679,80,0.2095171120487576,0.1793248945147679,0.03019221753398968,True,False
DLPFC,disease_program_score,q90,GFAP,0.157149554617909,80,0.1274027191748711,80,0.157149554617909,0.1274027191748711,0.02974683544303791,True,False
MTG,antigen_presentation,q99,6e10/A_beta,0.1264149033107219,84,0.0971145084539839,84,0.1264149033107219,0.0971145084539839,0.029300394856737993,True,False
DLPFC,interferon_inflammatory,top_5pct_mean,NeuN,-0.0358180965775902,80,0.0078996718237224,80,0.0358180965775902,0.0078996718237224,0.0279184247538678,True,False
MTG,complement_phagocytosis,q90,Iba1,0.2046572846005872,84,0.1776652829806621,84,0.2046572846005872,0.1776652829806621,0.026992001619925127,True,False
DLPFC,antigen_presentation,fraction_high_global_q95,6e10/A_beta,0.0379990154585288,80,-0.0110642287857477,80,0.0379990154585288,0.0110642287857477,0.026934786672781104,True,False
DLPFC,interferon_inflammatory,top_1pct_mean,NeuN,-0.0348101265822784,80,0.0078996718237224,80,0.0348101265822784,0.0078996718237224,0.026910454758556003,True,False
MTG,antigen_presentation,top_1pct_mean,GFAP,0.1473929330768452,84,0.1205021767743242,84,0.1473929330768452,0.1205021767743242,0.026890756302520996,True,False
DLPFC,interferon_inflammatory,variance,NeuN,-0.0337318330989217,80,0.0078996718237224,80,0.0337318330989217,0.0078996718237224,0.0258321612751993,True,False
DLPFC,complement_phagocytosis,top_5pct_mean,AT8,0.0841537740271917,80,0.0589076418190342,80,0.0841537740271917,0.0589076418190342,0.025246132208157496,True,False
DLPFC,disease_program_score,variance,6e10/A_beta,0.2076887013595874,80,0.1828176277543366,80,0.2076887013595874,0.1828176277543366,0.024871073605250787,True,False
DLPFC,complement_phagocytosis,fraction_high_global_q95,AT8,0.0835697039541364,80,0.0589076418190342,80,0.0835697039541364,0.0589076418190342,0.024662062135102206,True,False
MTG,antigen_presentation,q95,6e10/A_beta,0.1216361243292497,84,0.0971145084539839,84,0.1216361243292497,0.0971145084539839,0.0245216158752658,True,False
DLPFC,complement_phagocytosis,q95,AT8,0.0833802156586966,80,0.0589076418190342,80,0.0833802156586966,0.0589076418190342,0.024472573839662407,True,False
DLPFC,complement_phagocytosis,q95,GFAP,0.1690576652601969,80,0.1448195030473511,80,0.1690576652601969,0.1448195030473511,0.024238162212845776,True,False
DLPFC,complement_phagocytosis,top_10pct_mean,AT8,0.0826066572902015,80,0.0589076418190342,80,0.0826066572902015,0.0589076418190342,0.023699015471167303,True,False
DLPFC,disease_program_score,q90,AT8,0.127191748710736,80,0.1112048757618378,80,0.127191748710736,0.1112048757618378,0.015986872948898195,True,False
DLPFC,antigen_presentation,fraction_high_global_q95,GFAP,0.053259570093632,80,-0.0398265353961556,80,0.053259570093632,0.0398265353961556,0.0134330346974764,True,False
DLPFC,dam_lipid_trem2_apoe,q90,AT8,0.2144163150492264,80,0.2023909985935302,80,0.2144163150492264,0.2023909985935302,0.012025316455696183,True,False
MTG,interferon_inflammatory,top_1pct_mean,NeuN,-0.0812797408119874,84,-0.0693732914852688,84,0.0812797408119874,0.0693732914852688,0.011906449326718596,True,False
DLPFC,interferon_inflammatory,top_5pct_mean,Iba1,0.2433192686357243,80,0.233356774496015,80,0.2433192686357243,0.233356774496015,0.009962494139709316,True,False
DLPFC,antigen_presentation,q90,6e10/A_beta,0.0207688701359587,80,-0.0110642287857477,80,0.0207688701359587,0.0110642287857477,0.009704641350211,True,False
MTG,antigen_presentation,fraction_high_global_q95,Iba1,0.0848280506962597,84,0.0756909992912827,84,0.0848280506962597,0.0756909992912827,0.009137051404977004,True,False
MTG,antigen_presentation,top_10pct_mean,6e10/A_beta,0.1052546319732712,84,0.0971145084539839,84,0.1052546319732712,0.0971145084539839,0.008140123519287307,True,False
DLPFC,antigen_presentation,top_5pct_mean,GFAP,0.0474214721050164,80,-0.0398265353961556,80,0.0474214721050164,0.0398265353961556,0.0075949367088608,True,False
DLPFC,dam_lipid_trem2_apoe,top_5pct_mean,Iba1,0.2281762775433661,80,0.2207688701359587,80,0.2281762775433661,0.2207688701359587,0.007407407407407418,True,False
DLPFC,antigen_presentation,q99,GFAP,0.0469057665260196,80,-0.0398265353961556,80,0.0469057665260196,0.0398265353961556,0.007079231129864,True,False
DLPFC,interferon_inflammatory,q95,NeuN,-0.0149320206282231,80,0.0078996718237224,80,0.0149320206282231,0.0078996718237224,0.0070323488045006995,True,False
DLPFC,lysosomal_endolysosomal,top_10pct_mean,GFAP,0.2449835911861228,80,0.2387951242381622,80,0.2449835911861228,0.2387951242381622,0.0061884669479606025,True,False
MTG,interferon_inflammatory,q90,Iba1,0.1749114103472714,84,0.1689986838108737,84,0.1749114103472714,0.1689986838108737,0.005912726536397683,True,False
DLPFC,dam_lipid_trem2_apoe,q95,Iba1,0.2264650726676043,80,0.2207688701359587,80,0.2264650726676043,0.2207688701359587,0.0056962025316456,True,False
DLPFC,dam_lipid_trem2_apoe,top_1pct_mean,Iba1,0.226418190342241,80,0.2207688701359587,80,0.226418190342241,0.2207688701359587,0.00564932020628231,True,False
DLPFC,antigen_presentation,variance,GFAP,0.0437880918893577,80,-0.0398265353961556,80,0.0437880918893577,0.0398265353961556,0.003961556493202102,True,False
DLPFC,complement_phagocytosis,variance,GFAP,0.1486169714017815,80,0.1448195030473511,80,0.1486169714017815,0.1448195030473511,0.0037974683544304,True,False
DLPFC,complement_phagocytosis,fraction_high_global_q95,Iba1,0.1679364261227023,80,0.1647913736521331,80,0.1679364261227023,0.1647913736521331,0.003145052470569204,True,False
DLPFC,antigen_presentation,q95,GFAP,0.0428504453820909,80,-0.0398265353961556,80,0.0428504453820909,0.0398265353961556,0.003023909985935304,True,False
DLPFC,complement_phagocytosis,q99,AT8,0.0613689639006094,80,0.0589076418190342,80,0.0613689639006094,0.0589076418190342,0.0024613220815752,True,False
DLPFC,disease_program_score,top_1pct_mean,Iba1,0.2327004219409282,80,0.2309188935771214,80,0.2327004219409282,0.2309188935771214,0.0017815283638067947,True,False
DLPFC,disease_program_score,q90,6e10/A_beta,0.1842475386779184,80,0.1828176277543366,80,0.1842475386779184,0.1828176277543366,0.0014299109235818008,True,False
MTG,antigen_presentation,top_5pct_mean,6e10/A_beta,0.0980257163106206,84,0.0971145084539839,84,0.0980257163106206,0.0971145084539839,0.0009112078566367032,True,False
DLPFC,complement_phagocytosis,q90,AT8,0.0596812001875293,80,0.0589076418190342,80,0.0596812001875293,0.0589076418190342,0.0007735583684951031,True,False
DLPFC,complement_phagocytosis,q95,6e10/A_beta,0.1645100796999531,80,0.1642522269104547,80,0.1645100796999531,0.1642522269104547,0.0002578527894983862,True,False
MTG,oxidative_stress_gene_preserved,q90,GFAP,0.2525665687961932,84,0.2527893084944821,84,0.2525665687961932,0.2527893084944821,-0.0002227396982888985,False,False
MTG,oxidative_stress_gene_preserved,q95,GFAP,0.2516351118760758,84,0.2527893084944821,84,0.2516351118760758,0.2527893084944821,-0.0011541966184063224,False,False
MTG,antigen_presentation,q90,6e10/A_beta,0.0948871114710944,84,0.0971145084539839,84,0.0948871114710944,0.0971145084539839,-0.0022273969828894985,False,False
MTG,oxidative_stress_gene_preserved,fraction_high_global_q95,6e10/A_beta,0.3253854954656542,84,0.3276905943100132,84,0.3253854954656542,0.3276905943100132,-0.002305098844358977,False,False
MTG,oxidative_stress_gene_preserved,variance,GFAP,0.2503999190037461,84,0.2527893084944821,84,0.2503999190037461,0.2527893084944821,-0.002389389490736027,False,False
DLPFC,antigen_presentation,top_1pct_mean,AT8,0.0867323019221753,80,-0.0892639474917956,80,0.0867323019221753,0.0892639474917956,-0.0025316455696202944,False,False
DLPFC,dam_lipid_trem2_apoe,top_10pct_mean,Iba1,0.2177684013127051,80,0.2207688701359587,80,0.2177684013127051,0.2207688701359587,-0.0030004688232535826,False,False
MTG,oxidative_stress_gene_preserved,top_10pct_mean,GFAP,0.2494684620836286,84,0.2527893084944821,84,0.2494684620836286,0.2527893084944821,-0.0033208464108535063,False,False
DLPFC,complement_phagocytosis,top_10pct_mean,6e10/A_beta,0.1609235818096577,80,0.1642522269104547,80,0.1609235818096577,0.1642522269104547,-0.003328645100797001,False,False
MTG,disease_program_score,q99,GFAP,0.3479396577908272,84,0.3515034929634504,84,0.3479396577908272,0.3515034929634504,-0.0035638351726232087,False,False
DLPFC,lysosomal_endolysosomal,q90,GFAP,0.2347866854195968,80,0.2387951242381622,80,0.2347866854195968,0.2387951242381622,-0.004008438818565413,False,False
DLPFC,lysosomal_endolysosomal,q95,Iba1,0.2611111111111111,80,0.2652133145804032,80,0.2611111111111111,0.2652133145804032,-0.004102203469292076,False,False
DLPFC,lysosomal_endolysosomal,top_1pct_mean,GFAP,0.2342475386779184,80,0.2387951242381622,80,0.2342475386779184,0.2387951242381622,-0.0045475855602438164,False,False
DLPFC,antigen_presentation,top_10pct_mean,GFAP,0.0351851851851851,80,-0.0398265353961556,80,0.0351851851851851,0.0398265353961556,-0.0046413502109705004,False,False
DLPFC,lysosomal_endolysosomal,q90,AT8,0.2137130801687764,80,0.2187763713080169,80,0.2137130801687764,0.2187763713080169,-0.005063291139240478,False,False
DLPFC,lysosomal_endolysosomal,q90,6e10/A_beta,0.1736755743084857,80,0.1793248945147679,80,0.1736755743084857,0.1793248945147679,-0.005649320206282199,False,False
DLPFC,antigen_presentation,top_5pct_mean,Iba1,0.0205578996718237,80,0.0262775433661509,80,0.0205578996718237,0.0262775433661509,-0.005719643694327203,False,False
MTG,disease_program_score,top_5pct_mean,6e10/A_beta,0.3493368431710034,84,0.3551685734534777,84,0.3493368431710034,0.3551685734534777,-0.005831730282474301,False,False
DLPFC,antigen_presentation,q99,Iba1,0.0203469292076887,80,0.0262775433661509,80,0.0203469292076887,0.0262775433661509,-0.005930614158462202,False,False
MTG,interferon_inflammatory,top_5pct_mean,AT8,0.3750126556646755,84,0.381046876581958,84,0.3750126556646755,0.381046876581958,-0.006034220917282507,False,False
DLPFC,complement_phagocytosis,q90,GFAP,0.1386544772620722,80,0.1448195030473511,80,0.1386544772620722,0.1448195030473511,-0.006165025785278916,False,False
DLPFC,interferon_inflammatory,q90,6e10/A_beta,0.1994139709329583,80,0.2059540553211439,80,0.1994139709329583,0.2059540553211439,-0.006540084388185596,False,False
DLPFC,antigen_presentation,q95,Iba1,-0.0194327238631036,80,0.0262775433661509,80,0.0194327238631036,0.0262775433661509,-0.0068448195030473,False,False
MTG,complement_phagocytosis,q99,6e10/A_beta,0.277189429988863,84,0.2842361040801863,84,0.277189429988863,0.2842361040801863,-0.007046674091323313,False,False
MTG,interferon_inflammatory,q99,NeuN,-0.0622861192669839,84,-0.0693732914852688,84,0.0622861192669839,0.0693732914852688,-0.0070871722182849,False,False
DLPFC,complement_phagocytosis,q90,6e10/A_beta,0.1569151429910923,80,0.1642522269104547,80,0.1569151429910923,0.1642522269104547,-0.007337083919362414,False,False
MTG,dam_lipid_trem2_apoe,q99,6e10/A_beta,0.3788397286625494,84,0.3862103877695657,84,0.3788397286625494,0.3862103877695657,-0.007370659107016286,False,False
DLPFC,complement_phagocytosis,top_5pct_mean,6e10/A_beta,0.1565400843881856,80,0.1642522269104547,80,0.1565400843881856,0.1642522269104547,-0.007712142522269122,False,False
MTG,dam_lipid_trem2_apoe,q99,GFAP,0.2834058924774729,84,0.2913030272349903,84,0.2834058924774729,0.2913030272349903,-0.00789713475751741,False,False
DLPFC,oxidative_stress_gene_preserved,fraction_high_global_q95,GFAP,0.1708157524613221,80,0.1787857477730895,80,0.1708157524613221,0.1787857477730895,-0.007969995311767397,False,False
DLPFC,complement_phagocytosis,variance,AT8,0.0501640881387716,80,0.0589076418190342,80,0.0501640881387716,0.0589076418190342,-0.008743553680262597,False,False
DLPFC,oxidative_stress_gene_preserved,top_10pct_mean,6e10/A_beta,0.2383263009845288,80,0.2473277074542897,80,0.2383263009845288,0.2473277074542897,-0.009001406469760886,False,False
MTG,disease_program_score,q95,Iba1,0.2408828591677635,84,0.2499949377341297,84,0.2408828591677635,0.2499949377341297,-0.0091120785663662,False,False
DLPFC,lysosomal_endolysosomal,q90,Iba1,0.2556493202062822,80,0.2652133145804032,80,0.2556493202062822,0.2652133145804032,-0.009563994374120977,False,False
DLPFC,complement_phagocytosis,top_1pct_mean,Iba1,0.1544772620721987,80,0.1647913736521331,80,0.1544772620721987,0.1647913736521331,-0.010314111579934393,False,False
MTG,complement_phagocytosis,top_1pct_mean,6e10/A_beta,0.2732408626101043,84,0.2842361040801863,84,0.2732408626101043,0.2842361040801863,-0.010995241470082018,False,False
DLPFC,disease_program_score,top_5pct_mean,Iba1,0.2187998124706985,80,0.2309188935771214,80,0.2187998124706985,0.2309188935771214,-0.012119081106422902,False,False
DLPFC,complement_phagocytosis,top_1pct_mean,AT8,0.0454992967651195,80,0.0589076418190342,80,0.0454992967651195,0.0589076418190342,-0.013408345053914701,False,False
DLPFC,complement_phagocytosis,top_5pct_mean,Iba1,0.150914205344585,80,0.1647913736521331,80,0.150914205344585,0.1647913736521331,-0.013877168307548093,False,False
DLPFC,antigen_presentation,variance,Iba1,-0.0123769338959212,80,0.0262775433661509,80,0.0123769338959212,0.0262775433661509,-0.013900609470229702,False,False
