model,source_latent_dim,source_latent_factor,target_latent_dim,target_latent_factor,mean_jacobian,abs_mean_jacobian,source_annotation,target_annotation
fine_bridge_06,124,z_124,99,z_99,-0.90793377161026,0.90793377161026,lysosome_phagocytosis (-0.43),lysosome_phagocytosis (+0.43)
fine_bridge_06,104,z_104,99,z_99,-0.890780508518219,0.890780508518219,lysosome_phagocytosis (+0.43),lysosome_phagocytosis (+0.43)
fine_bridge_06,59,z_59,124,z_124,0.8632186651229858,0.8632186651229858,lysosome_phagocytosis (-0.43),lysosome_phagocytosis (-0.43)
fine_bridge_06,59,z_59,5,z_5,0.8513344526290894,0.8513344526290894,lysosome_phagocytosis (-0.43),lysosome_phagocytosis (-0.43)
fine_bridge_06,104,z_104,46,z_46,0.8309085369110107,0.8309085369110107,lysosome_phagocytosis (+0.43),lysosome_phagocytosis (-0.43)
fine_bridge_06,124,z_124,46,z_46,0.8261756896972656,0.8261756896972656,lysosome_phagocytosis (-0.43),lysosome_phagocytosis (-0.43)
fine_bridge_06,124,z_124,17,z_17,0.8239004611968994,0.8239004611968994,lysosome_phagocytosis (-0.43),lysosome_phagocytosis (-0.43)
fine_bridge_06,59,z_59,118,z_118,0.7861565947532654,0.7861565947532654,lysosome_phagocytosis (-0.43),lysosome_phagocytosis (-0.43)
fine_bridge_06,59,z_59,63,z_63,0.7667073607444763,0.7667073607444763,lysosome_phagocytosis (-0.43),lysosome_phagocytosis (-0.43)
fine_bridge_06,59,z_59,70,z_70,-0.7464220523834229,0.7464220523834229,lysosome_phagocytosis (-0.43),lysosome_phagocytosis (+0.43)
fine_bridge_06,59,z_59,87,z_87,-0.7289803624153137,0.7289803624153137,lysosome_phagocytosis (-0.43),lysosome_phagocytosis (+0.43)
fine_bridge_06,104,z_104,17,z_17,0.7189925909042358,0.7189925909042358,lysosome_phagocytosis (+0.43),lysosome_phagocytosis (-0.43)
fine_bridge_06,59,z_59,85,z_85,0.7171438336372375,0.7171438336372375,lysosome_phagocytosis (-0.43),lysosome_phagocytosis (-0.43)
fine_bridge_06,59,z_59,101,z_101,0.7037347555160522,0.7037347555160522,lysosome_phagocytosis (-0.43),lysosome_phagocytosis (-0.43)
fine_bridge_06,59,z_59,47,z_47,0.7007325887680054,0.7007325887680054,lysosome_phagocytosis (-0.43),lysosome_phagocytosis (-0.43)
fine_bridge_06,59,z_59,117,z_117,0.6803330183029175,0.6803330183029175,lysosome_phagocytosis (-0.43),lysosome_phagocytosis (-0.43)
fine_bridge_06,59,z_59,116,z_116,0.6788365840911865,0.6788365840911865,lysosome_phagocytosis (-0.43),lysosome_phagocytosis (-0.43)
fine_bridge_06,59,z_59,91,z_91,-0.6758668422698975,0.6758668422698975,lysosome_phagocytosis (-0.43),lysosome_phagocytosis (+0.43)
fine_bridge_06,59,z_59,92,z_92,0.6757318377494812,0.6757318377494812,lysosome_phagocytosis (-0.43),lysosome_phagocytosis (-0.43)
fine_bridge_06,99,z_99,46,z_46,-0.6748934984207153,0.6748934984207153,lysosome_phagocytosis (+0.43),lysosome_phagocytosis (-0.43)
fine_bridge_06,19,z_19,99,z_99,-0.6724353432655334,0.6724353432655334,lysosome_phagocytosis (+0.43),lysosome_phagocytosis (+0.43)
fine_bridge_06,60,z_60,124,z_124,0.6586493253707886,0.6586493253707886,lysosome_phagocytosis (-0.43),lysosome_phagocytosis (-0.43)
