candidate_id,target,fold_id,model_name,alpha,n_train,n_test,n_features
latent_plus_stable_metadata_pruned,AT8,1,ridge,100.0,67,17,28
latent_plus_stable_metadata_pruned,AT8,2,ridge,10.0,67,17,28
latent_plus_stable_metadata_pruned,AT8,3,ridge,10.0,67,17,28
latent_plus_stable_metadata_pruned,AT8,4,ridge,100.0,67,17,28
latent_plus_stable_metadata_pruned,AT8,5,ridge,10000.0,68,16,28
latent_plus_stable_metadata_pruned,6e10/A_beta,1,ridge,10.0,67,17,28
latent_plus_stable_metadata_pruned,6e10/A_beta,2,ridge,100.0,67,17,28
latent_plus_stable_metadata_pruned,6e10/A_beta,3,ridge,30.0,67,17,28
latent_plus_stable_metadata_pruned,6e10/A_beta,4,ridge,100.0,67,17,28
latent_plus_stable_metadata_pruned,6e10/A_beta,5,ridge,10000.0,68,16,28
latent_plus_stable_metadata_pruned,GFAP,1,ridge,10000.0,67,17,28
latent_plus_stable_metadata_pruned,GFAP,2,ridge,10000.0,67,17,28
latent_plus_stable_metadata_pruned,GFAP,3,ridge,10000.0,67,17,28
latent_plus_stable_metadata_pruned,GFAP,4,ridge,10.0,67,17,28
latent_plus_stable_metadata_pruned,GFAP,5,ridge,10000.0,68,16,28
latent_plus_stable_metadata_pruned,Iba1,1,ridge,10000.0,67,17,28
latent_plus_stable_metadata_pruned,Iba1,2,ridge,10000.0,67,17,28
latent_plus_stable_metadata_pruned,Iba1,3,ridge,1000.0,67,17,28
latent_plus_stable_metadata_pruned,Iba1,4,ridge,10000.0,67,17,28
latent_plus_stable_metadata_pruned,Iba1,5,ridge,10000.0,68,16,28
latent_plus_stable_metadata_pruned,NeuN,1,ridge,10.0,67,17,28
latent_plus_stable_metadata_pruned,NeuN,2,ridge,30.0,67,17,28
latent_plus_stable_metadata_pruned,NeuN,3,ridge,300.0,67,17,28
latent_plus_stable_metadata_pruned,NeuN,4,ridge,10.0,67,17,28
latent_plus_stable_metadata_pruned,NeuN,5,ridge,100.0,68,16,28
latent_plus_stable_metadata_strong_ridge,AT8,1,ridge,1000.0,67,17,28
latent_plus_stable_metadata_strong_ridge,AT8,2,ridge,1000.0,67,17,28
latent_plus_stable_metadata_strong_ridge,AT8,3,ridge,1000.0,67,17,28
