epoch,loss,jepa_loss,sea_rehearsal_loss,cellxgene_rehearsal_loss,sea_anchor_cosine,cellxgene_anchor_cosine,pathology_contrastive_loss,pathology_contrastive_weight,embedding_effective_dims,embedding_top_sv_ratio,embedding_mean_dim_std,predictor_effective_dims,predictor_top_sv_ratio,mask_fraction,ema_decay,base_lr,head_lr,steps
1,0.9890752911567688,0.9890752911567688,3.0646010062973515e-09,3.064613374181846e-09,0.9999818116426468,0.9999817669391632,3.128444575395406e-06,0.0,75.75292205810547,0.09673707187175751,0.005574625451117754,30.279998779296875,0.18109415471553802,0.2,0.995,1e-06,2e-05,20
2,0.9891042381525039,0.9891041785478591,3.066708298415932e-09,3.066718345934305e-09,0.9999749273061752,0.9999748915433884,3.007614532180014e-06,0.01875,76.51959228515625,0.10252391546964645,0.005295594688504934,42.11184310913086,0.16520369052886963,0.275,0.996125,1e-06,2e-05,20
3,0.9891446590423584,0.9891445398330688,3.070251963777082e-09,3.0702357767253828e-09,0.999963390827179,0.999963429570198,2.8542842983370064e-06,0.0375,76.3593978881836,0.10388688743114471,0.005235437769442797,48.51668167114258,0.12212906032800674,0.35,0.99725,1e-06,2e-05,20
4,0.989158320426941,0.9891581475734711,3.0731512445925093e-09,3.0731647115977976e-09,0.9999539464712143,0.9999538987874985,2.732287271101086e-06,0.056249999999999994,76.44727325439453,0.10538578778505325,0.005233770702034235,52.55356979370117,0.07557514309883118,0.425,0.998375,1e-06,2e-05,20
5,0.9891585856676102,0.9891584068536758,3.0747161483546392e-09,3.0747106527506674e-09,0.999948850274086,0.9999488681554795,2.588587426544109e-06,0.075,75.76625061035156,0.10747675597667694,0.005258630029857159,55.55145263671875,0.06310878694057465,0.5,0.9995,1e-06,2e-05,20
6,0.9891595661640167,0.9891593873500824,3.0755405333593442e-09,3.0755233249024626e-09,0.9999461710453034,0.9999462246894837,2.595563967133785e-06,0.075,75.48583984375,0.1081395149230957,0.005273186601698399,56.00367736816406,0.06110136955976486,0.5,0.9995,1e-06,2e-05,20
7,0.9891686171293259,0.9891684383153916,3.0763889546925328e-09,3.07636990326543e-09,0.9999434113502502,0.9999434739351273,2.6262332085025266e-06,0.075,75.556884765625,0.10783752799034119,0.0052656871266663074,55.878944396972656,0.06243979185819626,0.5,0.9995,1e-06,2e-05,20
8,0.9891716301441192,0.9891714513301849,3.0772107417753603e-09,3.0771376224869584e-09,0.9999407559633255,0.9999409765005112,2.650746671406523e-06,0.075,75.52410888671875,0.1080799326300621,0.005281141027808189,55.554420471191406,0.06491602212190628,0.5,0.9995,1e-06,2e-05,20
9,0.9891716837882996,0.9891715049743652,3.078047872140388e-09,3.0780276105701887e-09,0.9999380260705948,0.9999380886554718,2.6804257458934443e-06,0.075,75.3537826538086,0.10916196554899216,0.00529726967215538,55.44572830200195,0.06287810951471329,0.5,0.9995,1e-06,2e-05,20
10,0.9891823381185532,0.9891821593046188,3.078970456371621e-09,3.0788911975498934e-09,0.9999350309371948,0.9999352842569351,2.6838336907530903e-06,0.075,75.40413665771484,0.10914627462625504,0.005302567966282368,55.420196533203125,0.0629972442984581,0.5,0.9995,1e-06,2e-05,20
