condition,graph_role,lambda_graph,target,target_key,target_alias,n_donors,pooled_oof_spearman,pooled_oof_pearson,r2,mae,rmse,target_context
laplacian_no_graph_identity_lambda_0_ridge,matched_no_graph_identity_control,0.0,6e10/Aβ,6e10/A_beta,percent 6e10 positive area_Grey matter,84,0.402510883871621,0.3821105714174473,0.13162200163987714,0.5839305351481525,0.6829940779524906,
laplacian_no_graph_identity_lambda_0_ridge,matched_no_graph_identity_control,0.0,AT8,AT8,percent AT8 positive area_Grey matter,84,0.5318821504505417,0.6668610328811531,0.4330206170641141,0.35074910606496784,0.4367646151030982,
laplacian_no_graph_identity_lambda_0_ridge,matched_no_graph_identity_control,0.0,GFAP,GFAP,percent GFAP positive area_Grey matter,84,0.2735041004353549,0.2663357421066879,0.041058833851593035,0.5085319426573135,0.609754132787366,
laplacian_no_graph_identity_lambda_0_ridge,matched_no_graph_identity_control,0.0,Iba1,Iba1,percent Iba1 positive area_Grey matter,84,-0.07083122405588742,-0.12805962255458334,-0.30558585726807075,0.38619526116541564,0.5022990220897735,
laplacian_no_graph_identity_lambda_0_ridge,matched_no_graph_identity_control,0.0,NeuN,NeuN,percent NeuN positive area_Grey matter,84,0.45843879720562924,0.46705352508584647,0.18321331538123542,0.3939003777768534,0.4941938173540834,
laplacian_real_graph_lambda_0_001_ridge,real_graph_laplacian_penalty,0.001,6e10/Aβ,6e10/A_beta,percent 6e10 positive area_Grey matter,84,0.402510883871621,0.3821042405225733,0.13163044926039813,0.58392372900031,0.6829907558457401,
laplacian_real_graph_lambda_0_001_ridge,real_graph_laplacian_penalty,0.001,AT8,AT8,percent AT8 positive area_Grey matter,84,0.5318821504505417,0.6668618651917674,0.43303629981309866,0.35074368544278695,0.4367585745684716,
laplacian_real_graph_lambda_0_001_ridge,real_graph_laplacian_penalty,0.001,GFAP,GFAP,percent GFAP positive area_Grey matter,84,0.2735041004353549,0.2663445243538161,0.0410809912689265,0.5085261795221735,0.6097470882181509,
laplacian_real_graph_lambda_0_001_ridge,real_graph_laplacian_penalty,0.001,Iba1,Iba1,percent Iba1 positive area_Grey matter,84,-0.07083122405588742,-0.1280231561657543,-0.3055013416401151,0.38618320093749264,0.5022827639463194,
laplacian_real_graph_lambda_0_001_ridge,real_graph_laplacian_penalty,0.001,NeuN,NeuN,percent NeuN positive area_Grey matter,84,0.45843879720562924,0.46705467509961857,0.1832518472891046,0.39389457500045955,0.4941821604211393,
laplacian_real_graph_lambda_0_01_ridge,real_graph_laplacian_penalty,0.01,6e10/Aβ,6e10/A_beta,percent 6e10 positive area_Grey matter,84,0.40326009922041106,0.3820472715243885,0.13170569917425046,0.5838625740991974,0.6829611623915638,
laplacian_real_graph_lambda_0_01_ridge,real_graph_laplacian_penalty,0.01,AT8,AT8,percent AT8 positive area_Grey matter,84,0.5310721879113091,0.6668691772063251,0.4331765133273425,0.35069502131972324,0.43670456472508545,
laplacian_real_graph_lambda_0_01_ridge,real_graph_laplacian_penalty,0.01,GFAP,GFAP,percent GFAP positive area_Grey matter,84,0.27243090007087173,0.26642307660152037,0.041279279079133424,0.5084745068611919,0.6096840424005514,
laplacian_real_graph_lambda_0_01_ridge,real_graph_laplacian_penalty,0.01,Iba1,Iba1,percent Iba1 positive area_Grey matter,84,-0.07115520907158045,-0.12769566598528095,-0.3047436492024407,0.38607497633005955,0.5021369842846044,
laplacian_real_graph_lambda_0_01_ridge,real_graph_laplacian_penalty,0.01,NeuN,NeuN,percent NeuN positive area_Grey matter,84,0.45843879720562924,0.4670646973449083,0.18359621574118468,0.3938425110117685,0.49407796753908195,
laplacian_real_graph_lambda_0_05_ridge,real_graph_laplacian_penalty,0.05,6e10/Aβ,6e10/A_beta,percent 6e10 positive area_Grey matter,84,0.4038675711248355,0.38179437042646863,0.13202380759776888,0.5835929359742587,0.6828360460568205,
laplacian_real_graph_lambda_0_05_ridge,real_graph_laplacian_penalty,0.05,AT8,AT8,percent AT8 positive area_Grey matter,84,0.5321251392123114,0.6668978924538813,0.43377985234549776,0.3504813310629022,0.4364720840141443,
laplacian_real_graph_lambda_0_05_ridge,real_graph_laplacian_penalty,0.05,GFAP,GFAP,percent GFAP positive area_Grey matter,84,0.27249164726131414,0.2667618209352363,0.04213662293909548,0.5082490216402914,0.609411373952737,
laplacian_real_graph_lambda_0_05_ridge,real_graph_laplacian_penalty,0.05,Iba1,Iba1,percent Iba1 positive area_Grey matter,84,-0.06957578212007695,-0.126255404181137,-0.3014389366756196,0.3856007726496098,0.5015006637023657,
laplacian_real_graph_lambda_0_05_ridge,real_graph_laplacian_penalty,0.05,NeuN,NeuN,percent NeuN positive area_Grey matter,84,0.4578515743646857,0.4671022957218287,0.18507550139403572,0.39361456011891666,0.4936301414483628,
