source_idx,target_idx,support,string_score,wgcna_tom
2498,2026,both,999.0,0.3753404
1113,345,both,999.0,0.37518892
2175,2398,both,849.0,0.3749509
2717,2713,both,999.0,0.37446854
38,2713,both,999.0,0.3743754
781,1517,both,856.0,0.37432486
425,1850,both,705.0,0.37396908
2269,1771,both,892.0,0.37388927
1442,1581,both,936.0,0.37382767
2498,791,both,999.0,0.37346175
2453,2713,both,999.0,0.37341934
2131,2029,both,717.0,0.3732558
2498,1113,both,999.0,0.37319097
2705,2713,both,999.0,0.372931
185,2713,both,999.0,0.3729264
1748,1491,both,999.0,0.3728343
2370,1327,both,841.0,0.37248835
38,2498,both,999.0,0.37215316
1097,2928,both,999.0,0.3721344
2498,2713,both,999.0,0.37198707
1488,2641,both,974.0,0.3719663
1278,618,both,920.0,0.37170887
2854,2713,both,999.0,0.3716941
2399,810,both,889.0,0.37125257
1876,2713,both,999.0,0.3710845
2641,2713,both,999.0,0.3710357
2370,691,both,751.0,0.3708069
2065,1702,both,999.0,0.37080425
2043,2278,both,997.0,0.3705873
1488,2350,both,987.0,0.3704577
1891,1837,both,974.0,0.37028348
1581,2043,both,970.0,0.37022266
2498,963,both,999.0,0.37017798
963,2713,both,999.0,0.36986002
791,345,both,999.0,0.3695633
2498,1876,both,999.0,0.3694829
2613,2713,both,999.0,0.3690597
2705,2498,both,999.0,0.36884907
2183,1690,both,740.0,0.3684351
331,1874,both,792.0,0.36804995
2026,1113,both,999.0,0.36774233
0,185,both,800.0,0.3674995
2498,2854,both,999.0,0.36749855
1748,1876,both,984.0,0.36745024
1607,2713,both,999.0,0.36734536
2498,852,both,999.0,0.36721057
1027,1113,both,999.0,0.3670551
685,1975,both,960.0,0.3669227
2453,1113,both,999.0,0.36671722
2057,2713,both,999.0,0.36667898
1235,1457,both,930.0,0.3664609
1805,213,both,907.0,0.36639535
1376,2309,both,999.0,0.36602712
44,2566,both,859.0,0.36572197
2073,123,both,948.0,0.36543292
38,1113,both,999.0,0.36533785
123,598,both,998.0,0.36516103
1158,1968,both,981.0,0.36503285
1748,345,both,971.0,0.3649569
1488,1696,both,982.0,0.36490685
2404,211,both,935.0,0.36478096
791,1113,both,999.0,0.36457467
929,1546,both,999.0,0.3645207
2183,1415,both,736.0,0.36426923
1488,82,both,986.0,0.36406016
403,186,both,747.0,0.3639315
2545,285,both,962.0,0.36377785
2498,185,both,999.0,0.36375317
2643,2498,both,726.0,0.36372855
2717,345,both,998.0,0.36365098
2211,428,both,732.0,0.36316377
2026,791,both,999.0,0.36302528
1113,1876,both,999.0,0.3629778
1204,654,both,829.0,0.3629443
233,2603,both,768.0,0.36290923
1748,963,both,987.0,0.36277208
0,2652,both,834.0,0.36264193
2453,791,both,999.0,0.3624951
2386,37,both,869.0,0.36244106
2498,2641,both,999.0,0.36211923
2854,345,both,997.0,0.3620884
791,1027,both,999.0,0.36184213
403,1552,both,701.0,0.3618361
1748,1027,both,962.0,0.36176294
2140,52,both,918.0,0.3616034
2665,1809,both,712.0,0.3615179
1053,2269,both,999.0,0.36142927
2808,2801,both,961.0,0.36130747
1796,2193,both,786.0,0.36112872
806,145,both,763.0,0.36102882
1097,2827,both,803.0,0.36094055
2498,2717,both,999.0,0.36089575
1113,963,both,999.0,0.36084506
2627,2929,both,951.0,0.36053336
1644,2043,both,994.0,0.36043626
1113,185,both,999.0,0.36036065
2705,1113,both,999.0,0.36006775
852,2713,both,999.0,0.36003658
2339,1624,both,739.0,0.3599423
38,791,both,999.0,0.35984546
2404,2545,both,831.0,0.35971573
1053,474,both,876.0,0.35971063
1097,604,both,864.0,0.35969222
2320,330,both,726.0,0.35949495
933,1897,both,745.0,0.3592709
2641,1113,both,999.0,0.3590484
331,330,both,953.0,0.35903606
1488,2451,both,986.0,0.3589514
1661,497,both,967.0,0.35889155
331,1830,both,789.0,0.35887095
467,2908,both,728.0,0.35876212
2034,2043,both,911.0,0.3586602
852,1113,both,999.0,0.3585534
0,2641,both,838.0,0.35849255
559,2356,both,702.0,0.35820436
1763,2713,both,999.0,0.35808688
707,403,both,809.0,0.35782403
1748,185,both,976.0,0.3577798
2854,1113,both,999.0,0.35749373
1624,2713,both,999.0,0.3574772
1421,2183,both,972.0,0.35730496
2315,2713,both,999.0,0.35729617
791,1876,both,999.0,0.35716018
1368,896,both,791.0,0.35699022
2613,2498,both,999.0,0.35696217
988,256,both,720.0,0.35692003
2717,1027,both,999.0,0.35689008
2717,2026,both,999.0,0.3566056
2717,2641,both,999.0,0.35632616
791,963,both,999.0,0.35627222
1618,2435,both,718.0,0.35624442
213,2191,both,901.0,0.35613602
1001,418,both,849.0,0.3558689
1805,2627,both,954.0,0.3558137
1340,40,both,729.0,0.35530016
1748,2451,both,989.0,0.355142
2854,1027,both,999.0,0.35512912
1610,1442,both,924.0,0.35510173
2498,2057,both,999.0,0.3550112
2363,2370,both,955.0,0.3546565
852,791,both,999.0,0.35449052
2705,2717,both,999.0,0.3543891
650,2908,both,951.0,0.35432562
2705,791,both,999.0,0.35430592
1488,1624,both,774.0,0.35426548
1850,2928,both,852.0,0.35424003
2436,2440,both,782.0,0.35398182
38,2717,both,999.0,0.35382438
2854,2026,both,999.0,0.3537945
2717,1113,both,999.0,0.35375226
1190,2886,both,865.0,0.35364762
2613,1113,both,999.0,0.3536228
2395,2928,both,992.0,0.35349154
791,185,both,999.0,0.35330418
1059,1368,both,999.0,0.3532887
2717,185,both,998.0,0.35286212
663,815,both,783.0,0.35267144
330,1002,both,712.0,0.3526301
1053,569,both,747.0,0.3526102
38,2854,both,999.0,0.3523374
2854,791,both,999.0,0.35218892
2453,2854,both,999.0,0.35217446
2702,1891,both,864.0,0.35202676
2350,2713,both,999.0,0.3519688
2057,1113,both,999.0,0.3519308
2827,2928,both,710.0,0.35189006
1368,2172,both,999.0,0.35180002
1488,1479,both,771.0,0.3517684
1916,1713,both,929.0,0.35169578
791,2641,both,999.0,0.35163403
1557,1479,both,954.0,0.35144302
2717,791,both,999.0,0.35142115
469,56,both,755.0,0.35136062
2705,2854,both,999.0,0.3509848
1874,2737,both,841.0,0.35096687
1795,419,both,998.0,0.35073677
515,1039,both,836.0,0.3506574
2498,1624,both,999.0,0.3506182
1028,2440,both,743.0,0.35040125
2613,2717,both,999.0,0.35028523
2909,59,both,956.0,0.34983563
1748,2350,both,993.0,0.34966487
2453,2717,both,999.0,0.34964955
1479,1751,both,720.0,0.34960097
872,2043,both,911.0,0.34940538
