source,target,source_idx,target_idx,in_string,in_wgcna,string_score,wgcna_tom,support
PCF11,RBBP6,1850,2379,True,True,917.0,0.3993165,both
HNRNPK,PCBP2,1557,1954,True,True,941.0,0.39927053,both
EIF3A,EIF3E,1748,1488,True,True,999.0,0.3991059,both
AATF,RPS27,2494,185,True,True,966.0,0.398214,both
IFIT2,ISG15,1709,0,True,True,975.0,0.3979763,both
EIF3E,RPS9,1488,2713,True,True,961.0,0.3979752,both
IRF2,SPI1,897,1809,True,True,834.0,0.397394,both
ATG10,ATG5,962,1173,True,True,998.0,0.39687723,both
PCF11,RPAP2,1850,130,True,True,748.0,0.39640635,both
PTEN,XIAP,1706,2929,True,True,921.0,0.39628643,both
YWHAG,YWHAZ,1304,1480,True,True,985.0,0.3962463,both
AATF,PUM3,2494,1517,True,True,912.0,0.39589885,both
ISG15,RPS18,0,1113,True,True,844.0,0.39578807,both
ATR,SMC5,692,1552,True,True,726.0,0.39538693,both
GSK3B,NIN,650,2163,True,True,904.0,0.39500874,both
EIF3E,RPS27A,1488,345,True,True,972.0,0.3944155,both
HNRNPD,KHDRBS1,821,56,True,True,907.0,0.3939249,both
UBC,USP7,2043,2356,True,True,997.0,0.39391574,both
EIF3E,RPS25,1488,1876,True,True,986.0,0.39381853,both
COPB1,GOLPH3,1784,914,True,True,922.0,0.3935474,both
EIF3E,RPL19,1488,2498,True,True,758.0,0.3930505,both
ISG15,RPS27A,0,345,True,True,792.0,0.3925278,both
EIF3E,RPL11,1488,38,True,True,758.0,0.39248887,both
CSDE1,PABPC1,161,1479,True,True,985.0,0.3923994,both
FOS,SPI1,2201,1809,True,True,975.0,0.39209133,both
LNPEP,TNKS2,975,1715,True,True,906.0,0.39172018,both
EIF3E,RPS23,1488,963,True,True,982.0,0.39150426,both
PPP2R2D,PPP4R1,1762,2582,True,True,801.0,0.39074817,both
CEP128,KIF2A,2209,937,True,True,791.0,0.39063552,both
EIF3E,UPF2,1488,1639,True,True,760.0,0.3902998,both
EIF3E,RPS14,1488,1027,True,True,964.0,0.3901919,both
IFNAR1,ISG15,2805,0,True,True,812.0,0.38975242,both
CLTA,SYNJ1,1544,2801,True,True,779.0,0.3894607,both
UBR1,UBR5,2268,1482,True,True,933.0,0.3893413,both
EIF4B,RPL13A,1953,2708,True,True,836.0,0.38806993,both
CDC73,IWS1,233,418,True,True,732.0,0.38769338,both
BAZ1B,DEK,1299,1083,True,True,934.0,0.38738716,both
VPS50,VPS54,1320,357,True,True,973.0,0.38722154,both
ISG15,RPS23,0,963,True,True,792.0,0.38672143,both
ISG15,RPS14,0,1027,True,True,802.0,0.38652277,both
ADD1,TMOD2,763,2284,True,True,955.0,0.3857558,both
SRRM1,UPF2,40,1639,True,True,998.0,0.38546214,both
DDX39B,PCF11,1097,1850,True,True,825.0,0.38533017,both
CPPED1,CST3,2365,2744,True,True,758.0,0.38511035,both
EIF3E,RPS27,1488,185,True,True,975.0,0.38470593,both
HNRNPR,PABPC1,37,1479,True,True,719.0,0.38435695,both
EPS15L1,RPS27A,2667,345,True,True,763.0,0.3840443,both
CDC27,PPP2CA,2516,1002,True,True,923.0,0.3839905,both
ASCC1,TRIP4,1684,2304,True,True,986.0,0.3838216,both
RPS27A,RPS9,345,2713,True,True,999.0,0.38368234,both
