epoch,checkpoint,composite_rank,loss,alignment_loss,variance_loss,covariance_loss,effective_dims,top_sv_ratio,mean_dim_std,mask_fraction,ema_decay,cells_per_second
30,results/models/v2_2_topology_dropout_full_e50_fast/fast_graph_jepa_epoch_030.pt,2.85,0.0061088052198623,6.571924610502401e-05,0.0087855909090892,0.0857193527422892,65.66800689697266,0.056000143289566,0.0013340407749637,0.5,0.9995,230.1828504487938
35,results/models/v2_2_topology_dropout_full_e50_fast/fast_graph_jepa_epoch_035.pt,3.2500000000000004,0.0065927288174676,6.481796313243307e-05,0.0087368969514871,0.0956106258995214,65.54277801513672,0.0522814616560936,0.0013209534808993,0.5,0.9995,229.9385929902182
25,results/models/v2_2_topology_dropout_full_e50_fast/fast_graph_jepa_epoch_025.pt,4.1,0.0057506611968159,6.896599083189751e-05,0.0088116500443618,0.0783873018185803,64.9300308227539,0.0595979467034339,0.0014245540369302,0.5,0.9995,225.18652306664967
20,results/models/v2_2_topology_dropout_full_e50_fast/fast_graph_jepa_epoch_020.pt,4.55,0.0055131025369142,7.341545858200948e-05,0.0088216360765183,0.0735071955165665,63.38898468017578,0.0635546296834945,0.0014870895538479,0.5,0.9995,222.45363517757315
40,results/models/v2_2_topology_dropout_full_e50_fast/fast_graph_jepa_epoch_040.pt,4.9,0.0072423105134041,6.387415964891956e-05,0.0086652193111693,0.1089078468881594,64.98210144042969,0.064204566180706,0.0012715136399492,0.5,0.9995,229.79867588492
15,results/models/v2_2_topology_dropout_full_e50_fast/fast_graph_jepa_epoch_015.pt,4.900000000000001,0.0053622268175907,7.917774710685584e-05,0.0088167727574895,0.0703938885763952,62.22135162353516,0.0669812485575676,0.0015832538483664,0.5,0.9995,212.88302703224764
10,results/models/v2_2_topology_dropout_full_e50_fast/fast_graph_jepa_epoch_010.pt,5.300000000000001,0.0052836106075745,8.634321249214707e-05,0.0088067148770591,0.0687184868155011,59.76161193847656,0.0759280025959014,0.0017539084656164,0.5,0.9995,220.39141555068343
5,results/models/v2_2_topology_dropout_full_e50_fast/fast_graph_jepa_epoch_005.pt,7.249999999999999,0.0053882230589296,0.0001005868243563,0.0087376758990109,0.0708020196124246,52.62882614135742,0.1311864405870437,0.0022429632954299,0.3333333333333333,0.9953333333333334,210.224326000317
45,results/models/v2_2_topology_dropout_full_e50_fast/fast_graph_jepa_epoch_045.pt,8.1,0.0080888025599063,6.616419288003521e-05,0.0085647051062458,0.1261939438190429,59.30977630615234,0.0963286310434341,0.0014141831779852,0.5,0.9995,229.7038090207336
50,results/models/v2_2_topology_dropout_full_e50_fast/fast_graph_jepa_epoch_050.pt,9.8,0.0091551931509688,6.912240556850554e-05,0.0084306835107932,0.1479986787411817,52.52235412597656,0.1510432511568069,0.0016518670599907,0.5,0.9995,229.85023714178612
