dataset,donor_id,feature,n_cells,mean,variance,q90,q95,q99,fraction_high_global_q95,top_10pct_mean,top_5pct_mean,top_1pct_mean
DLPFC,H18.30.002,dam_lipid_trem2_apoe,295,0.21648496343927867,0.04391191802988236,0.5000598788261414,0.6185528814792636,0.7446122646331789,0.003389830508474576,0.644141306479772,0.7279591759045919,0.9194237391153971
DLPFC,H18.30.002,lysosomal_endolysosomal,295,0.6267251907263772,0.10026348228001118,1.0551167488098148,1.1553529143333436,1.2990328049659732,0.010169491525423728,1.1797076185544333,1.2692722082138062,1.4313734372456868
DLPFC,H18.30.002,complement_phagocytosis,295,0.44521131717552576,0.1119910639337003,0.9077279567718506,1.0261784553527833,1.3495504426956177,0.006779661016949152,1.1065580089886984,1.249340264002482,1.4621606667836506
DLPFC,H18.30.002,antigen_presentation,295,0.6861190039727647,0.20907844571492967,1.3287112474441531,1.5586616039276122,1.9644768738746645,0.020338983050847456,1.622865096728007,1.8212881247202555,2.083639224370321
DLPFC,H18.30.002,interferon_inflammatory,295,0.17443706100269898,0.02795415012928524,0.39163380265235903,0.5067171871662141,0.5796369397640229,0.04067796610169491,0.503816333413124,0.5594896634419759,0.6318251689275106
DLPFC,H18.30.002,oxidative_stress_gene_preserved,295,0.1687859338471445,0.03673780772708161,0.42776939868927005,0.5351396083831789,0.7615204250812531,0.020338983050847456,0.5758862326542536,0.6636890133221944,0.9023043314615885
DLPFC,H18.30.002,disease_program_score,295,-0.386169917512229,0.24333979243524184,0.24427686647659697,0.5413171711011434,0.9014729791043824,0.0,0.5859227147491491,0.7865999879089102,1.2083207075339486
DLPFC,H19.30.001,dam_lipid_trem2_apoe,466,0.22091712561224153,0.03880554150428518,0.4947502315044403,0.5802844166755676,0.7492287158966064,0.002145922746781116,0.6137296874472435,0.6858595237135887,0.8386853814125061
DLPFC,H19.30.001,lysosomal_endolysosomal,466,0.4877967213804118,0.08833365287641778,0.8687265813350677,1.0132834911346436,1.2099968135356909,0.006437768240343348,1.038611093734173,1.1515594919522603,1.3885520458221436
DLPFC,H19.30.001,complement_phagocytosis,466,0.45656886143617875,0.1025532686965497,0.8589916229248047,1.0541199147701263,1.2222264707088473,0.002145922746781116,1.06951763655277,1.1749628186225891,1.394077682495117
DLPFC,H19.30.001,antigen_presentation,466,0.8210209517264059,0.23015804883798496,1.4782769083976746,1.6192521154880524,1.9349114596843737,0.017167381974248927,1.6872486738448447,1.8208593527475994,2.0633715867996214
DLPFC,H19.30.001,interferon_inflammatory,466,0.14114904597145805,0.028034661778751524,0.36828552186489105,0.4609794244170189,0.5921085655689242,0.019313304721030045,0.4796594964697006,0.539818229774634,0.6734407067298889
DLPFC,H19.30.001,oxidative_stress_gene_preserved,466,0.14957310118644535,0.031157187413851886,0.3860895186662674,0.4960266724228859,0.6341973423957826,0.008583690987124463,0.5155982698531861,0.5846224737664064,0.7446978092193604
DLPFC,H19.30.001,disease_program_score,466,-0.42502903716086565,0.1790306537399116,0.10976106236256203,0.27770350220418016,0.623887767564592,0.002145922746781116,0.3383796937431681,0.4910874066052093,0.8490365630614978
DLPFC,H19.30.002,dam_lipid_trem2_apoe,538,0.2511065622798572,0.044261679113206887,0.5342640578746796,0.617064136266708,0.7766106396913528,0.0,0.6483817089487005,0.7177152236302694,0.8196453352769216
