module,n_targets,n_targets_up,n_targets_down,mean_abs_delta,max_abs_delta,strongest_target,strongest_delta,AT8_delta,A_beta_6e10_delta,GFAP_delta,Iba1_delta,NeuN_delta,effect_signature
lysosome_phagocytosis,5,4,1,0.0483176638372242,0.0923472046852111,NeuN,0.0923472046852111,0.0069854487664997,-0.0212994199246168,0.0829115360975265,0.0380447097122669,0.0923472046852111,A beta/6e10:down; AT8/pTau:up; GFAP:up; Iba1:up; NeuN:up
homeostatic_microglia,5,4,1,0.041538230888545455,0.0974610671401023,GFAP,0.0974610671401023,0.0124028297141194,-0.0077305678278207,0.0974610671401023,0.0280400291085243,0.0620566606521606,A beta/6e10:down; AT8/pTau:up; GFAP:up; Iba1:up; NeuN:up
plaque_response,5,3,2,0.03942827535793182,0.0866793319582939,NeuN,0.0866793319582939,-0.0049748695455491,-0.0306216273456811,0.0478520505130291,0.0270134974271059,0.0866793319582939,A beta/6e10:down; AT8/pTau:down; GFAP:up; Iba1:up; NeuN:up
disease_associated_microglia,5,3,2,0.03933735173195596,0.0858040302991867,NeuN,0.0858040302991867,-0.0040829395875334,-0.0295434091240167,0.0497753694653511,0.0274810101836919,0.0858040302991867,A beta/6e10:down; AT8/pTau:down; GFAP:up; Iba1:up; NeuN:up
lipid_metabolism,5,4,1,0.03616406179498878,0.078498899936676,GFAP,0.078498899936676,0.0137696405872702,-0.0017666717758402,0.078498899936676,0.0349079556763172,0.0518771409988403,A beta/6e10:down; AT8/pTau:up; GFAP:up; Iba1:up; NeuN:up
senescence_stress,5,4,1,0.03476953189820046,0.0659310966730117,NeuN,0.0659310966730117,0.0119297727942466,-0.0096850777044892,0.0635551214218139,0.0227465908974409,0.0659310966730117,A beta/6e10:down; AT8/pTau:up; GFAP:up; Iba1:up; NeuN:up
antigen_presentation,5,3,2,0.033824510313570456,0.0806358233094215,NeuN,0.0806358233094215,-0.0174937415868043,-0.0360607840120792,0.0240834504365921,0.0108487522229552,0.0806358233094215,A beta/6e10:down; AT8/pTau:down; GFAP:up; Iba1:up; NeuN:up
vascular_barrier_myeloid,5,3,2,0.026605917699634978,0.0610408782958984,NeuN,0.0610408782958984,-0.0156838931143283,-0.0289373956620693,0.012529875151813,0.0148375462740659,0.0610408782958984,A beta/6e10:down; AT8/pTau:down; GFAP:up; Iba1:up; NeuN:up
complement,5,2,3,0.02005897853523488,0.0434654280543327,NeuN,0.0434654280543327,-0.0090928189456462,-0.0213749669492244,-0.0099196350201964,0.0164420437067747,0.0434654280543327,A beta/6e10:down; AT8/pTau:down; GFAP:down; Iba1:up; NeuN:up
inflammatory_signaling,5,1,4,0.00961586689809334,0.0201824512332677,NeuN,0.0201824512332677,-0.0094440709799528,-0.0150324422866106,-0.0029312798287719,-0.0004890901618637,0.0201824512332677,A beta/6e10:down; AT8/pTau:down; GFAP:down; Iba1:down; NeuN:up
