input_id,path,found,used,selected_cells
raw_mtg_h5ad,data/raw/snrna/SEAAD_MTG_RNAseq_final-nuclei.2024-02-13.h5ad,True,selected_gene_micro_pvm_rows_only,40000
pathology_targets,data/processed/metadata/sea_ad_mtg_donor_pathology_targets.csv,True,posthoc_probe_only,
