condition,mean_pooled_oof_spearman,min_target_spearman,n_targets
negative_control_rank_int_pca8_donor_shuffled_target_ridge,-0.12667518718833465,-0.3585410116617617,5
negative_control_rank_int_pca8_shuffled_features_ridge,-0.06368554330095158,-0.1505774930864395,5
rank_inverse_normal_module_direct_elasticnet,0.37851256756728835,0.12208036796026417,5
rank_inverse_normal_module_direct_huber,0.33240631677446497,0.0025114814907147083,5
rank_inverse_normal_module_direct_ridge,0.34123240177127856,0.06999741961217766,5
rank_inverse_normal_module_pca12_elasticnet,0.325831486597565,0.015541478923225355,5
rank_inverse_normal_module_pca12_huber,0.3336317223197651,0.05467535713051899,5
rank_inverse_normal_module_pca12_ridge,0.3441957425548366,0.0721139503845945,5
rank_inverse_normal_module_pca16_elasticnet,0.32390725859779523,0.015541478923225355,5
rank_inverse_normal_module_pca16_huber,0.33240631677446497,0.0025114814907147083,5
rank_inverse_normal_module_pca16_ridge,0.34123240177127856,0.06999741961217766,5
rank_inverse_normal_module_pca2_pls,0.29339616034868293,0.14769131476041653,5
rank_inverse_normal_module_pca4_elasticnet,0.2963367338138708,0.04884000946800656,5
rank_inverse_normal_module_pca4_huber,0.34286388270560486,0.16955538144772725,5
rank_inverse_normal_module_pca4_pls,0.32606185703396917,0.1401366164052828,5
rank_inverse_normal_module_pca4_ridge,0.30432761587449925,0.11027226593706635,5
rank_inverse_normal_module_pca6_pls,0.323487796203756,0.0700683082026414,5
rank_inverse_normal_module_pca8_elasticnet,0.33220078538945647,0.015541478923225355,5
rank_inverse_normal_module_pca8_huber,0.35501069559916243,-0.015960059795832177,5
rank_inverse_normal_module_pca8_ridge,0.35808116279206914,0.056974172849842526,5
raw_log1p_module_pca12_elasticnet,0.2947522458469022,0.0034159827021630713,5
raw_log1p_module_pca12_huber,0.30582565556343017,-0.009172825756808748,5
raw_log1p_module_pca12_ridge,0.3142695150349296,0.04357598461071176,5
raw_log1p_module_pca16_elasticnet,0.2954974113829961,0.0034159827021630713,5
raw_log1p_module_pca16_huber,0.30363065708211,-0.055887415207046674,5
raw_log1p_module_pca16_ridge,0.3117950794775742,0.06186088893388681,5
raw_log1p_module_pca4_elasticnet,0.2559109412379047,0.02352554753811115,5
raw_log1p_module_pca4_huber,0.3121676622456212,0.13767338260605447,5
raw_log1p_module_pca4_ridge,0.22653032297256254,-0.17529614255340692,5
raw_log1p_module_pca8_elasticnet,0.3093959982219144,0.002968651634022669,5
raw_log1p_module_pca8_huber,0.33112078566366304,-0.02824744355573555,5
raw_log1p_module_pca8_ridge,0.3108352738685836,-0.06325807431406297,5
winsor_log1p_module_pca12_elasticnet,0.28669317158956253,-0.05349143689217885,5
winsor_log1p_module_pca12_huber,0.3064367406587374,-0.011310132589160391,5
winsor_log1p_module_pca12_ridge,0.29456624379849017,-0.03939814315525791,5
winsor_log1p_module_pca16_elasticnet,0.2874727790570589,-0.05349143689217885,5
winsor_log1p_module_pca16_huber,0.30114619669839765,-0.06092485925602334,5
winsor_log1p_module_pca16_ridge,0.28782312869181365,-0.03806158317157915,5
winsor_log1p_module_pca4_elasticnet,0.24328611833612687,-0.0447066808619864,5
winsor_log1p_module_pca4_huber,0.31041129440707804,0.13755429832027208,5
winsor_log1p_module_pca4_ridge,0.2527370698414365,-0.04380271582874472,5
winsor_log1p_module_pca8_elasticnet,0.29704522164498637,-0.05349143689217885,5
winsor_log1p_module_pca8_huber,0.3272253603297952,-0.03411265594707373,5
winsor_log1p_module_pca8_ridge,0.2970406352456866,-0.08464879896632128,5
