model_variant,latent_dim,seed,target,pooled_oof_spearman,n_donors
dlpfc_state_modules_only,8,107,6e10/A_beta,0.2640646976090014,80
dlpfc_state_modules_only,8,107,AT8,0.316643225503985,80
dlpfc_state_modules_only,8,107,GFAP,0.14732770745428975,80
dlpfc_state_modules_only,8,107,Iba1,0.09505391467416785,80
dlpfc_state_modules_only,8,107,NeuN,0.20009376465072667,80
dlpfc_state_modules_only,8,211,6e10/A_beta,0.3004688232536334,80
dlpfc_state_modules_only,8,211,AT8,0.2035864978902954,80
dlpfc_state_modules_only,8,211,GFAP,0.16509610876699485,80
dlpfc_state_modules_only,8,211,Iba1,0.14111579934364746,80
dlpfc_state_modules_only,8,211,NeuN,0.28157524613220813,80
dlpfc_state_modules_only,8,307,6e10/A_beta,0.20846225972808255,80
dlpfc_state_modules_only,8,307,AT8,0.31223628691983124,80
dlpfc_state_modules_only,8,307,GFAP,0.1311767463666198,80
dlpfc_state_modules_only,8,307,Iba1,0.09847632442569151,80
dlpfc_state_modules_only,8,307,NeuN,0.2645100796999531,80
dlpfc_state_modules_only,16,107,6e10/A_beta,0.12766057196436945,80
dlpfc_state_modules_only,16,107,AT8,0.24542897327707455,80
dlpfc_state_modules_only,16,107,GFAP,0.1488748241912799,80
dlpfc_state_modules_only,16,107,Iba1,0.0695968120018753,80
dlpfc_state_modules_only,16,107,NeuN,0.13924050632911392,80
dlpfc_state_modules_only,16,211,6e10/A_beta,0.17613689639006094,80
dlpfc_state_modules_only,16,211,AT8,0.14334270979840602,80
dlpfc_state_modules_only,16,211,GFAP,0.027566807313642756,80
dlpfc_state_modules_only,16,211,Iba1,-0.0276136896390061,80
dlpfc_state_modules_only,16,211,NeuN,0.23293483356774497,80
dlpfc_state_modules_only,16,307,6e10/A_beta,0.15150023441162683,80
dlpfc_state_modules_only,16,307,AT8,0.19763244256915144,80
dlpfc_state_modules_only,16,307,GFAP,0.06186122831692453,80
dlpfc_state_modules_only,16,307,Iba1,0.025293014533520865,80
dlpfc_state_modules_only,16,307,NeuN,0.17372245663384905,80
mtg_programming_only,8,107,6e10/A_beta,0.16270511017346462,80
mtg_programming_only,8,107,AT8,0.49282700421940934,80
mtg_programming_only,8,107,GFAP,0.1671120487576184,80
mtg_programming_only,8,107,Iba1,0.15121894045944678,80
mtg_programming_only,8,107,NeuN,0.5009142053445851,80
mtg_programming_only,8,211,6e10/A_beta,0.12285513361462731,80
mtg_programming_only,8,211,AT8,0.4355368026254103,80
mtg_programming_only,8,211,GFAP,0.2921237693389592,80
mtg_programming_only,8,211,Iba1,0.14538209095171123,80
mtg_programming_only,8,211,NeuN,0.5299109235818097,80
mtg_programming_only,8,307,6e10/A_beta,0.22918424753867792,80
mtg_programming_only,8,307,AT8,0.49498359118612284,80
mtg_programming_only,8,307,GFAP,0.2753633380215659,80
mtg_programming_only,8,307,Iba1,0.08680262541022035,80
mtg_programming_only,8,307,NeuN,0.540014064697609,80
mtg_programming_only,16,107,6e10/A_beta,0.18197374589779652,80
mtg_programming_only,16,107,AT8,0.4621659634317862,80
mtg_programming_only,16,107,GFAP,0.18541959681200187,80
mtg_programming_only,16,107,Iba1,0.1404828879512424,80
mtg_programming_only,16,107,NeuN,0.5027894983591186,80
mtg_programming_only,16,211,6e10/A_beta,0.13921706516643229,80
mtg_programming_only,16,211,AT8,0.38996718237224565,80
mtg_programming_only,16,211,GFAP,0.2972808251289264,80
mtg_programming_only,16,211,Iba1,0.09913267698077825,80
mtg_programming_only,16,211,NeuN,0.4858180965775903,80
mtg_programming_only,16,307,6e10/A_beta,0.32845757149554616,80
mtg_programming_only,16,307,AT8,0.4557899671823723,80
mtg_programming_only,16,307,GFAP,0.3174871073605251,80
mtg_programming_only,16,307,Iba1,0.09535864978902954,80
mtg_programming_only,16,307,NeuN,0.48209095171120486,80
mtg_programming_plus_dlpfc_state_modules,8,107,6e10/A_beta,0.17456633849038913,80
mtg_programming_plus_dlpfc_state_modules,8,107,AT8,0.4889826535396156,80
mtg_programming_plus_dlpfc_state_modules,8,107,GFAP,0.20745428973277075,80
mtg_programming_plus_dlpfc_state_modules,8,107,Iba1,0.16551804969526493,80
mtg_programming_plus_dlpfc_state_modules,8,107,NeuN,0.5055086732301922,80
mtg_programming_plus_dlpfc_state_modules,8,211,6e10/A_beta,0.12130801687763713,80
mtg_programming_plus_dlpfc_state_modules,8,211,AT8,0.4420768870135959,80
mtg_programming_plus_dlpfc_state_modules,8,211,GFAP,0.3071964369432724,80
mtg_programming_plus_dlpfc_state_modules,8,211,Iba1,0.14936708860759493,80
mtg_programming_plus_dlpfc_state_modules,8,211,NeuN,0.5326769807782467,80
mtg_programming_plus_dlpfc_state_modules,8,307,6e10/A_beta,0.2502812939521801,80
mtg_programming_plus_dlpfc_state_modules,8,307,AT8,0.4920534458509143,80
mtg_programming_plus_dlpfc_state_modules,8,307,GFAP,0.2937880918893577,80
mtg_programming_plus_dlpfc_state_modules,8,307,Iba1,0.10808720112517581,80
mtg_programming_plus_dlpfc_state_modules,8,307,NeuN,0.5377871542428505,80
mtg_programming_plus_dlpfc_state_modules,16,107,6e10/A_beta,0.17960618846694795,80
mtg_programming_plus_dlpfc_state_modules,16,107,AT8,0.4476558837318331,80
mtg_programming_plus_dlpfc_state_modules,16,107,GFAP,0.20754805438349744,80
mtg_programming_plus_dlpfc_state_modules,16,107,Iba1,0.15822784810126586,80
mtg_programming_plus_dlpfc_state_modules,16,107,NeuN,0.5008673230192218,80
mtg_programming_plus_dlpfc_state_modules,16,211,6e10/A_beta,0.1607360525082044,80
mtg_programming_plus_dlpfc_state_modules,16,211,AT8,0.37962962962962965,80
mtg_programming_plus_dlpfc_state_modules,16,211,GFAP,0.3129864041256447,80
mtg_programming_plus_dlpfc_state_modules,16,211,Iba1,0.1223863103609939,80
mtg_programming_plus_dlpfc_state_modules,16,211,NeuN,0.5130801687763713,80
mtg_programming_plus_dlpfc_state_modules,16,307,6e10/A_beta,0.307219878105954,80
mtg_programming_plus_dlpfc_state_modules,16,307,AT8,0.45210970464135025,80
mtg_programming_plus_dlpfc_state_modules,16,307,GFAP,0.3189639006094702,80
mtg_programming_plus_dlpfc_state_modules,16,307,Iba1,0.14437412095639945,80
mtg_programming_plus_dlpfc_state_modules,16,307,NeuN,0.49395218002812935,80
negative_control_mtg_programming_plus_donor_shuffled_dlpfc,8,107,6e10/A_beta,0.18195030473511487,80
negative_control_mtg_programming_plus_donor_shuffled_dlpfc,8,107,AT8,0.4988748241912799,80
negative_control_mtg_programming_plus_donor_shuffled_dlpfc,8,107,GFAP,0.1638537271448664,80
negative_control_mtg_programming_plus_donor_shuffled_dlpfc,8,107,Iba1,0.14927332395686826,80
negative_control_mtg_programming_plus_donor_shuffled_dlpfc,8,107,NeuN,0.5050164088138772,80
negative_control_mtg_programming_plus_donor_shuffled_dlpfc,8,211,6e10/A_beta,0.13820909517112048,80
negative_control_mtg_programming_plus_donor_shuffled_dlpfc,8,211,AT8,0.4413033286451008,80
negative_control_mtg_programming_plus_donor_shuffled_dlpfc,8,211,GFAP,0.29355368026254103,80
negative_control_mtg_programming_plus_donor_shuffled_dlpfc,8,211,Iba1,0.15475855602437882,80
negative_control_mtg_programming_plus_donor_shuffled_dlpfc,8,211,NeuN,0.5265119549929677,80
negative_control_mtg_programming_plus_donor_shuffled_dlpfc,8,307,6e10/A_beta,0.22862165963431788,80
negative_control_mtg_programming_plus_donor_shuffled_dlpfc,8,307,AT8,0.4819971870604783,80
negative_control_mtg_programming_plus_donor_shuffled_dlpfc,8,307,GFAP,0.25557899671823725,80
negative_control_mtg_programming_plus_donor_shuffled_dlpfc,8,307,Iba1,0.09580403187998125,80
negative_control_mtg_programming_plus_donor_shuffled_dlpfc,8,307,NeuN,0.535771214252227,80
negative_control_mtg_programming_plus_donor_shuffled_dlpfc,16,107,6e10/A_beta,0.2248945147679325,80
negative_control_mtg_programming_plus_donor_shuffled_dlpfc,16,107,AT8,0.4513595874355368,80
negative_control_mtg_programming_plus_donor_shuffled_dlpfc,16,107,GFAP,0.2201359587435537,80
negative_control_mtg_programming_plus_donor_shuffled_dlpfc,16,107,Iba1,0.15377402719174874,80
negative_control_mtg_programming_plus_donor_shuffled_dlpfc,16,107,NeuN,0.506235349273324,80
negative_control_mtg_programming_plus_donor_shuffled_dlpfc,16,211,6e10/A_beta,0.11411157993436476,80
negative_control_mtg_programming_plus_donor_shuffled_dlpfc,16,211,AT8,0.4195264885138303,80
negative_control_mtg_programming_plus_donor_shuffled_dlpfc,16,211,GFAP,0.2910454758556024,80
negative_control_mtg_programming_plus_donor_shuffled_dlpfc,16,211,Iba1,0.08881856540084389,80
negative_control_mtg_programming_plus_donor_shuffled_dlpfc,16,211,NeuN,0.4824660103141116,80
negative_control_mtg_programming_plus_donor_shuffled_dlpfc,16,307,6e10/A_beta,0.3187294889826536,80
negative_control_mtg_programming_plus_donor_shuffled_dlpfc,16,307,AT8,0.47252695733708394,80
negative_control_mtg_programming_plus_donor_shuffled_dlpfc,16,307,GFAP,0.2605954055321144,80
negative_control_mtg_programming_plus_donor_shuffled_dlpfc,16,307,Iba1,0.11272855133614627,80
negative_control_mtg_programming_plus_donor_shuffled_dlpfc,16,307,NeuN,0.4711204875761838,80
