comparison,left_condition,right_condition,delta,passes
real_lph_vs_no_lph_matched_baseline,lph_aux_head_real,no_lph_matched_baseline,0.009982788296041267,True
real_lph_vs_shuffled_latent_target,lph_aux_head_real,lph_aux_head_shuffled_latent_target,-0.028206945428774,False
real_lph_vs_shuffled_context,lph_aux_head_real,lph_aux_head_shuffled_context,0.02746177989267995,True
real_lph_vs_no_graph_identity,lph_aux_head_real,lph_aux_head_no_graph_or_identity,0.0,True
