model,target,module,perturbation,intervention,n_genes_perturbed,genes,mean_delta_model_scale,mean_delta_raw_scale,median_delta_raw_scale,abs_mean_delta_raw_scale,n_donors,n_cells
upgrade_fine_08,percent 6e10 positive area_Grey matter,antigen_presentation,antigen_presentation,global_mean,10,B2M;CD74;HLA-DPA1;HLA-DPB1;HLA-DQA1;HLA-DQB1;HLA-DRA;HLA-DRB1;TAP1;TAP2,-0.01431427150964737,-0.03606078401207924,-0.0347667932510376,0.03606078401207924,84,11666
upgrade_fine_08,percent 6e10 positive area_Grey matter,plaque_response,plaque_response,global_mean,12,APOE;AXL;CLEC7A;CST7;CTSD;GPNMB;ITGAX;LGALS3;LPL;SPP1;TREM2;TYROBP,-0.01212182454764843,-0.03062162734568119,-0.028295278549194336,0.03062162734568119,84,11666
upgrade_fine_08,percent 6e10 positive area_Grey matter,disease_associated_microglia,disease_associated_microglia,global_mean,13,APOE;AXL;CD9;CLEC7A;CST7;CTSD;GPNMB;ITGAX;LGALS3;LPL;SPP1;TREM2;TYROBP,-0.011690689250826836,-0.029543409124016762,-0.02728402614593506,0.029543409124016762,84,11666
upgrade_fine_08,percent 6e10 positive area_Grey matter,vascular_barrier_myeloid,vascular_barrier_myeloid,global_mean,10,C1QA;C1QB;C1QC;CD163;F13A1;LYVE1;MARCO;MERTK;MRC1;MSR1,-0.011442771181464195,-0.02893739566206932,-0.027115345001220703,0.02893739566206932,84,11666
upgrade_fine_08,percent 6e10 positive area_Grey matter,complement,complement,global_mean,9,C1QA;C1QB;C1QC;C3;C4A;C4B;CFH;SERPING1;VSIG4,-0.00842109601944685,-0.021374966949224472,-0.020950794219970703,0.021374966949224472,84,11666
upgrade_fine_08,percent 6e10 positive area_Grey matter,lysosome_phagocytosis,lysosome_phagocytosis,global_mean,10,CD68;CTSB;CTSD;CTSS;FCGR3A;LAMP1;LAMP2;LAPTM5;MERTK;NPC2,-0.008295847102999687,-0.021299419924616814,-0.018918991088867188,0.021299419924616814,84,11666
upgrade_fine_08,percent 6e10 positive area_Grey matter,inflammatory_signaling,inflammatory_signaling,global_mean,11,CCL2;CCL3;CCL4;CXCL8;IL18;IL1B;IL27RA;IL6;NFKBIA;TNF;TNFRSF11B,-0.005951703991740942,-0.015032442286610603,-0.014623165130615234,0.015032442286610603,84,11666
upgrade_fine_08,percent 6e10 positive area_Grey matter,senescence_stress,senescence_stress,global_mean,10,CDKN1A;CDKN2A;DDIT3;FOS;GADD45A;HSP90AA1;HSPA1A;HSPA1B;JUN;SERPINE1,-0.003790916409343481,-0.009685077704489231,-0.008229732513427734,0.009685077704489231,84,11666
upgrade_fine_08,percent 6e10 positive area_Grey matter,homeostatic_microglia,homeostatic_microglia,global_mean,10,CSF1R;CX3CR1;GPR34;HEXB;OLFML3;P2RY12;P2RY13;SALL1;SELPLG;TMEM119,-0.0030775233171880245,-0.007730567827820778,-0.008427739143371582,0.007730567827820778,84,11666
upgrade_fine_08,percent 6e10 positive area_Grey matter,lipid_metabolism,lipid_metabolism,global_mean,9,ABCA1;ABCA7;APOE;CLU;LPL;MSR1;PLCG2;SORL1;TREM2,-0.000670041365083307,-0.0017666717758402228,-0.001057267189025879,0.0017666717758402228,84,11666
