module_name,requested_genes,present_or_shuffled_genes,missing_genes,n_present,usable,module_gene_shuffle
dam_lipid_trem2_apoe,APOE;TREM2;LPL;APOC1;TYROBP;CST7;LGALS3;CTSD,APOE;TREM2;LPL;APOC1;TYROBP;CST7;LGALS3;CTSD,,8,True,False
lysosomal_endolysosomal,CTSD;CTSB;LAPTM5;NPC2;LAMP2;CTSS;GBA;PSAP,CTSD;CTSB;LAPTM5;NPC2;LAMP2;CTSS;PSAP,GBA,7,True,False
complement_phagocytosis,C1QA;C1QB;C1QC;TYROBP;FCER1G;CTSS;AIF1,C1QA;C1QB;C1QC;TYROBP;CTSS,FCER1G;AIF1,5,True,False
antigen_presentation,CD74;HLA-DRA;HLA-DRB1;HLA-DPA1;HLA-DPB1;B2M,CD74;HLA-DRA;HLA-DRB1;HLA-DPA1;HLA-DPB1;B2M,,6,True,False
interferon_inflammatory,NFKBIA;IRF8;STAT1;IFITM3;IL27RA;SLC6A12;BSG,NFKBIA;IRF8;STAT1;IL27RA;SLC6A12;BSG,IFITM3,6,True,False
oxidative_stress_repaired,HMOX1;NQO1;SOD2;SOD1;GPX4;PRDX1;TXNIP,SOD2;TXNIP,HMOX1;NQO1;SOD1;GPX4;PRDX1,2,True,False
mitochondrial_qc_caution,MT-CO1;MT-CO2;MT-ND1;MT-ND4;TOMM40;PINK1,MT-CO1;MT-CO2;MT-ND1;MT-ND4,TOMM40;PINK1,4,True,False
dam_lipid_trem2_apoe,APOE;TREM2;LPL;APOC1;TYROBP;CST7;LGALS3;CTSD,GRB2;DHTKD1;HAMP;EP400;TNPO1;WDFY3;TTC7B;SLC38A2,,8,True,True
lysosomal_endolysosomal,CTSD;CTSB;LAPTM5;NPC2;LAMP2;CTSS;GBA;PSAP,KIAA0355;TBC1D1;FER;VPS54;HTRA1;SPTLC1;B4GALT5,GBA,7,True,True
complement_phagocytosis,C1QA;C1QB;C1QC;TYROBP;FCER1G;CTSS;AIF1,SEMA4D;CXCL8;GOSR1;LRPPRC;MFSD4B,FCER1G;AIF1,5,True,True
antigen_presentation,CD74;HLA-DRA;HLA-DRB1;HLA-DPA1;HLA-DPB1;B2M,AKT3;USP25;STK17A;SARAF;ANKHD1;AGO2,,6,True,True
interferon_inflammatory,NFKBIA;IRF8;STAT1;IFITM3;IL27RA;SLC6A12;BSG,PDCD6IP;IPCEF1;GBE1;CLINT1;CDKAL1;RHOQ,IFITM3,6,True,True
oxidative_stress_repaired,HMOX1;NQO1;SOD2;SOD1;GPX4;PRDX1;TXNIP,SGPP1;CHD7,HMOX1;NQO1;SOD1;GPX4;PRDX1,2,True,True
mitochondrial_qc_caution,MT-CO1;MT-CO2;MT-ND1;MT-ND4;TOMM40;PINK1,ARNTL;RNF216;KIAA0930;G3BP1,TOMM40;PINK1,4,True,True
