analysis_label,model_variant,latent_dim,seed,fold_id,target,n_donors,y_mean,y_median,y_sd,y_min,y_max
stage61_best,mtg_programming_plus_dlpfc_state_modules,16,307,1,6e10/A_beta,16,1.7321126496875001,1.3034317135,2.1430143033564963,0.000168494,6.760132171
stage61_best,mtg_programming_plus_dlpfc_state_modules,16,307,1,AT8,16,0.5958560893125,0.1778850845,0.9785399585396499,0.007572086,3.857216337
stage61_best,mtg_programming_plus_dlpfc_state_modules,16,307,1,GFAP,16,7.266972888,4.772678427500001,6.78696081777744,1.676257874,26.47735253
stage61_best,mtg_programming_plus_dlpfc_state_modules,16,307,1,Iba1,16,3.2659077565625,2.7020218385000003,1.6974058290719465,1.10601287,7.445298151
stage61_best,mtg_programming_plus_dlpfc_state_modules,16,307,1,NeuN,16,2.5480030219375003,2.0571797755,1.8651390249616375,0.177981557,6.498970505
stage61_best,mtg_programming_plus_dlpfc_state_modules,16,307,2,6e10/A_beta,16,2.0339799591250003,2.038575685,2.203317504671468,0.000532484,8.195152303
stage61_best,mtg_programming_plus_dlpfc_state_modules,16,307,2,AT8,16,1.1522134581249999,0.28617056949999997,1.4687863979653624,0.017713481,4.509271665
stage61_best,mtg_programming_plus_dlpfc_state_modules,16,307,2,GFAP,16,5.9896620298125,4.837235661999999,4.182223057084312,1.84526138,16.8535109
stage61_best,mtg_programming_plus_dlpfc_state_modules,16,307,2,Iba1,16,4.1592481175625,3.951870299,2.309008696999876,1.167843406,10.14681443
stage61_best,mtg_programming_plus_dlpfc_state_modules,16,307,2,NeuN,16,2.619239100625,2.8173083314999996,1.5435796294215351,0.001337497,4.57951719
stage61_best,mtg_programming_plus_dlpfc_state_modules,16,307,3,6e10/A_beta,16,1.8053744899375,0.709831557,2.1626519718644457,0.001108222,6.546090886
stage61_best,mtg_programming_plus_dlpfc_state_modules,16,307,3,AT8,16,0.8989332145,0.383231436,1.388772560816301,0.007338071,5.382839956
stage61_best,mtg_programming_plus_dlpfc_state_modules,16,307,3,GFAP,16,4.573356366312501,4.350155753999999,2.8569538082059753,0.612357615,8.688608943
stage61_best,mtg_programming_plus_dlpfc_state_modules,16,307,3,Iba1,16,3.9570362838750004,3.821251722,1.7427951964246033,0.889626131,6.884660471
stage61_best,mtg_programming_plus_dlpfc_state_modules,16,307,3,NeuN,16,2.7467982534375,2.70208214,1.9591038388006534,0.04433574,6.072337602
stage61_best,mtg_programming_plus_dlpfc_state_modules,16,307,4,6e10/A_beta,16,2.2215093107499997,1.444682347,2.8544793173616902,0.000191268,10.3937098
