source,gene_symbol,query_category,query,success,n_returned,error,summary_success,summary_error
PubMed,APOE,ad,APOE AND (Alzheimer OR dementia OR neurodegeneration),True,20,,True,
PubMed,APOE,microglia_cell_state,APOE AND (Alzheimer OR amyloid OR tau) AND (microglia OR astrocyte OR neuron OR glia),True,20,,True,
PubMed,APOE,perturbation,APOE AND (Alzheimer OR dementia OR neurodegeneration) AND (CRISPR OR knockout OR knockdown OR RNAi OR overexpression OR perturbation),True,20,,True,
PubMed,APOE,drug,APOE AND (Alzheimer OR dementia OR neurodegeneration) AND (drug OR inhibitor OR agonist OR antagonist OR compound OR therapeutic),True,20,,True,
PubMed,APOE,directionality,APOE AND (Alzheimer OR amyloid OR tau) AND (rescue OR increase OR decrease OR activation OR inhibition),True,20,,True,
PubMed,BSG,ad,BSG AND (Alzheimer OR dementia OR neurodegeneration),True,20,,True,
PubMed,BSG,microglia_cell_state,BSG AND (Alzheimer OR amyloid OR tau) AND (microglia OR astrocyte OR neuron OR glia),True,7,,True,
PubMed,BSG,perturbation,BSG AND (Alzheimer OR dementia OR neurodegeneration) AND (CRISPR OR knockout OR knockdown OR RNAi OR overexpression OR perturbation),True,12,,True,
PubMed,BSG,drug,BSG AND (Alzheimer OR dementia OR neurodegeneration) AND (drug OR inhibitor OR agonist OR antagonist OR compound OR therapeutic),True,20,,True,
PubMed,BSG,directionality,BSG AND (Alzheimer OR amyloid OR tau) AND (rescue OR increase OR decrease OR activation OR inhibition),True,15,,True,
PubMed,CST7,ad,CST7 AND (Alzheimer OR dementia OR neurodegeneration),True,20,,True,
PubMed,CST7,microglia_cell_state,CST7 AND (Alzheimer OR amyloid OR tau) AND (microglia OR astrocyte OR neuron OR glia),True,16,,True,
PubMed,CST7,perturbation,CST7 AND (Alzheimer OR dementia OR neurodegeneration) AND (CRISPR OR knockout OR knockdown OR RNAi OR overexpression OR perturbation),True,6,,True,
PubMed,CST7,drug,CST7 AND (Alzheimer OR dementia OR neurodegeneration) AND (drug OR inhibitor OR agonist OR antagonist OR compound OR therapeutic),True,10,,True,
PubMed,CST7,directionality,CST7 AND (Alzheimer OR amyloid OR tau) AND (rescue OR increase OR decrease OR activation OR inhibition),True,16,,True,
PubMed,CTSB,ad,CTSB AND (Alzheimer OR dementia OR neurodegeneration),True,20,,True,
PubMed,CTSB,microglia_cell_state,CTSB AND (Alzheimer OR amyloid OR tau) AND (microglia OR astrocyte OR neuron OR glia),True,20,,True,
PubMed,CTSB,perturbation,CTSB AND (Alzheimer OR dementia OR neurodegeneration) AND (CRISPR OR knockout OR knockdown OR RNAi OR overexpression OR perturbation),True,20,,True,
PubMed,CTSB,drug,CTSB AND (Alzheimer OR dementia OR neurodegeneration) AND (drug OR inhibitor OR agonist OR antagonist OR compound OR therapeutic),True,20,,True,
PubMed,CTSB,directionality,CTSB AND (Alzheimer OR amyloid OR tau) AND (rescue OR increase OR decrease OR activation OR inhibition),True,20,,True,
