model,latent_dim,latent_factor,module,correlation,abs_correlation
upgrade_fine_08,0,z_0,lysosome_phagocytosis,-0.30412000490459395,0.30412000490459395
upgrade_fine_08,0,z_0,synapse_pruning,-0.22647505470123666,0.22647505470123666
upgrade_fine_08,0,z_0,antigen_presentation,-0.22556761940851042,0.22556761940851042
upgrade_fine_08,1,z_1,lysosome_phagocytosis,0.2752792193172703,0.2752792193172703
upgrade_fine_08,1,z_1,vascular_barrier_myeloid,0.22202743355496232,0.22202743355496232
upgrade_fine_08,1,z_1,complement,0.196577807658716,0.196577807658716
upgrade_fine_08,2,z_2,lysosome_phagocytosis,-0.414764176329566,0.414764176329566
upgrade_fine_08,2,z_2,vascular_barrier_myeloid,-0.31596704534144543,0.31596704534144543
upgrade_fine_08,2,z_2,synapse_pruning,-0.2973849631728696,0.2973849631728696
upgrade_fine_08,3,z_3,lysosome_phagocytosis,-0.22379147095924518,0.22379147095924518
upgrade_fine_08,3,z_3,antigen_presentation,-0.1825114025730321,0.1825114025730321
upgrade_fine_08,3,z_3,synapse_pruning,-0.17183674010951247,0.17183674010951247
upgrade_fine_08,4,z_4,lysosome_phagocytosis,-0.3871185745825294,0.3871185745825294
upgrade_fine_08,4,z_4,vascular_barrier_myeloid,-0.29753131674041744,0.29753131674041744
upgrade_fine_08,4,z_4,complement,-0.27723968275509553,0.27723968275509553
upgrade_fine_08,5,z_5,lysosome_phagocytosis,0.41723696303757934,0.41723696303757934
upgrade_fine_08,5,z_5,vascular_barrier_myeloid,0.3201495556341319,0.3201495556341319
upgrade_fine_08,5,z_5,synapse_pruning,0.29771511412981827,0.29771511412981827
upgrade_fine_08,6,z_6,lysosome_phagocytosis,0.41622887565057826,0.41622887565057826
upgrade_fine_08,6,z_6,vascular_barrier_myeloid,0.31926463004892414,0.31926463004892414
upgrade_fine_08,6,z_6,synapse_pruning,0.29833825317743323,0.29833825317743323
upgrade_fine_08,7,z_7,lysosome_phagocytosis,-0.4266295943639964,0.4266295943639964
upgrade_fine_08,7,z_7,vascular_barrier_myeloid,-0.32604284809120226,0.32604284809120226
upgrade_fine_08,7,z_7,synapse_pruning,-0.3064333090686341,0.3064333090686341
upgrade_fine_08,8,z_8,lysosome_phagocytosis,0.13134986522602757,0.13134986522602757
upgrade_fine_08,8,z_8,vascular_barrier_myeloid,0.12012992436304996,0.12012992436304996
upgrade_fine_08,8,z_8,complement,0.08868760887347757,0.08868760887347757
upgrade_fine_08,9,z_9,vascular_barrier_myeloid,0.06960785593136673,0.06960785593136673
upgrade_fine_08,9,z_9,lysosome_phagocytosis,0.06518570876224067,0.06518570876224067
upgrade_fine_08,9,z_9,complement,0.04288426828106118,0.04288426828106118
upgrade_fine_08,10,z_10,lysosome_phagocytosis,-0.42210991916526885,0.42210991916526885
upgrade_fine_08,10,z_10,vascular_barrier_myeloid,-0.3238783554522685,0.3238783554522685
upgrade_fine_08,10,z_10,synapse_pruning,-0.30331886261514823,0.30331886261514823
upgrade_fine_08,11,z_11,lysosome_phagocytosis,-0.3327565208154136,0.3327565208154136
upgrade_fine_08,11,z_11,vascular_barrier_myeloid,-0.2680374586547603,0.2680374586547603
upgrade_fine_08,11,z_11,complement,-0.23647763129350508,0.23647763129350508
upgrade_fine_08,12,z_12,lysosome_phagocytosis,-0.2867988985002367,0.2867988985002367
upgrade_fine_08,12,z_12,antigen_presentation,-0.216119437611593,0.216119437611593
upgrade_fine_08,12,z_12,synapse_pruning,-0.21294330309838852,0.21294330309838852
upgrade_fine_08,13,z_13,lysosome_phagocytosis,0.33248071424167436,0.33248071424167436
upgrade_fine_08,13,z_13,synapse_pruning,0.24753254718719048,0.24753254718719048
upgrade_fine_08,13,z_13,antigen_presentation,0.24611570080893963,0.24611570080893963
upgrade_fine_08,14,z_14,lysosome_phagocytosis,0.3482157671851626,0.3482157671851626
upgrade_fine_08,14,z_14,vascular_barrier_myeloid,0.2776367642073715,0.2776367642073715
upgrade_fine_08,14,z_14,complement,0.24284393147934846,0.24284393147934846
upgrade_fine_08,15,z_15,lysosome_phagocytosis,-0.3666964943999011,0.3666964943999011
upgrade_fine_08,15,z_15,vascular_barrier_myeloid,-0.2713623446523749,0.2713623446523749
upgrade_fine_08,15,z_15,synapse_pruning,-0.2699891608942299,0.2699891608942299
upgrade_fine_08,16,z_16,lysosome_phagocytosis,0.4046467620351671,0.4046467620351671
upgrade_fine_08,16,z_16,vascular_barrier_myeloid,0.3049595386931083,0.3049595386931083
upgrade_fine_08,16,z_16,synapse_pruning,0.29417495895122603,0.29417495895122603
