target_gene,counterfactual_mode,knockdown_fraction,target_in_jepa_input,n_matched_expression_genes,n_deg_rows,n_deg_overlap_jepa,n_significant_deg_overlap_jepa,cosine_similarity,spearman_r,observed_shift_norm,predicted_shift_norm
CSF1R,predictive,0.1,True,2904,8610,2371,17,-0.6160950895388366,-0.5871864127449186,0.4341701567173004,0.0030852158088237047
INPP5D,predictive,0.1,False,2904,8831,2397,0,,,0.18775130808353424,0.0
TGFBR2,predictive,0.1,True,2904,8836,2404,91,-0.4016561400785399,-0.3987651071232375,0.45365193486213684,0.0021556734573096037
CDK8,predictive,0.1,True,2904,8723,2379,19,-0.5430411343372377,-0.4931996389163485,0.17598991096019745,0.0004917352925986052
CDK12,predictive,0.1,True,2904,8939,2424,265,0.28832045332635764,0.25791979490935724,1.3445461988449097,0.006442389450967312
MED1,predictive,0.1,False,2904,8798,2404,150,,,1.0482701063156128,0.0
NDUFA8,predictive,0.1,False,2904,8873,2404,12,,,0.7864317297935486,0.0
NDUFS5,predictive,0.1,False,2904,8826,2406,21,,,1.2610492706298828,0.0
