model_variant,n_donors,n_features
programming_only_pca_jepa,84,3000
state_abundance_and_module_programming,84,280
state_pseudobulk_programming,84,9616
programming_plus_state_module_programming,84,3280
programming_plus_state_pseudobulk_programming,84,12616
programming_plus_state_module_plus_state_pseudobulk,84,12896
negative_control_programming_plus_state_label_shuffled_modules,84,3280
negative_control_programming_plus_state_label_shuffled_pseudobulk,84,12616
