model,target,module,perturbation,intervention,n_genes_perturbed,genes,mean_delta_model_scale,mean_delta_raw_scale,median_delta_raw_scale,abs_mean_delta_raw_scale,n_donors,n_cells
upgrade_fine_08,percent NeuN positive area_Grey matter,lysosome_phagocytosis,lysosome_phagocytosis,global_mean,10,CD68;CTSB;CTSD;CTSS;FCGR3A;LAMP1;LAMP2;LAPTM5;MERTK;NPC2,0.026135971769690514,0.09234720468521118,0.0830235481262207,0.09234720468521118,84,11666
upgrade_fine_08,percent NeuN positive area_Grey matter,plaque_response,plaque_response,global_mean,12,APOE;AXL;CLEC7A;CST7;CTSD;GPNMB;ITGAX;LGALS3;LPL;SPP1;TREM2;TYROBP,0.024256853386759758,0.08667933195829391,0.07240462303161621,0.08667933195829391,84,11666
upgrade_fine_08,percent NeuN positive area_Grey matter,disease_associated_microglia,disease_associated_microglia,global_mean,13,APOE;AXL;CD9;CLEC7A;CST7;CTSD;GPNMB;ITGAX;LGALS3;LPL;SPP1;TREM2;TYROBP,0.024011926725506783,0.0858040302991867,0.07162356376647949,0.0858040302991867,84,11666
upgrade_fine_08,percent NeuN positive area_Grey matter,antigen_presentation,antigen_presentation,global_mean,10,B2M;CD74;HLA-DPA1;HLA-DPB1;HLA-DQA1;HLA-DQB1;HLA-DRA;HLA-DRB1;TAP1;TAP2,0.022378388792276382,0.08063582330942154,0.07402598857879639,0.08063582330942154,84,11666
upgrade_fine_08,percent NeuN positive area_Grey matter,senescence_stress,senescence_stress,global_mean,10,CDKN1A;CDKN2A;DDIT3;FOS;GADD45A;HSP90AA1;HSPA1A;HSPA1B;JUN;SERPINE1,0.01864500716328621,0.06593109667301178,0.06407928466796875,0.06593109667301178,84,11666
upgrade_fine_08,percent NeuN positive area_Grey matter,homeostatic_microglia,homeostatic_microglia,global_mean,10,CSF1R;CX3CR1;GPR34;HEXB;OLFML3;P2RY12;P2RY13;SALL1;SELPLG;TMEM119,0.017591575160622597,0.062056660652160645,0.05724632740020752,0.062056660652160645,84,11666
upgrade_fine_08,percent NeuN positive area_Grey matter,vascular_barrier_myeloid,vascular_barrier_myeloid,global_mean,10,C1QA;C1QB;C1QC;CD163;F13A1;LYVE1;MARCO;MERTK;MRC1;MSR1,0.017214056104421616,0.06104087829589844,0.05536794662475586,0.06104087829589844,84,11666
upgrade_fine_08,percent NeuN positive area_Grey matter,lipid_metabolism,lipid_metabolism,global_mean,9,ABCA1;ABCA7;APOE;CLU;LPL;MSR1;PLCG2;SORL1;TREM2,0.014666454866528511,0.05187714099884033,0.04791522026062012,0.05187714099884033,84,11666
upgrade_fine_08,percent NeuN positive area_Grey matter,complement,complement,global_mean,9,C1QA;C1QB;C1QC;C3;C4A;C4B;CFH;SERPING1;VSIG4,0.01217720378190279,0.04346542805433273,0.039960622787475586,0.04346542805433273,84,11666
upgrade_fine_08,percent NeuN positive area_Grey matter,inflammatory_signaling,inflammatory_signaling,global_mean,11,CCL2;CCL3;CCL4;CXCL8;IL18;IL1B;IL27RA;IL6;NFKBIA;TNF;TNFRSF11B,0.00574116688221693,0.020182451233267784,0.018213748931884766,0.020182451233267784,84,11666
