gene,scope,AT8_delta,A_beta_6e10_delta,GFAP_delta,Iba1_delta,NeuN_delta,manifold_safety_status,prediction_safety_status,perturbation_success,failure_reason,mean_latent_shift,median_latent_shift,mean_nearest_real_cell_distance,p95_nearest_real_cell_distance,baseline_nn_p95_threshold,manifold_violation_fraction,tau_lowering_score,amyloid_lowering_score,neuron_preservation_score,gliosis_penalty,therapeutic_like_score,dual_pathology_lowering_score,broad_shift_score,tau_lowering_score_percentile,amyloid_lowering_score_percentile,neuron_preservation_score_percentile,gliosis_penalty_percentile,therapeutic_like_score_percentile,dual_pathology_lowering_score_percentile,broad_shift_score_percentile
MDM2,graph_connected,-0.039549596607685,-0.003769444534555,0.0091005526483058,0.0041942289099097,0.0229335092008113,not_computed,not_separately_audited,True,,0.0003023119352292,0.0002762498043011,,,,,0.039549596607685,0.003769444534555,0.0229335092008113,0.0132947815582155,0.049188324250280795,0.04331904114224,0.01590946638025336,98.91629297458894,60.1644245142003,94.76831091180867,56.988041853512705,99.2526158445441,92.00298953662183,67.63826606875935
ZDHHC17,graph_connected,-0.0254121702164411,-0.0235053710639476,0.0194254480302333,0.0045682420022785,0.046470534056425,not_computed,not_separately_audited,True,,0.0005159096908755,0.0004108029534108,,,,,0.0254121702164411,0.0235053710639476,0.046470534056425,0.0239936900325118,0.0478890142403543,0.0489175412803887,0.023876353073865098,96.898355754858,86.43497757847534,99.02840059790734,72.90732436472346,99.2152466367713,93.60986547085201,88.2660687593423
SMARCA4,graph_connected,-0.0254578329622745,-0.0299588665366172,-0.0034149121493101,0.0080956621095538,0.0303548369556665,not_computed,not_separately_audited,True,,0.000250372919254,0.0001837260206229,,,,,0.0254578329622745,0.0299588665366172,0.0303548369556665,0.0080956621095538,0.047717007808387196,0.0554166994988917,0.019456422142684417,96.93572496263079,91.10612855007474,97.23467862481316,48.01943198804185,99.1778774289985,95.10463378176382,79.11061285500747
AP1G1,graph_connected,-0.0146085061132907,-0.0342685282230377,-0.0278827920556068,-0.005419482011348,0.0321516171097755,not_computed,not_separately_audited,True,,0.0002231138496426,0.0001804823696147,,,,,0.0146085061132907,0.0342685282230377,0.0321516171097755,0.0,0.046760123223066205,0.048877034336328395,0.02286618510261174,90.50822122571002,93.04932735426009,97.68310911808669,14.835575485799701,99.14050822122572,93.53512705530643,86.6965620328849
TLR2,graph_connected,-0.0261382013559341,-0.0187142621725797,-0.0066200024448335,0.007842544466257,0.0279240608215332,not_computed,not_separately_audited,True,,0.0002924279833678,0.0002397533389739,,,,,0.0261382013559341,0.0187142621725797,0.0279240608215332,0.007842544466257,0.046219717711210306,0.0448524635285138,0.017447814252227502,97.12257100149478,82.17488789237667,96.52466367713004,47.23467862481316,99.10313901345292,92.60089686098655,73.24364723467862
NEMF,graph_connected,-0.0379033200442791,-0.0255498029291629,-0.0481232888996601,-0.0013033513678237,0.0073522529564797,not_computed,not_separately_audited,True,,0.0002422937104711,0.0002672592527233,,,,,0.0379033200442791,0.0255498029291629,0.0073522529564797,0.0,0.045255573000758796,0.063453122973442,0.0240464032394811,98.80418535127056,88.19133034379672,69.99252615844544,14.835575485799701,99.06576980568012,96.33781763826606,88.52765321375186
SH3KBP1,graph_connected,-0.0320210009813308,-0.0565161071717739,-0.0261306446045637,0.0068326597101986,0.019429076462984,not_computed,not_separately_audited,True,,0.0001881234929896,0.0001264248276129,,,,,0.0320210009813308,0.0565161071717739,0.019429076462984,0.0068326597101986,0.044617417734116205,0.0885371081531047,0.0281858977861702,98.01943198804184,98.16890881913304,92.33931240657698,45.06726457399103,99.02840059790734,98.4304932735426,92.89985052316891
CSDE1,graph_connected,-0.0359303019940853,-0.131428062915802,-0.0473805107176303,-0.0073206154629588,0.007089274469763,not_computed,not_separately_audited,True,,0.0005849268636666,0.0005038221133872,,,,,0.0359303019940853,0.131428062915802,0.007089274469763,0.0,0.0430195764638483,0.1673583649098873,0.045829753112047886,98.50523168908819,99.55156950672645,68.79671150971599,14.835575485799701,98.99103139013454,99.47683109118086,97.79521674140508
ATXN7L1,graph_connected,-0.0134463226422667,-0.0546254254877567,-0.0218449179083108,-0.0288897771388292,0.0280763376504182,not_computed,not_separately_audited,True,,0.0002417760988464,0.0002701814810279,,,,,0.0134463226422667,0.0546254254877567,0.0280763376504182,0.0,0.0415226602926849,0.0680717481300234,0.02937655616551632,89.46188340807176,98.01943198804184,96.56203288490283,14.835575485799701,98.95366218236174,96.93572496263079,93.60986547085201
GNPTAB,graph_connected,-0.0111908111721277,-0.011725328862667,-0.0028513334691524,-0.0278359241783618,0.0302760675549507,not_computed,not_separately_audited,True,,0.0002046474692178,0.0001677022664807,,,,,0.0111908111721277,0.011725328862667,0.0302760675549507,0.0,0.041466878727078396,0.0229161400347947,0.01677589304745192,86.43497757847534,73.09417040358744,97.19730941704036,14.835575485799701,98.91629297458894,81.20328849028401,70.88938714499253
BAZ1A,graph_connected,-0.0217148326337337,-0.0311537757515907,-0.0343871638178825,-0.0176800228655338,0.0196127817034721,not_computed,not_separately_audited,True,,0.0002282069763168,0.0002057440724456,,,,,0.0217148326337337,0.0311537757515907,0.0196127817034721,0.0,0.041327614337205804,0.0528686083853244,0.02490971535444256,95.62780269058297,91.85351270553063,92.60089686098655,14.835575485799701,98.87892376681614,94.61883408071749,89.57399103139014
RNF145,graph_connected,-0.0103111388161778,-0.0211140122264623,0.0005112364306114,-0.0090696271508932,0.0313166677951812,not_computed,not_separately_audited,True,,0.0002274634171044,0.0002686335647013,,,,,0.0103111388161778,0.0211140122264623,0.0313166677951812,0.0005112364306114,0.041116570180747596,0.0314251510426401,0.014464536483865179,84.94020926756353,84.49177877428998,97.45889387144993,31.203288490284002,98.84155455904335,86.47234678624814,61.13602391629297
PTPN18,graph_connected,-0.0469423085451126,-0.0336242392659187,-0.0077371839433908,0.01873648352921,0.0127673568204045,not_computed,not_separately_audited,True,,0.0002757963666226,0.0002548186457715,,,,,0.0469423085451126,0.0336242392659187,0.0127673568204045,0.01873648352921,0.040973181836307104,0.0805665478110313,0.023961514420807323,99.2899850523169,92.86248131539611,83.37070254110613,66.03139013452915,98.80418535127056,98.13153961136024,88.37817638266068
BDP1,graph_connected,-0.0366943180561065,-0.0156861133873462,-0.0566465705633163,-0.0226809736341238,0.0042704720981419,not_computed,not_separately_audited,True,,0.000275462254649,0.0002606260532047,,,,,0.0366943180561065,0.0156861133873462,0.0042704720981419,0.0,0.0409647901542484,0.052380431443452696,0.02719568954780694,98.69207772795217,78.101644245142,58.29596412556054,14.835575485799701,98.76681614349776,94.50672645739911,91.74140508221225
GMDS,graph_connected,-0.0240962244570255,-0.0264063868671655,-0.02418689802289,-0.0269116908311843,0.0163265820592641,not_computed,not_separately_audited,True,,0.0002177818387281,0.0002384702675044,,,,,0.0240962244570255,0.0264063868671655,0.0163265820592641,0.0,0.0404228065162896,0.050502611324190996,0.02358555644750588,96.44992526158445,88.97608370702541,89.0881913303438,14.835575485799701,98.72944693572497,94.09566517189836,87.81763826606877
BTBD9,graph_connected,-0.019726525992155,-0.0189706683158874,-0.0384331755340099,-0.0090859364718198,0.0204593688249588,not_computed,not_separately_audited,True,,0.0002289132244186,0.0002586754562798,,,,,0.019726525992155,0.0189706683158874,0.0204593688249588,0.0,0.0401858948171138,0.0386971943080424,0.021335135027766176,94.43198804185351,82.39910313901345,93.19880418535126,14.835575485799701,98.69207772795217,90.02242152466367,83.74439461883408
ARHGEF7,graph_connected,-0.0206142347306013,-0.0167588517069816,-0.0065909316763281,-0.0054729157127439,0.0191455166786909,not_computed,not_separately_audited,True,,0.0002173626126023,0.0002674648712854,,,,,0.0206142347306013,0.0167588517069816,0.0191455166786909,0.0,0.0397597514092922,0.0373730864375829,0.01371649010106916,94.88041853512705,79.55904334828101,92.1898355754858,14.835575485799701,98.65470852017937,89.38714499252616,56.988041853512705
LRCH3,graph_connected,-0.0263251159340143,-0.0246594510972499,-0.0205209739506244,0.0063387863337993,0.0197265315800905,not_computed,not_separately_audited,True,,0.0002168213395634,0.0002259040047647,,,,,0.0263251159340143,0.0246594510972499,0.0197265315800905,0.0063387863337993,0.0397128611803055,0.0509845670312642,0.01951417177915568,97.19730941704036,87.5186846038864,92.67563527653215,44.09566517189836,98.61733931240659,94.28251121076234,79.26008968609865
KIF1B,graph_connected,-0.0322608053684234,0.0121480375528335,-0.0075676362030208,-0.0052342801354825,0.0070645217783749,not_computed,not_separately_audited,True,,0.0002631665556691,0.000237679152633,,,,,0.0322608053684234,-0.0121480375528335,0.0070645217783749,0.0,0.0393253271467983,0.020112767815589898,0.01285505620762702,98.05680119581464,30.38116591928251,68.64723467862481,14.835575485799701,98.57997010463379,78.9237668161435,52.167414050822124
RAD51B,graph_connected,-0.0225164536386728,-0.0111041897907853,-0.007769311312586,-0.0225516054779291,0.0164973307400941,not_computed,not_separately_audited,True,,0.0001613581844139,0.0001365529024042,,,,,0.0225164536386728,0.0111041897907853,0.0164973307400941,0.0,0.0390137843787669,0.0336206434294581,0.01608777819201346,95.92675635276532,72.04783258594918,89.27503736920778,14.835575485799701,98.54260089686099,87.593423019432,68.34828101644244
SGMS1,graph_connected,-0.0236955657601356,-0.0468870960175991,0.0174099467694759,-0.0005975573440082,0.0325351953506469,not_computed,not_separately_audited,True,,0.0002349307469557,0.0002273550489917,,,,,0.0236955657601356,0.0468870960175991,0.0325351953506469,0.0174099467694759,0.0388208143413066,0.0705826617777347,0.02422507224837314,96.30044843049326,96.78624813153961,97.79521674140508,64.27503736920778,98.50523168908819,97.19730941704036,88.82660687593423
PI4KA,graph_connected,-0.0141711449250578,-0.0039072586223483,-0.0108419004827737,-0.0076457276009023,0.0243642032146453,not_computed,not_separately_audited,True,,0.0001939386420417,0.0002367954002693,,,,,0.0141711449250578,0.0039072586223483,0.0243642032146453,0.0,0.0385353481397031,0.0180784035474061,0.012186046969145478,90.13452914798206,60.351270553064275,95.44095665171899,14.835575485799701,98.4678624813154,77.05530642750374,48.16890881913303
PTPRE,graph_connected,-0.0179174933582544,-0.0017460450762882,-0.040797222405672,-0.0381448790431022,0.02001778408885,not_computed,not_separately_audited,True,,0.0001726418704492,0.0001181602419819,,,,,0.0179174933582544,0.0017460450762882,0.02001778408885,0.0,0.0379352774471044,0.0196635384345426,0.02372468479443336,93.12406576980567,56.80119581464873,93.01195814648729,14.835575485799701,98.4304932735426,78.51270553064275,88.04185351270553
STARD13,graph_connected,-0.0200614258646965,-0.0142872249707579,-0.0431319959461689,-0.0051408777944743,0.0170703306794166,not_computed,not_separately_audited,True,,0.0002063199499389,0.0002156714035663,,,,,0.0200614258646965,0.0142872249707579,0.0170703306794166,0.0,0.037131756544113104,0.0343486508354544,0.01993837105110284,94.73094170403587,76.04633781763826,90.05979073243647,14.835575485799701,98.39312406576981,87.78026905829597,80.68011958146487
LIMS1,graph_connected,-0.0112523762509226,-0.0076548997312784,0.0016126418486237,-0.0227655433118343,0.0272893775254488,not_computed,not_separately_audited,True,,0.000199259884539,0.0001906516699818,,,,,0.0112523762509226,0.0076548997312784,0.0272893775254488,0.0016126418486237,0.0369291119277477,0.018907275982201002,0.014114967733621562,86.58445440956652,67.2272047832586,96.30044843049326,34.267563527653216,98.35575485799701,77.84005979073244,58.96860986547085
ITFG1,graph_connected,-0.0237801801413297,-0.0296730063855648,0.0183866396546363,-0.0177173670381307,0.0313875712454319,not_computed,not_separately_audited,True,,0.0002200914896093,0.0002077318786177,,,,,0.0237801801413297,0.0296730063855648,0.0313875712454319,0.0183866396546363,0.036781111732125296,0.0534531865268945,0.02418895289301868,96.33781763826606,90.69506726457399,97.49626307922273,65.80717488789237,98.31838565022422,94.65620328849027,88.78923766816143
SESN3,graph_connected,-0.0031892710831016,0.0036739900242537,-0.0028739189729094,-0.0075409798882901,0.0335794873535633,not_computed,not_separately_audited,True,,0.0002449105959385,0.0002078126708511,,,,,0.0031892710831016,-0.0036739900242537,0.0335794873535633,0.0,0.036768758436664904,-0.00048471894115210013,0.01017152946442362,67.82511210762333,45.85201793721973,97.90732436472346,14.835575485799701,98.28101644245142,53.84902840059791,35.46337817638266
SARAF,graph_connected,-0.0216446965932846,-0.0189046002924442,-0.0275713484734296,-0.0070646251551806,0.0148863885551691,not_computed,not_separately_audited,True,,0.0002204425109084,0.0002156094269594,,,,,0.0216446965932846,0.0189046002924442,0.0148863885551691,0.0,0.0365310851484537,0.0405492968857288,0.01801433181390162,95.55306427503737,82.28699551569507,86.88340807174887,14.835575485799701,98.24364723467862,90.80717488789237,74.85052316890882
MSR1,graph_connected,-0.0219164546579122,-0.0243478659540414,0.0034766492899507,-0.0170010160654783,0.0180482119321823,not_computed,not_separately_audited,True,,0.0002407832071185,0.0002902473788708,,,,,0.0219164546579122,0.0243478659540414,0.0180482119321823,0.0034766492899507,0.036488017300143796,0.0462643206119536,0.01695803957991298,95.73991031390135,87.33183856502242,91.03139013452915,38.153961136023916,98.20627802690582,93.01195814648729,71.78624813153961
NCOA2,graph_connected,-0.0140862883999943,-0.0280519519001245,-0.0224576853215694,-0.0194439124315977,0.0223144069314003,not_computed,not_separately_audited,True,,0.000196430934011,0.0001660760608501,,,,,0.0140862883999943,0.0280519519001245,0.0223144069314003,0.0,0.0364006953313946,0.0421382403001188,0.02127084899693724,90.05979073243647,89.87294469357249,94.50672645739911,14.835575485799701,98.16890881913304,91.4424514200299,83.48281016442452
TMEM165,graph_connected,-0.0196092631667852,-0.0353697501122951,0.0020860955119132,-0.0081772655248641,0.0186698343604803,not_computed,not_separately_audited,True,,0.000176081128302,0.0002111390494974,,,,,0.0196092631667852,0.0353697501122951,0.0186698343604803,0.0020860955119132,0.0361930020153523,0.0549790132790803,0.016782441735267585,94.35724962630793,93.68460388639761,91.70403587443946,35.50074738415546,98.13153961136024,94.99252615844544,70.96412556053812
ADCY7,graph_connected,-0.0287529453635215,-0.0664294585585594,-0.0436671786010265,-0.0050060520879924,0.0073101641610264,not_computed,not_separately_audited,True,,0.0002258521708426,0.000277630315395,,,,,0.0287529453635215,0.0664294585585594,0.0073101641610264,0.0,0.0360631095245479,0.09518240392208091,0.030233159754425244,97.79521674140508,98.87892376681614,69.80568011958147,14.835575485799701,98.09417040358744,98.80418535127056,94.20777279521674
RBM5,graph_connected,0.0044620996341109,0.0231842622160911,0.0008359035709872,-0.01058448292315,0.0409910343587398,not_computed,not_separately_audited,True,,0.0003098158049397,0.0002899066894315,,,,,-0.0044620996341109,-0.0231842622160911,0.0409910343587398,0.0008359035709872,0.0356930311536417,-0.027646361850202,0.016011556540615802,40.28400597907324,14.349775784753364,98.84155455904335,31.950672645739907,98.05680119581464,20.47832585949178,68.04932735426009
ATRX,graph_connected,-0.0280780363827943,-0.0261609181761741,-0.0385034009814262,0.0052790134213864,0.0128368437290191,not_computed,not_separately_audited,True,,0.0001913044543471,0.0001540671073598,,,,,0.0280780363827943,0.0261609181761741,0.0128368437290191,0.0052790134213864,0.035635866690427,0.054238954558968405,0.02217164253816002,97.57100149476831,88.67713004484304,83.48281016442452,42.152466367713004,98.01943198804184,94.88041853512705,85.61285500747384
ZRANB2,graph_connected,-0.0243404507637023,-0.0422566570341587,0.0112629979848861,-0.0201273225247859,0.0221977494657039,not_computed,not_separately_audited,True,,0.0004216574889142,0.0003965684736613,,,,,0.0243404507637023,0.0422566570341587,0.0221977494657039,0.0112629979848861,0.0352752022445201,0.066597107797861,0.02403703555464738,96.59940209267563,95.66517189835575,94.39461883408072,53.21375186846039,97.98206278026906,96.78624813153961,88.49028400597906
SGK3,graph_connected,-0.0056858593598008,-0.0443786792457103,-0.0202749390155076,-0.0281755570322275,0.0293559338897466,not_computed,not_separately_audited,True,,0.0002381447557127,0.0002306945534655,,,,,0.0056858593598008,0.0443786792457103,0.0293559338897466,0.0,0.0350417932495474,0.0500645386055111,0.025574193708598557,74.55156950672645,96.1136023916293,96.898355754858,14.835575485799701,97.94469357249626,93.90881913303438,90.32137518684604
SNTG1,graph_connected,-0.0122007438912987,-0.0415829867124557,-0.0232594516128301,-0.0036232592537999,0.0227478053420782,not_computed,not_separately_audited,True,,0.0002008895098697,0.0001754636177793,,,,,0.0122007438912987,0.0415829867124557,0.0227478053420782,0.0,0.0349485492333769,0.0537837306037544,0.02068284936249252,88.15396113602392,95.47832585949178,94.69357249626307,14.835575485799701,97.90732436472346,94.69357249626307,82.43647234678625
VPS39,graph_connected,-0.0198840070515871,-0.0560947060585022,-0.0057921116240322,-0.0030644300859421,0.0150630623102188,not_computed,not_separately_audited,True,,0.0001763082400429,0.000130477870698,,,,,0.0198840070515871,0.0560947060585022,0.0150630623102188,0.0,0.0349470693618059,0.0759787131100893,0.01997966342605648,94.5814648729447,98.09417040358744,87.03288490284005,14.835575485799701,97.86995515695067,97.83258594917787,80.86696562032884
RASSF4,graph_connected,-0.0109789762645959,-0.0139458905905485,-0.0158548802137374,-0.0228575970977544,0.0236860606819391,not_computed,not_separately_audited,True,,0.000211549035157,0.0002433101617498,,,,,0.0109789762645959,0.0139458905905485,0.0236860606819391,0.0,0.034665036946535,0.0249248668551444,0.01746468096971506,86.02391629297459,75.52316890881914,95.21674140508222,14.835575485799701,97.83258594917787,82.69805680119582,73.35575485799701
CD58,graph_connected,-0.0107268514111638,-0.002535882871598,-0.0183421019464731,-0.0274993572384119,0.0238684639334678,not_computed,not_separately_audited,True,,0.0002192935353377,0.0001952854654518,,,,,0.0107268514111638,0.002535882871598,0.0238684639334678,0.0,0.0345953153446316,0.0132627342827618,0.01659453148022292,85.61285500747384,58.10911808669657,95.3288490284006,14.835575485799701,97.79521674140508,71.59940209267563,70.10463378176382
MAP4K3,graph_connected,-0.0172152891755104,0.0042097340337932,-0.0887834876775741,-0.0235737226903438,0.0173002295196056,not_computed,not_separately_audited,True,,0.0002577963459771,0.0003175781457684,,,,,0.0172152891755104,-0.0042097340337932,0.0173002295196056,0.0,0.034515518695116,0.013005555141717199,0.030216492619365425,92.82511210762333,44.61883408071749,90.35874439461884,14.835575485799701,97.75784753363229,71.30044843049326,94.17040358744396
CSMD3,graph_connected,-0.0161469243466854,0.0049460711888968,-0.0280917380005121,-0.0173473712056875,0.0179346352815628,not_computed,not_separately_audited,True,,0.0002178119757445,0.0001714939571684,,,,,0.0161469243466854,-0.0049460711888968,0.0179346352815628,0.0,0.0340815596282482,0.011200853157788598,0.01689334800466892,91.77877428998505,42.9745889387145,90.95665171898357,14.835575485799701,97.72047832585949,69.46935724962631,71.52466367713004
