gene,scope,AT8_delta,A_beta_6e10_delta,GFAP_delta,Iba1_delta,NeuN_delta,manifold_safety_status,prediction_safety_status,perturbation_success,failure_reason,mean_latent_shift,median_latent_shift,mean_nearest_real_cell_distance,p95_nearest_real_cell_distance,baseline_nn_p95_threshold,manifold_violation_fraction,tau_lowering_score,amyloid_lowering_score,neuron_preservation_score,gliosis_penalty,therapeutic_like_score,dual_pathology_lowering_score,broad_shift_score,tau_lowering_score_percentile,amyloid_lowering_score_percentile,neuron_preservation_score_percentile,gliosis_penalty_percentile,therapeutic_like_score_percentile,dual_pathology_lowering_score_percentile,broad_shift_score_percentile
SLAIN2,graph_connected,-0.0502972230315208,-0.08978071808815,-0.0208205915987491,0.0081464760005474,0.0663134679198265,not_computed,not_separately_audited,True,,0.0004982612445019,0.0003626054967753,,,,,0.0502972230315208,0.08978071808815,0.0663134679198265,0.0081464760005474,0.1084642149507999,0.1400779411196708,0.04707169532775877,99.43946188340807,99.2899850523169,99.2899850523169,48.13153961136024,100.0,99.36472346786248,97.98206278026906
PAFAH1B1,graph_connected,-0.3453229963779449,-0.5326715707778931,-0.0663058534264564,0.3944199681282043,0.1520563811063766,not_computed,not_separately_audited,True,,0.0023475009948015,0.0021745807025581,,,,,0.3453229963779449,0.5326715707778931,0.1520563811063766,0.3944199681282043,0.10295940935611719,0.877994567155838,0.2981553539633751,99.9626307922272,99.9626307922272,99.73841554559043,99.70104633781763,99.9626307922272,99.9626307922272,99.85052316890882
CD300A,graph_connected,-0.0442929491400718,-0.0460272319614887,-0.0518918633460998,-0.0205139853060245,0.0517757833003997,not_computed,not_separately_audited,True,,0.0002264045324409,0.0001802633341867,,,,,0.0442929491400718,0.0460272319614887,0.0517757833003997,0.0,0.0960687324404715,0.09032018110156051,0.0429003626108169,99.06576980568012,96.44992526158445,99.14050822122572,14.835575485799701,99.9252615844544,98.61733931240659,97.6457399103139
GSK3B,graph_connected,-0.0287191793322563,-0.0145166618749499,-0.0060518244281411,-0.0247154049575328,0.0655743107199668,not_computed,not_separately_audited,True,,0.0005678423331119,0.0004794063861481,,,,,0.0287191793322563,0.0145166618749499,0.0655743107199668,0.0,0.09429349005222311,0.0432358412072062,0.027915476262569384,97.75784753363229,76.34529147982063,99.2526158445441,14.835575485799701,99.88789237668162,91.96562032884903,92.48878923766816
FIP1L1,graph_connected,-0.0589387863874435,-0.0326757654547691,-0.0501308292150497,0.0199781395494937,0.0380350537598133,not_computed,not_separately_audited,True,,0.0004898353945463,0.0004024667432531,,,,,0.0589387863874435,0.0326757654547691,0.0380350537598133,0.0199781395494937,0.07699570059776309,0.0916145518422126,0.039951714873313865,99.62630792227205,92.48878923766816,98.4678624813154,67.82511210762333,99.85052316890882,98.65470852017937,97.15994020926756
ETS2,graph_connected,-0.0451901592314243,-0.0466397441923618,-0.0175995398312807,-0.0277375057339668,0.0317144989967346,not_computed,not_separately_audited,True,,0.0002481244737282,0.0002601033775135,,,,,0.0451901592314243,0.0466397441923618,0.0317144989967346,0.0,0.0769046582281589,0.0918299034237861,0.03377628959715363,99.10313901345292,96.59940209267563,97.60837070254111,14.835575485799701,99.81315396113602,98.69207772795217,95.51569506726457
ABL1,graph_connected,-0.0245732814073562,-0.0443089045584201,-0.0253014136105775,-0.0015862684231251,0.0512115322053432,not_computed,not_separately_audited,True,,0.0002570387150626,0.0002730342675931,,,,,0.0245732814073562,0.0443089045584201,0.0512115322053432,0.0,0.0757848136126994,0.0688821859657763,0.029396280040964423,96.67414050822123,96.0762331838565,99.10313901345292,14.835575485799701,99.77578475336323,97.08520179372198,93.68460388639761
SNX13,graph_connected,-0.0364673919975757,0.0114034973084926,-0.0256079602986574,0.0345992892980575,0.0674827620387077,not_computed,not_separately_audited,True,,0.0002952516078948,0.000270175281912,,,,,0.0364673919975757,-0.0114034973084926,0.0674827620387077,0.0345992892980575,0.06935086473822591,0.0250638946890831,0.03511218018829818,98.61733931240659,31.390134529147986,99.32735426008968,82.8101644245142,99.73841554559043,82.7727952167414,96.22571001494768
KATNBL1,graph_connected,-0.049510046839714,0.0827227085828781,-0.084375575184822,0.0400037243962287,0.0578928850591182,not_computed,not_separately_audited,True,,0.0006949670496396,0.0007210914045572,,,,,0.049510046839714,-0.0827227085828781,0.0578928850591182,0.0400037243962287,0.0673992075026035,-0.0332126617431641,0.0629009880125522,99.40209267563527,0.336322869955157,99.2152466367713,86.17339312406577,99.70104633781763,15.657698056801195,98.76681614349776
ERC1,graph_connected,-0.0553503520786762,-0.1159240826964378,-0.0467049442231655,-0.1188617423176765,0.0117730628699064,not_computed,not_separately_audited,True,,0.0017264004563912,0.0014636960113421,,,,,0.0553503520786762,0.1159240826964378,0.0117730628699064,0.0,0.06712341494858261,0.171274434775114,0.06972283683717248,99.58893871449925,99.47683109118086,81.68908819133034,14.835575485799701,99.66367713004485,99.51420029895365,98.91629297458894
UGCG,graph_connected,-0.0335692651569843,-0.0371009074151515,0.003325856057927,0.0029403346125036,0.0393793135881423,not_computed,not_separately_audited,True,,0.0002703827631194,0.0002998388663399,,,,,0.0335692651569843,0.0371009074151515,0.0393793135881423,0.0062661906704305995,0.066682388074696,0.0706701725721358,0.02326313536614174,98.20627802690582,94.28251121076234,98.61733931240659,43.908819133034385,99.62630792227205,97.27204783258595,87.4439461883408
CPQ,graph_connected,-0.0309720411896705,-0.0298676919192075,-0.0863087102770805,-0.0140433376654982,0.0340118482708931,not_computed,not_separately_audited,True,,0.00029947218718,0.0003629336424637,,,,,0.0309720411896705,0.0298676919192075,0.0340118482708931,0.0,0.0649838894605636,0.060839733108878,0.03904072586446996,97.90732436472346,90.91928251121077,98.01943198804184,14.835575485799701,99.58893871449925,95.85201793721974,96.97309417040358
KIF2A,graph_connected,-0.0466973073780536,-0.0854994431138038,-0.0120868198573589,0.0148590886965394,0.0274982098489999,not_computed,not_separately_audited,True,,0.0004863318463321,0.0003967833763454,,,,,0.0466973073780536,0.0854994431138038,0.0274982098489999,0.0148590886965394,0.0593364285305141,0.1321967504918574,0.03732817377895112,99.2526158445441,99.2152466367713,96.41255605381166,59.64125560538116,99.55156950672645,99.2899850523169,96.74887892376681
VPS50,graph_connected,-0.0465402007102966,-0.0298723205924034,-0.0333590805530548,0.0201267227530479,0.029842622578144,not_computed,not_separately_audited,True,,0.0003488718066364,0.000306627160171,,,,,0.0465402007102966,0.0298723205924034,0.029842622578144,0.0201267227530479,0.056256100535392706,0.0764125213027,0.031948189437389335,99.2152466367713,90.95665171898357,97.04783258594918,68.01195814648729,99.51420029895365,97.86995515695067,94.69357249626307
BRAF,graph_connected,0.3065775632858276,0.1235083043575286,-0.0254609398543834,0.0176308583468198,0.3802293837070465,not_computed,not_separately_audited,True,,0.0035299169830977,0.0038803373463451,,,,,-0.3065775632858276,-0.1235083043575286,0.3802293837070465,0.0176308583468198,0.056020962074399126,-0.4300858676433562,0.17068140991032119,0.03736920777279522,0.14947683109118087,99.9626307922272,64.57399103139014,99.47683109118086,0.07473841554559044,99.66367713004485
SERGEF,graph_connected,-0.037204809486866,-0.0368736647069454,0.0190066862851381,-0.0075974171049892,0.0360333286225795,not_computed,not_separately_audited,True,,0.0002859822998289,0.0002542614820413,,,,,0.037204809486866,0.0368736647069454,0.0360333286225795,0.0190066862851381,0.054231451824307386,0.07407847419381139,0.027343181241303638,98.72944693572497,94.20777279521674,98.28101644245142,66.29297458893872,99.43946188340807,97.60837070254111,92.152466367713
SCYL2,graph_connected,-0.021201092749834,-0.0572249814867973,0.0063791568391025,0.0016127355629578,0.040820937603712,not_computed,not_separately_audited,True,,0.0003531600523274,0.0002622520551085,,,,,0.021201092749834,0.0572249814867973,0.040820937603712,0.0079918924020603,0.0540301379514857,0.0784260742366313,0.025447780848480716,95.21674140508222,98.28101644245142,98.76681614349776,47.60837070254111,99.40209267563527,97.90732436472346,90.17189835575485
MIGA1,graph_connected,-0.04350271448493,-0.0494542978703975,-0.0581871531903743,-0.0105301821604371,0.0100281396880745,not_computed,not_separately_audited,True,,0.0003112817066721,0.0002398464712314,,,,,0.04350271448493,0.0494542978703975,0.0100281396880745,0.0,0.053530854173004495,0.0929570123553275,0.03434049747884268,99.02840059790734,97.38415545590433,77.65321375186845,14.835575485799701,99.36472346786248,98.72944693572497,95.77727952167415
PARP4,graph_connected,-0.0264616794884204,-0.0353870093822479,-0.037769217044115,-0.0053391642868518,0.0243976786732673,not_computed,not_separately_audited,True,,0.0003034422406926,0.0003513389674481,,,,,0.0264616794884204,0.0353870093822479,0.0243976786732673,0.0,0.0508593581616877,0.0618486888706683,0.02587094977498048,97.23467862481316,93.72197309417041,95.51569506726457,14.835575485799701,99.32735426008968,96.00149476831092,90.69506726457399
SLC38A9,graph_connected,-0.0341691374778747,-0.0269138254225254,-0.0368749313056468,-0.0065492540597915,0.0160626620054245,not_computed,not_separately_audited,True,,0.0001916064502438,0.0001784351770766,,,,,0.0341691374778747,0.0269138254225254,0.0160626620054245,0.0,0.0502317994832992,0.0610829629004001,0.024113962054252577,98.35575485799701,89.0881913303438,88.67713004484304,14.835575485799701,99.2899850523169,95.88938714499253,88.71449925261584
