representation,target,n_donors,pathology_tertile_silhouette,knn_spearman,knn_r2,knn_mae
expression_pca_128,percent AT8 positive area_Grey matter,84,-0.007514392394774301,0.2186493874658297,-0.010721592182692197,1.015285611152649
expression_pca_128,percent NeuN positive area_Grey matter,84,-0.0038462841981737553,0.329776247848537,0.10248577115072321,1.4595979452133179
expression_pca_128,percent 6e10 positive area_Grey matter,84,-0.005722842671352171,0.0989774222942189,-0.35730082960195686,2.65954852104187
expression_pca_128,percent GFAP positive area_Grey matter,84,-0.016581279858727434,-0.01210893996152678,-0.12774431815845344,3.4605205059051514
expression_pca_128,percent Iba1 positive area_Grey matter,84,-0.011620054838832038,-0.04355573554723094,-0.171487625549416,1.7882497310638428
jepa_latent_128,percent AT8 positive area_Grey matter,84,-0.06391475960523751,-0.03679254834463906,-0.20435921898824438,1.1747735738754272
jepa_latent_128,percent NeuN positive area_Grey matter,84,-0.05031057130617542,0.29502885491546016,0.024386287087673764,1.5376982688903809
jepa_latent_128,percent 6e10 positive area_Grey matter,84,-0.04777480091028343,0.13935405487496202,-0.1477073539193059,1.970117449760437
jepa_latent_128,percent GFAP positive area_Grey matter,84,-0.0702924481055639,0.2201073200364483,-0.14563150908991496,3.6183764934539795
jepa_latent_128,percent Iba1 positive area_Grey matter,84,-0.06160627136616189,0.05037966994026526,-0.23074873878897684,1.7738416194915771
