model_variant,latent_dim,seed,mean_pooled_oof_spearman,delta_vs_stage27c_locked,delta_vs_stage55_best
negative_control_programming_plus_module_shuffled_compressed,8,107,0.31973676217474944,-0.006965677837400042,-0.0062934089298369855
negative_control_programming_plus_state_shuffled_compressed,8,107,0.31915763895919813,-0.007544801052951355,-0.006872532145388299
