condition,n_cells,mean_raw_score,mean_graph_score,mean_residual_score
context_grn_aux,82486,1.3782561613075677e-17,-1.1685028017585723e-16,-1.012156868460245e-17
no_graph_raw,82486,1.3782561613075677e-17,0.0,1.3782561613075677e-17
string_graph_aux,82486,1.3782561613075677e-17,4.565473534331318e-17,2.131989999522644e-17
target_shuffled_grn_aux,82486,1.3782561613075677e-17,9.738241189738784e-17,3.29920068612999e-17
gene_label_permuted_grn_aux,82486,1.3782561613075677e-17,-1.184438888623691e-16,-1.1198331310623987e-17
