comparison,mean_delta,ci_lower_2p5,ci_upper_97p5,bootstrap_iterations,bootstrap_level
context_grn_vs_stage27c,-0.002696433329958516,-0.017542978637238027,0.008123114305963297,1000,seed_summary
context_grn_vs_no_graph,0.01262420006074719,0.0013672167662245327,0.022092538220107316,1000,seed_summary
context_grn_vs_string,-0.007796564138908567,-0.02567812088690892,0.005560392831831519,1000,seed_summary
context_grn_vs_target_shuffled,0.0,0.0,0.0,1000,seed_summary
context_grn_vs_gene_label_permuted,0.0,0.0,0.0,1000,seed_summary
