stage,path,best_model_variant,best_score,delta_vs_stage27c,interpretation
Stage53,results/tables/stage53_branch_comparison_v1.csv,all_branches_jepa,0.318906550572036,-0.0077958894401135015,did_not_exceed_stage27c
Stage54,results/tables/stage54_branch_comparison_v1.csv,programming_plus_state_specific_module_programming,0.3250906145590767,-0.0016118254530728127,did_not_exceed_stage27c
Stage55,results/tables/stage55_branch_comparison_v1.csv,programming_plus_state_module_programming,0.3260301711045864,-0.0006722689075631116,did_not_exceed_stage27c
Stage56,results/tables/stage56_branch_comparison_v1.csv,nested_target_gated_programming_vs_state_module,0.3225068340589248,-0.0041956059532247125,did_not_exceed_stage27c
Stage57,results/tables/stage57_branch_comparison_v1.csv,programming_plus_repaired_state_modules_full,0.3256697377746279,-0.00103270223752161,did_not_exceed_stage27c
Stage60,results/tables/stage60_branch_comparison_v1.csv,programming_plus_gene_preserved_state_modules,0.3245884377847525,-0.002114002227396994,did_not_exceed_stage27c
Stage61,results/tables/stage61_branch_comparison_v1.csv,mtg_programming_plus_dlpfc_state_modules,0.3433239568682606,0.01662151685611113,exceeded_stage27c_in_stage_specific_context
Stage62,results/tables/stage62_branch_comparison_v1.csv,negative_control_state_label_shuffled_within_donor,0.2813907641819034,-0.04531167583024609,did_not_exceed_stage27c
