dataset,embedding_space,external_donor_id,condition,n_cells,predicted_AT8/pTau_raw_scale,predicted_AT8/pTau_model_scale,predicted_A beta/6e10_raw_scale,predicted_A beta/6e10_model_scale,predicted_GFAP_raw_scale,predicted_GFAP_model_scale,predicted_Iba1_raw_scale,predicted_Iba1_model_scale,predicted_NeuN_raw_scale,predicted_NeuN_model_scale,n_cells_before_filter,n_cells_after_filter,n_external_groups,n_jepa_genes,n_matched_genes,gene_overlap_fraction
GSE138852_Grubman_Leng,projector,AD1_AD2,AD,21,-1.0,-18.28721,-1.0,-23.435251,-1.0,-29.158768,-0.9999791,-10.773954,7419900700000000.0,36.542942,13214,449,6,2957,2626,0.8880622252282719
GSE138852_Grubman_Leng,projector,AD3_AD4,AD,87,-0.99994224,-9.759023,-0.99989575,-9.168944,-1.0,-26.15275,-0.9993921,-7.4055195,1216359300000.0,27.826883,13214,449,6,2957,2626,0.8880622252282719
GSE138852_Grubman_Leng,projector,AD5_AD6,AD,64,-1.0,-17.933428,-1.0,-23.025293,-1.0,-28.441193,-0.99997604,-10.6394415,3213934000000000.0,35.706272,13214,449,6,2957,2626,0.8880622252282719
GSE138852_Grubman_Leng,projector,Ct1_Ct2,Control,54,-1.0,-17.990503,-1.0,-23.050661,-1.0,-28.680853,-0.99997693,-10.678298,3898470400000000.0,35.89936,13214,449,6,2957,2626,0.8880622252282719
GSE138852_Grubman_Leng,projector,Ct3_Ct4,Control,142,-0.9994453,-7.497139,-0.9950966,-5.3178267,-1.0,-25.250431,-0.9984511,-6.470237,100683620000.0,25.335249,13214,449,6,2957,2626,0.8880622252282719
GSE138852_Grubman_Leng,projector,Ct5_Ct6,Control,81,-0.99999964,-14.928824,-1.0,-17.629223,-1.0,-28.354134,-0.99992293,-9.470766,274761720000000.0,33.246925,13214,449,6,2957,2626,0.8880622252282719
