dataset,cell_index,donor_id,state_label,dominant_module,disease_program_score,dam_lipid_trem2_apoe,lysosomal_endolysosomal,complement_phagocytosis,antigen_presentation,interferon_inflammatory,oxidative_stress_gene_preserved
DLPFC,40944,H20.33.004,Micro-PVM_3-SEAAD,antigen_presentation,4.7704201464211256,1.870013952255249,2.4468400478363037,2.1659398078918457,3.638551712036133,0.2579793930053711,1.3951717615127563
DLPFC,26377,H20.33.033,Micro-PVM_3-SEAAD,antigen_presentation,4.533193147420588,2.020216941833496,2.2678027153015137,2.2165586948394775,2.5432138442993164,0.0,1.5317533016204834
DLPFC,19581,H21.33.044,Micro-PVM_3-SEAAD,antigen_presentation,4.345097396228969,1.6984939575195312,2.406039237976074,2.561159133911133,3.5235588550567627,1.1079941987991333,0.9421292543411255
DLPFC,3561,H21.33.044,Micro-PVM_2,antigen_presentation,4.246498212212818,1.8774477243423462,2.052097797393799,2.4612176418304443,2.907447338104248,0.7171740531921387,1.2002288103103638
DLPFC,26331,H21.33.044,Micro-PVM_2,antigen_presentation,4.230549678634503,1.4262281656265259,1.6563284397125244,2.6348187923431396,3.8644700050354004,0.9328804016113281,1.302969217300415
DLPFC,23254,H21.33.008,Micro-PVM_3-SEAAD,antigen_presentation,3.9273749467745183,1.9306087493896484,2.222066879272461,1.5853980779647827,2.598198890686035,0.13331997394561768,1.2656869888305664
DLPFC,6437,H21.33.008,Micro-PVM_3-SEAAD,lysosomal_endolysosomal,3.8960896029631265,2.0350210666656494,2.336517810821533,1.7781976461410522,2.1206555366516113,0.4666266441345215,1.1747814416885376
DLPFC,37426,H21.33.044,Micro-PVM_3-SEAAD,antigen_presentation,3.8668604167157774,1.3312398195266724,2.3268423080444336,2.3505566120147705,2.6704611778259277,0.6090944409370422,1.181143879890442
DLPFC,25010,H20.33.017,Micro-PVM_2,dam_lipid_trem2_apoe,3.842621136613398,2.6534969806671143,1.555713415145874,2.0791566371917725,2.1876564025878906,0.0,0.950682520866394
DLPFC,15681,H20.33.017,Micro-PVM_2,dam_lipid_trem2_apoe,3.8283209850373447,2.3874454498291016,1.869559645652771,1.621262788772583,1.6535327434539795,0.48709428310394287,1.3751829862594604
DLPFC,20491,H21.33.020,Micro-PVM_3-SEAAD,antigen_presentation,3.8209416273878345,1.828924298286438,2.1887218952178955,1.879092812538147,2.7186033725738525,0.312463641166687,1.0570964813232422
DLPFC,33288,H21.33.044,Micro-PVM_3-SEAAD,lysosomal_endolysosomal,3.801794885410975,1.98362398147583,2.3148131370544434,2.185864210128784,2.016603469848633,0.1480131447315216,0.9650243520736694
DLPFC,32270,H21.33.045,Micro-PVM_2,antigen_presentation,3.7648890237858836,1.8171539306640625,2.430689573287964,2.3548989295959473,3.0459704399108887,0.42079439759254456,0.5024204254150391
DLPFC,3253,H20.33.037,Micro-PVM_2,dam_lipid_trem2_apoe,3.7614085010107714,2.572612762451172,1.895190715789795,2.359954595565796,1.5393130779266357,0.0,0.83208167552948
DLPFC,3635,H21.33.020,Micro-PVM_3-SEAAD,antigen_presentation,3.750042320319406,1.5459656715393066,2.3015596866607666,1.9275877475738525,2.5297207832336426,0.15907108783721924,1.172910213470459
DLPFC,2098,H21.33.044,Micro-PVM_2,antigen_presentation,3.733063760567861,1.1887319087982178,2.264573335647583,2.746182441711426,3.240590810775757,0.19075657427310944,0.7684308290481567
DLPFC,4293,H20.33.040,Micro-PVM_3-SEAAD,antigen_presentation,3.594747040008252,1.854506492614746,2.2430832386016846,2.4190077781677246,2.8141753673553467,0.23102322220802307,0.46204644441604614
DLPFC,7895,H21.33.020,Micro-PVM_3-SEAAD,lysosomal_endolysosomal,3.5940860262516745,1.6579231023788452,2.0526034832000732,1.8007705211639404,1.8582754135131836,0.4637797176837921,1.3911328315734863
DLPFC,41875,H20.33.033,Micro-PVM_2,antigen_presentation,3.580750081131079,1.5344384908676147,1.6426547765731812,1.7892347574234009,2.9681596755981445,0.39894214272499084,1.2935564517974854
DLPFC,42297,H21.33.040,Micro-PVM_2,antigen_presentation,3.5660985550038333,1.4561529159545898,2.1988630294799805,1.875016212463379,2.3349485397338867,0.5076732635498047,1.204641580581665
DLPFC,36851,H20.33.033,Micro-PVM_2,lysosomal_endolysosomal,3.5553075256351176,2.2818007469177246,2.59032940864563,1.8133518695831299,2.08420467376709,0.37091925740242004,0.47159814834594727
DLPFC,37193,H21.33.044,Micro-PVM_2,antigen_presentation,3.5094317526921097,1.4345791339874268,1.9398890733718872,2.6164698600769043,3.012491464614868,0.423869788646698,0.6912522315979004
DLPFC,29550,H21.33.044,Micro-PVM_2,antigen_presentation,3.5086619533664254,1.450026512145996,1.686858057975769,2.4843249320983887,2.9646451473236084,0.3585330843925476,0.9132403135299683
DLPFC,11066,H21.33.036,Micro-PVM_3-SEAAD,antigen_presentation,3.491108842273671,1.8035633563995361,1.9500925540924072,1.6872055530548096,2.7668957710266113,0.30958500504493713,0.9410291910171509
DLPFC,23598,H20.33.028,Micro-PVM_3-SEAAD,antigen_presentation,3.4836850624600033,1.5197076797485352,2.1605405807495117,1.785569429397583,2.7340292930603027,0.25414109230041504,0.982854425907135
DLPFC,27326,H21.33.044,Micro-PVM_2,complement_phagocytosis,3.4732493134520097,1.8634204864501953,1.7338593006134033,2.211441993713379,2.142915725708008,0.32729893922805786,0.9887871742248535
