dataset_id,dataset_name,source,collection_name,registry_role,normalized_role,approved_for_pretraining,clean_holdout_protected,stress_test_only,plausibility_only,internal_dataset,model_selection_excluded,already_used,role_exclusion_reason
SEA-AD_internal,SEA-AD Microglia-PVM internal benchmark,SEA-AD,SEA-AD,main_internal_benchmark,excluded_internal,False,False,False,False,True,False,True,not_allowed_for_pretraining; already_used_without_pretraining_approval; internal_sea_ad_excluded
GSE157827,Candidate public external brain snRNA/scRNA dataset,GEO,,clean_external_holdout_candidate,protected_clean_holdout,False,True,False,False,False,False,False,not_allowed_for_pretraining; clean_holdout_protected
GSE147528,Candidate public external brain snRNA/scRNA dataset,GEO,,clean_external_holdout_candidate,protected_clean_holdout,False,True,False,False,False,False,False,not_allowed_for_pretraining; clean_holdout_protected
GSE203206,Bulk donor/sample-level external stress test,GEO,,external_stress_test,protected_clean_holdout,False,True,True,False,False,False,False,not_allowed_for_pretraining; clean_holdout_protected; stress_test_only
GSE98969,Mouse DAM/microglia auxiliary candidate,GEO,,external_training_pretraining_pool,approved_self_supervised_pretraining,True,False,False,False,False,False,False,none
GSE181279,Peripheral immune plausibility/auxiliary dataset,GEO,,auxiliary_training_pool,excluded_plausibility_only,False,False,False,True,False,False,False,not_allowed_for_pretraining; plausibility_only
GSE174367,Morabito prefrontal cortex snRNA-seq,GEO,,already_used_plausibility_only,excluded_plausibility_only,False,False,False,True,False,False,True,not_allowed_for_pretraining; already_used_without_pretraining_approval; plausibility_only
GSE138852,Grubman/Leng entorhinal cortex,GEO,,already_used_plausibility_only,excluded_plausibility_only,False,False,False,True,False,False,True,not_allowed_for_pretraining; already_used_without_pretraining_approval; plausibility_only
GSE127893,Mouse subseries review required,GEO,,do_not_use_until_reviewed,not_approved_for_pretraining,False,False,False,False,False,False,False,not_allowed_for_pretraining
37a17b78-4864-4a42-b67b-31c00962795a,MSSM_Cohort,CELLxGENE,Population-scale cross-disorder atlas of the human prefrontal cortex at single-cell resolution,clean_external_holdout_candidate,protected_clean_holdout,False,True,False,False,False,False,False,not_allowed_for_pretraining; clean_holdout_protected
