candidate_id,mean_pooled_oof_spearman,min_target_spearman,n_targets,delta_vs_stage27c,delta_vs_stage41c
cellxgene_composition_only,0.11355674800040498,-0.06973777462792347,5,-0.2131456920117445,-0.25453072795383214
latent_plus_cellxgene_composition,0.1851817353447403,-0.0329452262832844,5,-0.14152070466740918,-0.18290574060949683
latent_plus_mri_engineered,0.22288954135871214,0.08427660220714793,5,-0.10381289865343735,-0.145197934595525
latent_plus_safe_metadata_plus_cellxgene_composition,0.18678951098511692,-0.03420066821909487,5,-0.13991292902703256,-0.1812979649691202
latent_plus_safe_metadata_plus_cellxgene_plus_mri_engineered,0.3121433633694442,0.13336033208464107,5,-0.014559076642705282,-0.05594411258479293
latent_plus_safe_metadata_plus_mri_engineered,0.2771286827984206,0.09440113394755494,5,-0.049573757213728864,-0.09095879315581651
mri_engineered_only,0.19142240987525477,-0.01342526501298953,5,-0.1352800301368947,-0.17666506607898236
stage27c_reference,0.3267024400121495,0.016077756403766325,5,0.0,-0.041385035942087645
stage39e_reference,0.35808116279206914,0.056974172849842526,5,0.031378722779919654,-0.01000631316216799
stage41b_reference,0.3394229016907968,0.03239850156930242,5,0.012720461678647321,-0.028664574263440323
