checkpoint_epoch,target,ridge_spearman,jepa_knn_spearman,pca_knn_spearman,jepa_minus_pca_knn_spearman
005,percent AT8 positive area_Grey matter,0.3164523640781614,-0.009355067328136,0.2186493874658297,-0.2280044547939657
005,percent NeuN positive area_Grey matter,0.4572441024602612,0.33184165232358,0.329776247848537,0.002065404475042998
005,percent 6e10 positive area_Grey matter,-0.0880226789510985,0.1215551280753265,0.0989774222942189,0.0225777057811076
005,percent GFAP positive area_Grey matter,0.2780398906550572,-0.0663156828996658,-0.0121089399615267,-0.0542067429381391
005,percent Iba1 positive area_Grey matter,0.2088690898045965,-0.0895211096486787,-0.0435557355472309,-0.0459653741014478
010,percent AT8 positive area_Grey matter,0.2561506530322973,0.0311228105700111,0.2186493874658297,-0.18752657689581861
010,percent NeuN positive area_Grey matter,0.2499746886706489,0.2804495292092741,0.329776247848537,-0.04932671863926291
010,percent 6e10 positive area_Grey matter,-0.2129391515642401,0.2059734737268401,0.0989774222942189,0.10699605143262121
010,percent GFAP positive area_Grey matter,0.2351928723296547,-0.1496203300597347,-0.0121089399615267,-0.137511390098208
010,percent Iba1 positive area_Grey matter,0.2240761364786878,-0.120522425837805,-0.0435557355472309,-0.0769666902905741
015,percent AT8 positive area_Grey matter,0.2428672673888832,0.0325199959501873,0.2186493874658297,-0.1861293915156424
015,percent NeuN positive area_Grey matter,0.2719246734838513,0.2749417839424926,0.329776247848537,-0.054834463906044406
015,percent 6e10 positive area_Grey matter,-0.199129290270325,0.2073301609800546,0.0989774222942189,0.10835273868583571
015,percent GFAP positive area_Grey matter,0.2421585501670548,-0.1961729270021261,-0.0121089399615267,-0.1840639870405994
015,percent Iba1 positive area_Grey matter,0.2160980054672471,-0.112139313556748,-0.0435557355472309,-0.0685835780095171
020,percent AT8 positive area_Grey matter,0.2599979750936519,0.0527285613040396,0.2186493874658297,-0.1659208261617901
020,percent NeuN positive area_Grey matter,0.3152779183962741,0.2685228308190746,0.329776247848537,-0.06125341702946241
020,percent 6e10 positive area_Grey matter,-0.0967297762478485,0.15895514832439,0.0989774222942189,0.05997772603017111
020,percent GFAP positive area_Grey matter,0.2533967803989065,-0.1499038169484661,-0.0121089399615267,-0.1377948769869394
020,percent Iba1 positive area_Grey matter,0.2013566872532145,0.0128581553103168,-0.0435557355472309,0.056413890857547694
