dataset,feature,metric,target,spearman,n_donors
DLPFC,complement_phagocytosis,top_10pct_mean,AT8,0.08260665729020158,80
DLPFC,complement_phagocytosis,top_10pct_mean,6e10/A_beta,0.16092358180965777,80
DLPFC,complement_phagocytosis,top_10pct_mean,GFAP,0.18096577590248475,80
DLPFC,complement_phagocytosis,top_10pct_mean,Iba1,0.13532583216127522,80
DLPFC,complement_phagocytosis,top_10pct_mean,NeuN,-0.13263009845288326,80
DLPFC,complement_phagocytosis,top_5pct_mean,AT8,0.08415377402719175,80
DLPFC,complement_phagocytosis,top_5pct_mean,6e10/A_beta,0.15654008438818567,80
DLPFC,complement_phagocytosis,top_5pct_mean,GFAP,0.20752461322081578,80
DLPFC,complement_phagocytosis,top_5pct_mean,Iba1,0.15091420534458508,80
DLPFC,complement_phagocytosis,top_5pct_mean,NeuN,-0.15110173464603846,80
DLPFC,complement_phagocytosis,top_1pct_mean,AT8,0.04549929676511955,80
DLPFC,complement_phagocytosis,top_1pct_mean,6e10/A_beta,0.11448663853727145,80
DLPFC,complement_phagocytosis,top_1pct_mean,GFAP,0.23190342240975154,80
DLPFC,complement_phagocytosis,top_1pct_mean,Iba1,0.15447726207219878,80
DLPFC,complement_phagocytosis,top_1pct_mean,NeuN,-0.1657524613220816,80
DLPFC,dam_lipid_trem2_apoe,mean,AT8,0.20239099859353027,80
DLPFC,dam_lipid_trem2_apoe,mean,6e10/A_beta,0.2510079699953118,80
DLPFC,dam_lipid_trem2_apoe,mean,GFAP,0.12318330989217065,80
DLPFC,dam_lipid_trem2_apoe,mean,Iba1,0.22076887013595875,80
DLPFC,dam_lipid_trem2_apoe,mean,NeuN,-0.07451945616502578,80
DLPFC,dam_lipid_trem2_apoe,variance,AT8,0.2819034224097515,80
DLPFC,dam_lipid_trem2_apoe,variance,6e10/A_beta,0.2980309423347398,80
DLPFC,dam_lipid_trem2_apoe,variance,GFAP,0.18626347866854195,80
DLPFC,dam_lipid_trem2_apoe,variance,Iba1,0.19566338490389126,80
DLPFC,dam_lipid_trem2_apoe,variance,NeuN,-0.2571729957805908,80
DLPFC,dam_lipid_trem2_apoe,q90,AT8,0.21441631504922645,80
DLPFC,dam_lipid_trem2_apoe,q90,6e10/A_beta,0.289381153305204,80
DLPFC,dam_lipid_trem2_apoe,q90,GFAP,0.17681669010782936,80
DLPFC,dam_lipid_trem2_apoe,q90,Iba1,0.1915377402719175,80
DLPFC,dam_lipid_trem2_apoe,q90,NeuN,-0.1404594467885607,80
DLPFC,dam_lipid_trem2_apoe,q95,AT8,0.2526488513830286,80
DLPFC,dam_lipid_trem2_apoe,q95,6e10/A_beta,0.3171120487576184,80
DLPFC,dam_lipid_trem2_apoe,q95,GFAP,0.20112517580872014,80
DLPFC,dam_lipid_trem2_apoe,q95,Iba1,0.22646507266760435,80
DLPFC,dam_lipid_trem2_apoe,q95,NeuN,-0.16228316924519456,80
DLPFC,dam_lipid_trem2_apoe,q99,AT8,0.3185419596812002,80
DLPFC,dam_lipid_trem2_apoe,q99,6e10/A_beta,0.273581809657759,80
DLPFC,dam_lipid_trem2_apoe,q99,GFAP,0.22416783872480076,80
DLPFC,dam_lipid_trem2_apoe,q99,Iba1,0.2527894983591186,80
DLPFC,dam_lipid_trem2_apoe,q99,NeuN,-0.25904828879512426,80
DLPFC,dam_lipid_trem2_apoe,fraction_high_global_q95,AT8,0.26209563994374124,80
DLPFC,dam_lipid_trem2_apoe,fraction_high_global_q95,6e10/A_beta,0.3147210501640882,80
DLPFC,dam_lipid_trem2_apoe,fraction_high_global_q95,GFAP,0.21101734646038445,80
DLPFC,dam_lipid_trem2_apoe,fraction_high_global_q95,Iba1,0.20225035161744023,80
DLPFC,dam_lipid_trem2_apoe,fraction_high_global_q95,NeuN,-0.1838959212376934,80
DLPFC,dam_lipid_trem2_apoe,top_10pct_mean,AT8,0.28094233473980307,80
DLPFC,dam_lipid_trem2_apoe,top_10pct_mean,6e10/A_beta,0.31300984528832637,80
DLPFC,dam_lipid_trem2_apoe,top_10pct_mean,GFAP,0.20794655414908578,80
DLPFC,dam_lipid_trem2_apoe,top_10pct_mean,Iba1,0.21776840131270514,80
DLPFC,dam_lipid_trem2_apoe,top_10pct_mean,NeuN,-0.1952648851383029,80
DLPFC,dam_lipid_trem2_apoe,top_5pct_mean,AT8,0.3114861697140178,80
DLPFC,dam_lipid_trem2_apoe,top_5pct_mean,6e10/A_beta,0.30893108298171595,80
DLPFC,dam_lipid_trem2_apoe,top_5pct_mean,GFAP,0.21739334270979843,80
DLPFC,dam_lipid_trem2_apoe,top_5pct_mean,Iba1,0.22817627754336614,80
DLPFC,dam_lipid_trem2_apoe,top_5pct_mean,NeuN,-0.23724800750117206,80
DLPFC,dam_lipid_trem2_apoe,top_1pct_mean,AT8,0.3617440225035162,80
DLPFC,dam_lipid_trem2_apoe,top_1pct_mean,6e10/A_beta,0.2916080637599625,80
DLPFC,dam_lipid_trem2_apoe,top_1pct_mean,GFAP,0.2323956868260666,80
DLPFC,dam_lipid_trem2_apoe,top_1pct_mean,Iba1,0.226418190342241,80
DLPFC,dam_lipid_trem2_apoe,top_1pct_mean,NeuN,-0.27641819034224097,80
DLPFC,disease_program_score,mean,AT8,0.1112048757618378,80
DLPFC,disease_program_score,mean,6e10/A_beta,0.18281762775433663,80
DLPFC,disease_program_score,mean,GFAP,0.1274027191748711,80
DLPFC,disease_program_score,mean,Iba1,0.23091889357712142,80
DLPFC,disease_program_score,mean,NeuN,-0.04578059071729958,80
DLPFC,disease_program_score,variance,AT8,0.2049929676511955,80
DLPFC,disease_program_score,variance,6e10/A_beta,0.20768870135958745,80
DLPFC,disease_program_score,variance,GFAP,0.18703703703703706,80
DLPFC,disease_program_score,variance,Iba1,0.14149085794655417,80
DLPFC,disease_program_score,variance,NeuN,-0.38736521331458046,80
DLPFC,disease_program_score,q90,AT8,0.12719174871073605,80
DLPFC,disease_program_score,q90,6e10/A_beta,0.18424753867791843,80
DLPFC,disease_program_score,q90,GFAP,0.15714955461790905,80
DLPFC,disease_program_score,q90,Iba1,0.1704172526957337,80
DLPFC,disease_program_score,q90,NeuN,-0.19641350210970465,80
DLPFC,disease_program_score,q95,AT8,0.19350679793717768,80
DLPFC,disease_program_score,q95,6e10/A_beta,0.22231598687294893,80
DLPFC,disease_program_score,q95,GFAP,0.2082747304266292,80
DLPFC,disease_program_score,q95,Iba1,0.1770979840600094,80
DLPFC,disease_program_score,q95,NeuN,-0.259704641350211,80
DLPFC,disease_program_score,q99,AT8,0.2721987810595406,80
DLPFC,disease_program_score,q99,6e10/A_beta,0.25719643694327243,80
DLPFC,disease_program_score,q99,GFAP,0.2504688232536334,80
DLPFC,disease_program_score,q99,Iba1,0.216361931551805,80
DLPFC,disease_program_score,q99,NeuN,-0.29859353023909985,80
DLPFC,disease_program_score,fraction_high_global_q95,AT8,0.23107261529121173,80
DLPFC,disease_program_score,fraction_high_global_q95,6e10/A_beta,0.2530488340926838,80
DLPFC,disease_program_score,fraction_high_global_q95,GFAP,0.24504363012393426,80
DLPFC,disease_program_score,fraction_high_global_q95,Iba1,0.19252339735092286,80
DLPFC,disease_program_score,fraction_high_global_q95,NeuN,-0.24060150376353004,80
DLPFC,disease_program_score,top_10pct_mean,AT8,0.21523675574308485,80
DLPFC,disease_program_score,top_10pct_mean,6e10/A_beta,0.2256446319737459,80
DLPFC,disease_program_score,top_10pct_mean,GFAP,0.2155180496952649,80
DLPFC,disease_program_score,top_10pct_mean,Iba1,0.1959212376933896,80
DLPFC,disease_program_score,top_10pct_mean,NeuN,-0.27266760431317394,80
DLPFC,disease_program_score,top_5pct_mean,AT8,0.25501640881387716,80
DLPFC,disease_program_score,top_5pct_mean,6e10/A_beta,0.2459446788560713,80
DLPFC,disease_program_score,top_5pct_mean,GFAP,0.23846694796061885,80
DLPFC,disease_program_score,top_5pct_mean,Iba1,0.21879981247069855,80
DLPFC,disease_program_score,top_5pct_mean,NeuN,-0.28982653539615566,80
DLPFC,disease_program_score,top_1pct_mean,AT8,0.31514299109235816,80
DLPFC,disease_program_score,top_1pct_mean,6e10/A_beta,0.2528832630098453,80
DLPFC,disease_program_score,top_1pct_mean,GFAP,0.2854195968120019,80
DLPFC,disease_program_score,top_1pct_mean,Iba1,0.23270042194092827,80
DLPFC,disease_program_score,top_1pct_mean,NeuN,-0.2930145335208626,80
DLPFC,interferon_inflammatory,mean,AT8,0.22137834036568219,80
DLPFC,interferon_inflammatory,mean,6e10/A_beta,0.20595405532114391,80
DLPFC,interferon_inflammatory,mean,GFAP,0.28063759962494145,80
DLPFC,interferon_inflammatory,mean,Iba1,0.23335677449601502,80
DLPFC,interferon_inflammatory,mean,NeuN,0.007899671823722457,80
DLPFC,interferon_inflammatory,variance,AT8,0.06333802156586968,80
DLPFC,interferon_inflammatory,variance,6e10/A_beta,0.10025785278949836,80
DLPFC,interferon_inflammatory,variance,GFAP,0.14453820909517112,80
DLPFC,interferon_inflammatory,variance,Iba1,0.21451007969995314,80
DLPFC,interferon_inflammatory,variance,NeuN,-0.03373183309892171,80
DLPFC,interferon_inflammatory,q90,AT8,0.15433661509610877,80
DLPFC,interferon_inflammatory,q90,6e10/A_beta,0.1994139709329583,80
DLPFC,interferon_inflammatory,q90,GFAP,0.26343178621659635,80
DLPFC,interferon_inflammatory,q90,Iba1,0.18288795124238164,80
DLPFC,interferon_inflammatory,q90,NeuN,-0.05215658696671355,80
DLPFC,interferon_inflammatory,q95,AT8,0.16638537271448664,80
DLPFC,interferon_inflammatory,q95,6e10/A_beta,0.18152836380684484,80
DLPFC,interferon_inflammatory,q95,GFAP,0.22667604313173936,80
DLPFC,interferon_inflammatory,q95,Iba1,0.1892639474917956,80
DLPFC,interferon_inflammatory,q95,NeuN,-0.014932020628223162,80
DLPFC,interferon_inflammatory,q99,AT8,0.14798406000937647,80
DLPFC,interferon_inflammatory,q99,6e10/A_beta,0.11647913736521331,80
DLPFC,interferon_inflammatory,q99,GFAP,0.21933895921237698,80
DLPFC,interferon_inflammatory,q99,Iba1,0.26322081575246137,80
DLPFC,interferon_inflammatory,q99,NeuN,-0.04423347398030943,80
DLPFC,interferon_inflammatory,fraction_high_global_q95,AT8,0.15028217465198662,80
DLPFC,interferon_inflammatory,fraction_high_global_q95,6e10/A_beta,0.1404016666788448,80
