representation,target,n_donors,cv_scheme,r2_mean,r2_std,pearson_mean,spearman_mean,mae_mean,rmse_mean,oof_pearson,oof_spearman,status,notes
graph_jepa_real_graph_latent,percent AT8 positive area_Grey matter,84,5_fold_donor_cv,0.18334428923328758,0.07238223570641064,0.4922880090839602,0.5129411764705882,1.0163457817576131,1.278867829469796,0.4802891690769715,0.45829705376126356,tested,Identical donor folds and ridge readout across available representations.
graph_jepa_real_graph_latent,percent 6e10 positive area_Grey matter,84,5_fold_donor_cv,-0.6525129166581124,0.9409353529446776,0.1403314086394634,0.2253921568627451,2.179680233460607,2.864634609866976,0.09603696440636521,0.18222132226384533,tested,Identical donor folds and ridge readout across available representations.
graph_jepa_real_graph_latent,percent GFAP positive area_Grey matter,84,5_fold_donor_cv,-0.18943453141784045,0.19290216070203559,0.19484404423428708,0.21843137254901962,3.6738988449503944,4.687756004907827,0.15779937105218392,0.18621038776956567,tested,Identical donor folds and ridge readout across available representations.
graph_jepa_real_graph_latent,percent Iba1 positive area_Grey matter,84,5_fold_donor_cv,-0.1715050278166858,0.21504831689778336,0.07742404895910186,0.10313725490196082,1.6962655958497905,2.2122613622221765,0.1081770541829304,0.12744760554824341,tested,Identical donor folds and ridge readout across available representations.
graph_jepa_real_graph_latent,percent NeuN positive area_Grey matter,84,5_fold_donor_cv,0.09618547027239639,0.4530908420200672,0.5256042450778738,0.5604901960784314,1.381910277890706,1.6924896346557596,0.4311218292518789,0.4927812088690898,tested,Identical donor folds and ridge readout across available representations.
pca_expression_baseline,percent AT8 positive area_Grey matter,84,5_fold_donor_cv,0.16954029671529963,0.274647779965379,0.5349707590737008,0.44068627450980397,0.9546334737161424,1.2598084919910835,0.5491641011081727,0.3987445580641895,tested,Identical donor folds and ridge readout across available representations.
pca_expression_baseline,percent 6e10 positive area_Grey matter,84,5_fold_donor_cv,-1.02194652675046,1.331374466486745,0.2618857124866406,0.4304901960784314,2.335475062532636,3.000635045112925,0.2230599905480769,0.30887921433633697,tested,Identical donor folds and ridge readout across available representations.
pca_expression_baseline,percent GFAP positive area_Grey matter,84,5_fold_donor_cv,-0.35044972412275227,0.2885257047135178,0.19816926824649422,0.15421568627450982,3.839480557108678,4.957233738810588,0.16892135719498333,0.16355168573453477,tested,Identical donor folds and ridge readout across available representations.
pca_expression_baseline,percent Iba1 positive area_Grey matter,84,5_fold_donor_cv,-0.3010314647276677,0.37869801510955964,0.11227274947509072,0.14813725490196084,1.8139962335411433,2.322764089121025,0.11044027069155256,0.155796294421383,tested,Identical donor folds and ridge readout across available representations.
pca_expression_baseline,percent NeuN positive area_Grey matter,84,5_fold_donor_cv,0.020843955263958748,0.3988294326029542,0.4180717563406784,0.4104901960784314,1.4572544475691067,1.7773848252937388,0.37924473584494217,0.3948769869393541,tested,Identical donor folds and ridge readout across available representations.
module_mean_baseline,percent AT8 positive area_Grey matter,84,5_fold_donor_cv,0.4368956832255308,0.20394114983725337,0.691821151658983,0.5704901960784314,0.8192436955647286,1.0261196154239864,0.6999927835250297,0.490148830616584,tested,Identical donor folds and ridge readout across available representations.
module_mean_baseline,percent 6e10 positive area_Grey matter,84,5_fold_donor_cv,-0.5765820270894358,1.097787287995921,0.3056552449117255,0.372843137254902,2.1447830978417035,2.7782055407891804,0.19404939172632002,0.32248658499544397,tested,Identical donor folds and ridge readout across available representations.
module_mean_baseline,percent GFAP positive area_Grey matter,84,5_fold_donor_cv,-0.09558932344876529,0.06534779414395313,0.23399004797897946,0.2682352941176471,3.4458507353566574,4.5012778447633615,0.21970876011825313,0.22375215146299485,tested,Identical donor folds and ridge readout across available representations.
module_mean_baseline,percent Iba1 positive area_Grey matter,84,5_fold_donor_cv,-0.29211904553987644,0.3572462070814942,0.0589103797257586,0.12852941176470592,1.7440672041867231,2.2945525838997503,0.013401596121742226,0.062043130505214136,tested,Identical donor folds and ridge readout across available representations.
