condition,target,n_donors,pooled_oof_spearman,prediction_variance,stage39e_pca8_iba1_reference,delta_vs_stage39e_pca8,iba1_nonnegative,iba1_improved_vs_stage39e_pca8
dualhead_ema_vicreg_latent16,Iba1,84,0.020962768894271955,0.35886672519352214,0.056974172849842526,-0.03601140395557057,True,False
dualhead_ema_vicreg_latent8,Iba1,84,-0.049389093670224316,0.2805996175561506,0.056974172849842526,-0.10636326652006683,False,False
dualhead_ema_vicreg_latent8_target_shuffled_control,Iba1,84,-0.04040649656432131,0.2858236479093049,0.056974172849842526,-0.09738066941416385,False,False
stage39e_pca8_reference,Iba1,84,0.056974172849842526,0.014534498810187995,0.056974172849842526,0.0,True,False
supervised_mlp_no_ema_latent8_control,Iba1,84,-0.04807259127589806,0.26657761916550016,0.056974172849842526,-0.10504676412574059,False,False
