graph,threshold,n_genes,n_edges,n_connected_genes,connected_fraction,n_isolated_genes,n_components,largest_component_size,median_degree,max_degree,top_hub_genes
STRING,400,2957,55027,2789,0.9431856611430504,168,171,2785,21.0,496,ACTB:496; GAPDH:452; CTNNB1:386; TNF:375; RPS27A:369; HSP90AA1:369; UBC:364; STAT3:347; HSP90AB1:326; PTEN:313; JUN:311; CDC42:309; EP300:308; IL6:297; RHOA:291
STRING,700,2957,14565,2311,0.7815353398714914,646,668,2261,4.0,151,RPS27A:151; CTNNB1:143; EP300:129; UBC:126; ACTB:124; CDC42:118; HSP90AA1:110; STAT3:110; RHOA:108; STAT1:107; TNF:104; IL6:98; NFKB1:95; BCL2:94; PTEN:93
STRING,900,2957,6781,1789,0.6050050727088265,1168,1228,1642,1.0,103,RPS27A:103; UBC:64; RPS6:61; RPS23:60; RPS18:60; RPS28:60; RPS11:60; CTNNB1:59; RPS9:59; CDC42:58; RPS8:58; RPS3:58; RPL11:57; PIK3R1:57; RPS24:57
